"year","countries","under5_person_years","model_deaths","ihme_malaria_deaths","who_cacode_deaths","model_rate_per100000","ihme_malaria_rate_per100000","who_cacode_rate_per100000"
2004,42,122832161.765571,899532.004798934,584453.040478886,668525,732.326120349261,475.81434054245,544.258922411462
2005,42,126350910.756313,854154.15360861,564066.526910137,610848,676.017409368722,446.428540588858,483.453578880896
2006,42,129881373.032834,811354.988226743,554937.729927586,592624,624.689260115559,427.265062702483,456.280978682126
2007,42,133401540.603534,771971.208745844,536695.125596742,586803,578.682378969012,402.315537863079,439.877228812494
2008,42,136899633.557023,736487.853091328,523508.878986053,564897,537.97649705509,382.403418755678,412.635874415764
2009,42,140334919.273811,716672.008395217,512614.088464976,582299,510.686871167752,365.279070325184,414.935215706264
2010,42,143670458.524793,696802.429770751,493613.981409873,521487,485.000491350492,343.573749592154,362.974410574465
2011,42,146877706.067324,668939.08648827,466206.53550503,489046,455.439497524323,317.411367584498,332.961354785755
2012,42,149944339.868488,650703.214022246,450122.710264977,463032,433.963172329786,300.193198796145,308.802586617216
2013,42,152913484.317387,644896.387066485,441161.752620604,443941,421.739384165714,288.504152913636,290.321682212509
2014,42,155809274.264136,616991.277998398,422381.860657935,431452,395.991368878622,271.089036678197,276.910345701618
2015,42,158554858.301487,589807.37322749,416121.688943615,416815,371.989467586032,262.446508042265,262.883776924349
2016,42,161120449.540599,555921.675427544,399457.771192791,408679,345.034833885231,247.924935867397,253.648125464683
2017,42,163557868.933093,542329.690678862,391929.926110506,413605,331.58275674325,239.62767958956,252.879915040464
2018,42,165838176.84716,540871.094318552,394470.024526765,400709,326.143897986186,237.864424239491,241.626510625055
2019,42,168113044.343543,544038.921094917,396709.770868792,419148,323.614936139734,235.977982801922,249.325090528646
2020,42,170363657.734106,537357.941943989,442134.532961011,419523,315.418176089332,259.523972918608,246.251463240339
2021,42,172440566.82942,508757.887953113,433442.929786364,429619,295.03375992517,251.357866513586,249.140331593194
2022,42,174369708.753716,491921.764123401,411776.616828822,462939,282.11423167438,236.151462184539,265.492787313114
2023,42,176249413.849184,488202.171457656,400147.764677009,437626,276.995061030619,227.034947769763,248.299265479813
2024,42,177450737.801667,501064.676098993,428146.804091449,440123,282.36832503848,241.276429388521,248.025455093861
