"survey","regkey","male_pct","multiple_birth_pct","mean_birth_order","mean_maternal_age_birth","mean_maternal_education_years","mean_wealth_quintile","urban_pct","dtp3_pct","measles_pct","facility_delivery_pct","short_birth_interval_pct","improved_water_pct","improved_sanitation_pct","electricity_pct","country","survey_year","dtp3_pct_before_imputation","dtp3_pct_imputed","dtp3_pct_source_year","dtp3_pct_imputation_source","measles_pct_before_imputation","measles_pct_imputed","measles_pct_source_year","measles_pct_imputation_source","male_pct_before_regional_mean","male_pct_regional_mean_imputed","male_pct_donor_regions","male_pct_regional_mean_source","multiple_birth_pct_before_regional_mean","multiple_birth_pct_regional_mean_imputed","multiple_birth_pct_donor_regions","multiple_birth_pct_regional_mean_source","mean_birth_order_before_regional_mean","mean_birth_order_regional_mean_imputed","mean_birth_order_donor_regions","mean_birth_order_regional_mean_source","mean_maternal_age_birth_before_regional_mean","mean_maternal_age_birth_regional_mean_imputed","mean_maternal_age_birth_donor_regions","mean_maternal_age_birth_regional_mean_source","mean_maternal_education_years_before_regional_mean","mean_maternal_education_years_regional_mean_imputed","mean_maternal_education_years_donor_regions","mean_maternal_education_years_regional_mean_source","mean_wealth_quintile_before_regional_mean","mean_wealth_quintile_regional_mean_imputed","mean_wealth_quintile_donor_regions","mean_wealth_quintile_regional_mean_source","urban_pct_before_regional_mean","urban_pct_regional_mean_imputed","urban_pct_donor_regions","urban_pct_regional_mean_source","dtp3_pct_before_regional_mean","dtp3_pct_regional_mean_imputed","dtp3_pct_donor_regions","dtp3_pct_regional_mean_source","measles_pct_before_regional_mean","measles_pct_regional_mean_imputed","measles_pct_donor_regions","measles_pct_regional_mean_source","facility_delivery_pct_before_regional_mean","facility_delivery_pct_regional_mean_imputed","facility_delivery_pct_donor_regions","facility_delivery_pct_regional_mean_source","short_birth_interval_pct_before_regional_mean","short_birth_interval_pct_regional_mean_imputed","short_birth_interval_pct_donor_regions","short_birth_interval_pct_regional_mean_source","improved_water_pct_before_regional_mean","improved_water_pct_regional_mean_imputed","improved_water_pct_donor_regions","improved_water_pct_regional_mean_source","improved_sanitation_pct_before_regional_mean","improved_sanitation_pct_regional_mean_imputed","improved_sanitation_pct_donor_regions","improved_sanitation_pct_regional_mean_source","electricity_pct_before_regional_mean","electricity_pct_regional_mean_imputed","electricity_pct_donor_regions","electricity_pct_regional_mean_source"
"ZM81FL","southern",48.8089140298625,4.04930647624563,3.24890774282872,26.3749417831607,7.54961831338442,2.63547262985133,27.7939737660573,90.1,93.3,91.4,8.2,76.7,54.5,28,"ZMB",2024,90.1,FALSE,2024,"retained_regional_estimate",93.3,FALSE,2024,"retained_regional_estimate",48.8089140298625,FALSE,10,"retained_input_estimate",4.04930647624563,FALSE,10,"retained_input_estimate",3.24890774282872,FALSE,10,"retained_input_estimate",26.3749417831607,FALSE,10,"retained_input_estimate",7.54961831338442,FALSE,10,"retained_input_estimate",2.63547262985133,FALSE,10,"retained_input_estimate",27.7939737660573,FALSE,10,"retained_input_estimate",90.1,FALSE,10,"retained_input_estimate",93.3,FALSE,10,"retained_input_estimate",91.4,FALSE,10,"retained_input_estimate",8.2,FALSE,10,"retained_input_estimate",76.7,FALSE,10,"retained_input_estimate",54.5,FALSE,10,"retained_input_estimate",28,FALSE,10,"retained_input_estimate"
"ZM81FL","western",50.2636760078363,2.67699076932341,3.53285355509708,27.4357922728546,7.02029951036877,2.01717182948366,24.2722638599945,82.6,88.6,80.6,7.8,60.8,34.4,13.3,"ZMB",2024,82.6,FALSE,2024,"retained_regional_estimate",88.6,FALSE,2024,"retained_regional_estimate",50.2636760078363,FALSE,10,"retained_input_estimate",2.67699076932341,FALSE,10,"retained_input_estimate",3.53285355509708,FALSE,10,"retained_input_estimate",27.4357922728546,FALSE,10,"retained_input_estimate",7.02029951036877,FALSE,10,"retained_input_estimate",2.01717182948366,FALSE,10,"retained_input_estimate",24.2722638599945,FALSE,10,"retained_input_estimate",82.6,FALSE,10,"retained_input_estimate",88.6,FALSE,10,"retained_input_estimate",80.6,FALSE,10,"retained_input_estimate",7.8,FALSE,10,"retained_input_estimate",60.8,FALSE,10,"retained_input_estimate",34.4,FALSE,10,"retained_input_estimate",13.3,FALSE,10,"retained_input_estimate"
"ZW52FL","bulawayo",51.8516767578685,3.62750615823654,2.18488727429593,25.288732259835,9.60679734977266,4.59079991488677,100,77.2,76.5,94.3,10.4,99.9,99.6,98.1,"ZWE",2005,77.2,FALSE,2005,"retained_regional_estimate",76.5,FALSE,2005,"retained_regional_estimate",51.8516767578685,FALSE,10,"retained_input_estimate",3.62750615823654,FALSE,10,"retained_input_estimate",2.18488727429593,FALSE,10,"retained_input_estimate",25.288732259835,FALSE,10,"retained_input_estimate",9.60679734977266,FALSE,10,"retained_input_estimate",4.59079991488677,FALSE,10,"retained_input_estimate",100,FALSE,10,"retained_input_estimate",77.2,FALSE,10,"retained_input_estimate",76.5,FALSE,10,"retained_input_estimate",94.3,FALSE,9,"retained_input_estimate",10.4,FALSE,9,"retained_input_estimate",99.9,FALSE,9,"retained_input_estimate",99.6,FALSE,9,"retained_input_estimate",98.1,FALSE,9,"retained_input_estimate"
"ZW52FL","harare",47.9063992331987,1.91698635864345,2.05286113989822,24.8313698454635,9.47182092358086,4.53178886918956,100,68,67,66.0222222222222,10.0666666666667,76.5555555555556,60.4111111111111,31.2111111111111,"ZWE",2005,,TRUE,2005,"UNICEF_WUENIC_country_year",,TRUE,2005,"UNICEF_WUENIC_country_year",47.9063992331987,FALSE,10,"retained_input_estimate",1.91698635864345,FALSE,10,"retained_input_estimate",2.05286113989822,FALSE,10,"retained_input_estimate",24.8313698454635,FALSE,10,"retained_input_estimate",9.47182092358086,FALSE,10,"retained_input_estimate",4.53178886918956,FALSE,10,"retained_input_estimate",100,FALSE,10,"retained_input_estimate",68,FALSE,10,"retained_input_estimate",67,FALSE,10,"retained_input_estimate",,TRUE,9,"mean_available_regions_same_survey",,TRUE,9,"mean_available_regions_same_survey",,TRUE,9,"mean_available_regions_same_survey",,TRUE,9,"mean_available_regions_same_survey",,TRUE,9,"mean_available_regions_same_survey"
"ZW52FL","manicaland",48.1822129853098,3.49219575302209,3.03792893191375,26.0780681424488,7.71372381664558,2.81262381841668,16.9032202391744,50.2,54.5,60,14.7,77.5,62.8,21.9,"ZWE",2005,50.2,FALSE,2005,"retained_regional_estimate",54.5,FALSE,2005,"retained_regional_estimate",48.1822129853098,FALSE,10,"retained_input_estimate",3.49219575302209,FALSE,10,"retained_input_estimate",3.03792893191375,FALSE,10,"retained_input_estimate",26.0780681424488,FALSE,10,"retained_input_estimate",7.71372381664558,FALSE,10,"retained_input_estimate",2.81262381841668,FALSE,10,"retained_input_estimate",16.9032202391744,FALSE,10,"retained_input_estimate",50.2,FALSE,10,"retained_input_estimate",54.5,FALSE,10,"retained_input_estimate",60,FALSE,9,"retained_input_estimate",14.7,FALSE,9,"retained_input_estimate",77.5,FALSE,9,"retained_input_estimate",62.8,FALSE,9,"retained_input_estimate",21.9,FALSE,9,"retained_input_estimate"
"ZW52FL","mashonalandcentral",53.8415018687836,2.76408631874005,2.86841896314711,25.7988445780609,6.72628919813643,2.42387461170523,4.52202791714768,60.8,72,60.7,5.5,73.3,55.8,17.2,"ZWE",2005,60.8,FALSE,2005,"retained_regional_estimate",72,FALSE,2005,"retained_regional_estimate",53.8415018687836,FALSE,10,"retained_input_estimate",2.76408631874005,FALSE,10,"retained_input_estimate",2.86841896314711,FALSE,10,"retained_input_estimate",25.7988445780609,FALSE,10,"retained_input_estimate",6.72628919813643,FALSE,10,"retained_input_estimate",2.42387461170523,FALSE,10,"retained_input_estimate",4.52202791714768,FALSE,10,"retained_input_estimate",60.8,FALSE,10,"retained_input_estimate",72,FALSE,10,"retained_input_estimate",60.7,FALSE,9,"retained_input_estimate",5.5,FALSE,9,"retained_input_estimate",73.3,FALSE,9,"retained_input_estimate",55.8,FALSE,9,"retained_input_estimate",17.2,FALSE,9,"retained_input_estimate"
"ZW52FL","mashonalandeast",52.5119196704053,4.18179081528553,2.52575711342875,25.2171735071639,8.23270319115596,3.0486274585134,13.6994056239297,84.5,87.3,67,8.3,81.1,70.3,26.1,"ZWE",2005,84.5,FALSE,2005,"retained_regional_estimate",87.3,FALSE,2005,"retained_regional_estimate",52.5119196704053,FALSE,10,"retained_input_estimate",4.18179081528553,FALSE,10,"retained_input_estimate",2.52575711342875,FALSE,10,"retained_input_estimate",25.2171735071639,FALSE,10,"retained_input_estimate",8.23270319115596,FALSE,10,"retained_input_estimate",3.0486274585134,FALSE,10,"retained_input_estimate",13.6994056239297,FALSE,10,"retained_input_estimate",84.5,FALSE,10,"retained_input_estimate",87.3,FALSE,10,"retained_input_estimate",67,FALSE,9,"retained_input_estimate",8.3,FALSE,9,"retained_input_estimate",81.1,FALSE,9,"retained_input_estimate",70.3,FALSE,9,"retained_input_estimate",26.1,FALSE,9,"retained_input_estimate"
"ZW52FL","mashonalandwest",54.3889872473731,3.28069236626156,2.63335113325655,25.0935995486434,7.48654129773778,2.95596507855695,30.5066429212747,63.7,64.9,60.2,9.3,71.2,61.9,37.9,"ZWE",2005,63.7,FALSE,2005,"retained_regional_estimate",64.9,FALSE,2005,"retained_regional_estimate",54.3889872473731,FALSE,10,"retained_input_estimate",3.28069236626156,FALSE,10,"retained_input_estimate",2.63335113325655,FALSE,10,"retained_input_estimate",25.0935995486434,FALSE,10,"retained_input_estimate",7.48654129773778,FALSE,10,"retained_input_estimate",2.95596507855695,FALSE,10,"retained_input_estimate",30.5066429212747,FALSE,10,"retained_input_estimate",63.7,FALSE,10,"retained_input_estimate",64.9,FALSE,10,"retained_input_estimate",60.2,FALSE,9,"retained_input_estimate",9.3,FALSE,9,"retained_input_estimate",71.2,FALSE,9,"retained_input_estimate",61.9,FALSE,9,"retained_input_estimate",37.9,FALSE,9,"retained_input_estimate"
"ZW52FL","masvingo",54.8724533309014,1.95186606240724,2.96840092342958,25.8963759409351,6.84330619244713,2.03170302381124,6.61626386470932,61.6,63.6,66.8,12.9,56.7,43.6,12.3,"ZWE",2005,61.6,FALSE,2005,"retained_regional_estimate",63.6,FALSE,2005,"retained_regional_estimate",54.8724533309014,FALSE,10,"retained_input_estimate",1.95186606240724,FALSE,10,"retained_input_estimate",2.96840092342958,FALSE,10,"retained_input_estimate",25.8963759409351,FALSE,10,"retained_input_estimate",6.84330619244713,FALSE,10,"retained_input_estimate",2.03170302381124,FALSE,10,"retained_input_estimate",6.61626386470932,FALSE,10,"retained_input_estimate",61.6,FALSE,10,"retained_input_estimate",63.6,FALSE,10,"retained_input_estimate",66.8,FALSE,9,"retained_input_estimate",12.9,FALSE,9,"retained_input_estimate",56.7,FALSE,9,"retained_input_estimate",43.6,FALSE,9,"retained_input_estimate",12.3,FALSE,9,"retained_input_estimate"
"ZW52FL","matabelelandnorth",48.8471726299345,2.15525960172396,3.17466036340005,26.0659834968486,7.05779266673433,1.82298541673279,10.2017164022634,68.2,70.1,57.5,8.5,81.5,32.4,15.4,"ZWE",2005,68.2,FALSE,2005,"retained_regional_estimate",70.1,FALSE,2005,"retained_regional_estimate",48.8471726299345,FALSE,10,"retained_input_estimate",2.15525960172396,FALSE,10,"retained_input_estimate",3.17466036340005,FALSE,10,"retained_input_estimate",26.0659834968486,FALSE,10,"retained_input_estimate",7.05779266673433,FALSE,10,"retained_input_estimate",1.82298541673279,FALSE,10,"retained_input_estimate",10.2017164022634,FALSE,10,"retained_input_estimate",68.2,FALSE,10,"retained_input_estimate",70.1,FALSE,10,"retained_input_estimate",57.5,FALSE,9,"retained_input_estimate",8.5,FALSE,9,"retained_input_estimate",81.5,FALSE,9,"retained_input_estimate",32.4,FALSE,9,"retained_input_estimate",15.4,FALSE,9,"retained_input_estimate"
