"survey","country","year","variable","status","records"
"AO62FL","AGO",2008,"hib3_pct","observed",10533
"AO62FL","AGO",2006,"hib3_pct","not_observed:pre_series_assumed_not_introduced",7950
"AO62FL","AGO",2009,"hib3_pct","observed",10557
"AO62FL","AGO",2007,"hib3_pct","observed",9666
"AO62FL","AGO",2010,"hib3_pct","observed",5273
"AO62FL","AGO",2011,"hib3_pct","observed",202
"AO62FL","AGO",2008,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",10533
"AO62FL","AGO",2006,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",7950
"AO62FL","AGO",2009,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",10557
"AO62FL","AGO",2007,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",9666
"AO62FL","AGO",2010,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",5273
"AO62FL","AGO",2011,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",202
"AO62FL","AGO",2008,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",10533
"AO62FL","AGO",2006,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",7950
"AO62FL","AGO",2009,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",10557
"AO62FL","AGO",2007,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",9666
"AO62FL","AGO",2010,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",5273
"AO62FL","AGO",2011,"rotavirus_pct","not_observed:pre_series_assumed_not_introduced",202
"AO71FL","AGO",2013,"hib3_pct","observed",18186
"AO71FL","AGO",2011,"hib3_pct","observed",16337
"AO71FL","AGO",2014,"hib3_pct","observed",18509
"AO71FL","AGO",2012,"hib3_pct","observed",17376
"AO71FL","AGO",2015,"hib3_pct","observed",6882
"AO71FL","AGO",2016,"hib3_pct","observed",66
"AO71FL","AGO",2010,"hib3_pct","observed",1041
"AO71FL","AGO",2013,"pcv3_pct","observed",18186
"AO71FL","AGO",2011,"pcv3_pct","not_observed:pre_series_assumed_not_introduced",16337
"AO71FL","AGO",2014,"pcv3_pct","observed",18509
