"baseline","country","records","retained_records","regions","lost_regions","retained_regions"
"previous_primary","AGO",187282,143101,40,4,36
"eligible_MAP","AGO",187282,143101,40,4,36
"regional_baseline","AGO",187282,143101,40,4,36
"previous_primary","BDI",114619,114619,22,0,22
"eligible_MAP","BDI",114626,114626,22,0,22
"regional_baseline","BDI",114626,114626,22,0,22
"eligible_MAP","BEN",243406,152984,37,13,24
"previous_primary","BEN",236703,152984,36,12,24
"regional_baseline","BEN",236780,152984,36,12,24
"previous_primary","BFA",186714,186714,39,0,39
"eligible_MAP","BFA",199648,186763,39,0,39
"regional_baseline","BFA",186763,186763,39,0,39
"previous_primary","CIV",100925,100925,24,0,24
"eligible_MAP","CIV",100950,100950,24,0,24
"regional_baseline","CIV",100950,100950,24,0,24
"previous_primary","CMR",139442,139442,34,0,34
"eligible_MAP","CMR",149330,139519,34,0,34
"regional_baseline","CMR",139519,139519,34,0,34
"previous_primary","COD",287124,287124,48,0,48
"eligible_MAP","COD",287393,287393,48,0,48
"regional_baseline","COD",287393,287393,48,0,48
"previous_primary","COG",71280,71280,16,0,16
"eligible_MAP","COG",76823,71303,16,0,16
"regional_baseline","COG",71303,71303,16,0,16
"previous_primary","COM",17936,17936,3,0,3
"eligible_MAP","COM",17998,17998,3,0,3
"regional_baseline","COM",17998,17998,3,0,3
"eligible_MAP","ETH",303563,285062,69,11,58
"previous_primary","ETH",285062,285062,58,0,58
"regional_baseline","ETH",285062,285062,58,0,58
"eligible_MAP","GAB",71449,69941,26,5,21
"previous_primary","GAB",69915,69915,21,0,21
"regional_baseline","GAB",69941,69941,21,0,21
"previous_primary","GHA",114259,114259,46,0,46
"eligible_MAP","GHA",119208,114331,46,0,46
"regional_baseline","GHA",114331,114331,46,0,46
"previous_primary","GIN",114161,114161,24,0,24
"eligible_MAP","GIN",122730,114165,24,0,24
"regional_baseline","GIN",114165,114165,24,0,24
"previous_primary","GMB",93729,93729,16,0,16
"eligible_MAP","GMB",93736,93736,16,0,16
"regional_baseline","GMB",93736,93736,16,0,16
"previous_primary","KEN",289408,289408,71,0,71
"eligible_MAP","KEN",296815,289411,71,0,71
"regional_baseline","KEN",289411,289411,71,0,71
"eligible_MAP","LBR",131484,0,22,22,0
"previous_primary","MDG",162071,162071,51,0,51
"eligible_MAP","MDG",169126,162095,51,0,51
"regional_baseline","MDG",162095,162095,51,0,51
"eligible_MAP","MLI",290517,274915,39,6,33
"previous_primary","MLI",274751,274751,33,0,33
"regional_baseline","MLI",274915,274915,33,0,33
"previous_primary","MOZ",141922,141922,33,0,33
"eligible_MAP","MOZ",154515,141922,33,0,33
"regional_baseline","MOZ",141922,141922,33,0,33
"previous_primary","MRT",65292,65292,13,0,13
"eligible_MAP","MRT",65366,65366,13,0,13
"regional_baseline","MRT",65366,65366,13,0,13
"eligible_MAP","MWI",344432,327216,15,3,12
"previous_primary","MWI",327211,327211,12,0,12
"regional_baseline","MWI",327216,327216,12,0,12
"eligible_MAP","NAM",51779,50377,33,11,22
"previous_primary","NAM",50347,50347,22,0,22
"regional_baseline","NAM",50377,50377,22,0,22
"previous_primary","NER",116160,116160,16,0,16
"eligible_MAP","NER",125273,116308,16,0,16
"regional_baseline","NER",116308,116308,16,0,16
"previous_primary","NGA",737012,705124,36,6,30
"eligible_MAP","NGA",745350,705318,36,6,30
"regional_baseline","NGA",737584,705318,36,6,30
"eligible_MAP","RWA",225035,213211,37,12,25
"previous_primary","RWA",213131,213131,25,0,25
"regional_baseline","RWA",213211,213211,25,0,25
"previous_primary","SEN",566917,479860,88,11,77
"eligible_MAP","SEN",580279,479917,88,11,77
"regional_baseline","SEN",567259,479917,88,11,77
"previous_primary","SLE",156394,156394,13,0,13
"eligible_MAP","SLE",156500,156500,13,0,13
"regional_baseline","SLE",156500,156500,13,0,13
"eligible_MAP","STP",10839,0,4,4,0
"previous_primary","SWZ",10725,10725,3,0,3
"eligible_MAP","SWZ",11268,10739,3,0,3
"regional_baseline","SWZ",10739,10739,3,0,3
"previous_primary","TCD",128699,128699,28,0,28
"eligible_MAP","TCD",136069,128818,28,0,28
"regional_baseline","TCD",128818,128818,28,0,28
"previous_primary","TGO",35836,35836,5,0,5
"eligible_MAP","TGO",35856,35856,5,0,5
"regional_baseline","TGO",35856,35856,5,0,5
"previous_primary","TZA",198977,198977,34,0,34
"eligible_MAP","TZA",209359,198979,34,0,34
"regional_baseline","TZA",198979,198979,34,0,34
"eligible_MAP","UGA",190215,161461,45,13,32
"previous_primary","UGA",121275,100618,41,9,32
"regional_baseline","UGA",182118,161461,41,9,32
"previous_primary","ZAF",15260,15260,6,0,6
"eligible_MAP","ZAF",15261,15261,6,0,6
"regional_baseline","ZAF",15261,15261,6,0,6
"eligible_MAP","ZMB",234751,221012,48,9,39
"previous_primary","ZMB",220920,220920,39,0,39
"regional_baseline","ZMB",221012,221012,39,0,39
"eligible_MAP","ZWE",89571,33563,29,10,19
"previous_primary","ZWE",33563,33563,19,0,19
"regional_baseline","ZWE",33563,33563,19,0,19
