"survey","country","region","records","children","deaths","complete_case_records","complete_case_children","complete_case_deaths","baseline"
"AO71FL","AGO","AGO:AO71FL:bengo",3306,970,13,3306,970,13,"regional_baseline"
"AO71FL","AGO","AGO:AO71FL:cuanzanorte",3666,1059,29,3666,1059,29,"regional_baseline"
"AO71FL","AGO","AGO:AO71FL:cunene",4453,1338,44,4453,1338,44,"regional_baseline"
"AO71FL","AGO","AGO:AO71FL:uige",4707,1357,44,4707,1357,44,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:moxico",3147,908,15,3147,908,15,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:uige",3962,1175,36,3962,1175,36,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:cabinda",2790,845,21,2790,845,21,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:bie",4118,1215,36,4118,1215,36,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:cunene",4289,1267,42,4289,1267,42,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:northcuanza",2843,835,28,2843,835,28,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:huambo",4731,1386,72,4731,1386,72,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:northlunda",3905,1140,21,3905,1140,21,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:luanda",3641,1068,22,3641,1068,22,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:benguela",4228,1258,65,4228,1258,65,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:bengo",2907,884,6,2907,884,6,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:malanje",3620,1064,4,3620,1064,4,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:huila",3686,1077,19,3686,1077,19,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:southcuanza",4710,1383,45,4710,1383,45,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:cuandocubango",2954,883,36,2954,883,36,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:zaire",1938,571,5,1938,571,5,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:southlunda",3360,984,11,3360,984,11,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:namibe",3875,1116,14,3875,1116,14,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:moxico",3147,908,15,3147,908,15,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:uige",3962,1175,36,3962,1175,36,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:cabinda",2790,845,21,2790,845,21,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:bie",4118,1215,36,4118,1215,36,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:cunene",4289,1267,42,4289,1267,42,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:northcuanza",2843,835,28,2843,835,28,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:huambo",4731,1386,72,4731,1386,72,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:northlunda",3905,1140,21,3905,1140,21,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:luanda",3641,1068,22,3641,1068,22,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:benguela",4228,1258,65,4228,1258,65,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:bengo",2907,884,6,2907,884,6,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:malanje",3620,1064,4,3620,1064,4,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:huila",3686,1077,19,3686,1077,19,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:southcuanza",4710,1383,45,4710,1383,45,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:cuandocubango",2954,883,36,2954,883,36,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:zaire",1938,571,5,1938,571,5,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:southlunda",3360,984,11,3360,984,11,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:namibe",3875,1116,14,3875,1116,14,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:moxico",3147,908,15,3147,908,15,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:uige",3962,1175,36,3962,1175,36,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:cabinda",2790,845,21,2790,845,21,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:bie",4118,1215,36,4118,1215,36,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:cunene",4289,1267,42,4289,1267,42,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:northcuanza",2843,835,28,2843,835,28,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:huambo",4731,1386,72,4731,1386,72,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:northlunda",3905,1140,21,3905,1140,21,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:luanda",3641,1068,22,3641,1068,22,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:benguela",4228,1258,65,4228,1258,65,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:bengo",2907,884,6,2907,884,6,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:malanje",3620,1064,4,3620,1064,4,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:huila",3686,1077,19,3686,1077,19,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:southcuanza",4710,1383,45,4710,1383,45,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:cuandocubango",2954,883,36,2954,883,36,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:zaire",1938,571,5,1938,571,5,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:southlunda",3360,984,11,3360,984,11,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:namibe",3875,1116,14,3875,1116,14,"regional_baseline"
"BU61FL","BDI","BDI:BU61FL:west",8079,2375,120,8079,2375,120,"previous_primary"
"BU61FL","BDI","BDI:BU61FL:south",9298,2758,112,9298,2758,112,"previous_primary"
"BU61FL","BDI","BDI:BU61FL:centraleast",11887,3467,146,11887,3467,146,"previous_primary"
"BU61FL","BDI","BDI:BU61FL:north",9333,2778,172,9333,2778,172,"previous_primary"
"BU61FL","BDI","BDI:BU61FL:west",8079,2375,120,8079,2375,120,"eligible_MAP"
"BU61FL","BDI","BDI:BU61FL:south",9298,2758,112,9298,2758,112,"eligible_MAP"
"BU61FL","BDI","BDI:BU61FL:centraleast",11894,3469,146,11894,3469,146,"eligible_MAP"
"BU61FL","BDI","BDI:BU61FL:north",9333,2778,172,9333,2778,172,"eligible_MAP"
"BU61FL","BDI","BDI:BU61FL:west",8079,2375,120,8079,2375,120,"regional_baseline"
"BU61FL","BDI","BDI:BU61FL:south",9298,2758,112,9298,2758,112,"regional_baseline"
"BU61FL","BDI","BDI:BU61FL:centraleast",11894,3469,146,11894,3469,146,"regional_baseline"
"BU61FL","BDI","BDI:BU61FL:north",9333,2778,172,9333,2778,172,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:cankuzo",4071,1222,59,4071,1222,59,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:karusi",4704,1368,42,4704,1368,42,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:ruyigi",4381,1323,44,4381,1323,44,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:bujumburamairie",3141,941,27,3141,941,27,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:rutana",3981,1187,43,3981,1187,43,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:gitega",4542,1386,73,4542,1386,73,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:ngozi",4253,1274,60,4253,1274,60,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:cibitoke",4745,1401,65,4745,1401,65,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:muramvya",3862,1157,44,3862,1157,44,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:mwaro",3504,1034,24,3504,1034,24,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:kirundo",4856,1448,95,4856,1448,95,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:kayanza",3937,1199,31,3937,1199,31,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:bubanza",4573,1347,37,4573,1347,37,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:muyinga",5118,1523,85,5118,1523,85,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:bujumburarural",4197,1245,25,4197,1245,25,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:makamba",4369,1305,28,4369,1305,28,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:bururi",3410,995,22,3410,995,22,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:rumonge",4378,1303,31,4378,1303,31,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:cankuzo",4071,1222,59,4071,1222,59,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:karusi",4704,1368,42,4704,1368,42,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:ruyigi",4381,1323,44,4381,1323,44,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:bujumburamairie",3141,941,27,3141,941,27,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:rutana",3981,1187,43,3981,1187,43,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:gitega",4542,1386,73,4542,1386,73,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:ngozi",4253,1274,60,4253,1274,60,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:cibitoke",4745,1401,65,4745,1401,65,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:muramvya",3862,1157,44,3862,1157,44,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:mwaro",3504,1034,24,3504,1034,24,"eligible_MAP"
