"variant","band","pct_per_10","lo","hi","beta_water","beta_sanit"
"original","<1 month",0.794801040206328,-0.523699016501811,2.13077704226379,2.58900830942708,2.11663392796018
"original","1-3 months",3.6286583795738,1.4007606865069,5.90550568699437,-3.74834545303799,-4.77552498544432
"original","4-11 months",6.94346495327598,5.10166626848911,8.81753926713442,-1.76566386681906,-1.78688560125088
"original","12-23 months",7.19659378647,4.98662076587169,9.45308683710779,-3.56139980707376,1.17653989499309
"original","24-35 months",7.33947194758757,4.92884178362365,9.80548381298489,-2.78881660325448,-2.30210150902849
"original","36-59 months",3.41377062970991,1.17218113879216,5.70502519050395,-4.01452156103188,1.60789370717516
"api_water","<1 month",0.701159315188193,-0.612541333558925,2.03222442236575,1.6176901429088,2.31179020286538
"api_water","1-3 months",3.7561076931286,1.53100996535729,6.02996943792113,-3.00541382632925,-5.12560121694174
"api_water","4-11 months",6.96979386773264,5.13770439754826,8.83380862909582,-2.51864581193286,-1.87439950171174
"api_water","12-23 months",7.31453762439376,5.11455152225935,9.56056814929831,-3.49499875153022,0.876471194193296
"api_water","24-35 months",7.47465871374469,5.06999017923404,9.9343613331639,-1.5435073759473,-2.63013306963868
"api_water","36-59 months",3.5108998428337,1.27797079191334,5.79305946292381,-3.94032008369635,1.17588182440898
"api_water_sanit","<1 month",0.710808435780996,-0.600408874870262,2.03932250606969,1.25029225707054,2.70902241992814
"api_water_sanit","1-3 months",3.75278479119925,1.525411567128,6.0290245148269,-2.92096429351553,-2.32605520464717
"api_water_sanit","4-11 months",6.9674971153227,5.13560805381792,8.83130512033084,-2.47790137863062,-0.563020896964739
"api_water_sanit","12-23 months",7.29577070041494,5.09958710425962,9.537846221752,-4.55374289217717,5.98980409658805
"api_water_sanit","24-35 months",7.4759063238419,5.06964767389855,9.93727204627111,-1.43344480245833,-1.31293957104985
"api_water_sanit","36-59 months",3.51563961521542,1.2853746639808,5.7950141419362,-4.75958152016909,5.16584800572497
"drop_water_sanit","<1 month",0.631889158209931,-0.678304874834579,1.95936650888269,NA,NA
"drop_water_sanit","1-3 months",3.88406603314535,1.6564821113574,6.16046268212538,NA,NA
"drop_water_sanit","4-11 months",7.06021113933324,5.23135483247423,8.92085184539972,NA,NA
"drop_water_sanit","12-23 months",7.44475638994369,5.24731577840476,9.6880769862169,NA,NA
"drop_water_sanit","24-35 months",7.52966324593358,5.13098778901515,9.98306703812812,NA,NA
"drop_water_sanit","36-59 months",3.68128149993152,1.4542466879153,5.9572022306337,NA,NA
