"svkey","regkey","recomputed","corrected","share_numeric_codes"
"AO62FL","hyperendemic",26.2111601115813,26.3416295764436,0
"AO62FL","luanda",59.5647245895175,60.2251687729554,0
"AO62FL","mesoendemicstable",54.0173029916252,54.4681146899806,0
"AO62FL","mesoendemicunstable",57.4406766361658,58.1947554486409,0
"AO71FL","bengo",16.3965968358431,16.676972148888,0
"AO71FL","benguela",47.1151721792317,47.3013859582985,0
"AO71FL","bie",49.7542968212557,50.0930629283321,0
"AO71FL","cabinda",79.90852586406,81.1292205185073,0
"AO71FL","cuandocubango",35.1938171357367,35.3189194280952,0
"AO71FL","cuanzanorte",46.9842280298535,47.7016953732694,0
"AO71FL","cuanzasul",22.535534051851,22.6281109146065,0
"AO71FL","cunene",41.6796014468626,41.9872069368121,0
"AO71FL","huambo",47.9301506978036,47.9301506978036,0
"AO71FL","huila",38.1116298331609,38.200356004587,0
"AO71FL","luanda",49.6683422018902,50.0277876935605,0
"AO71FL","lundanorte",33.4080988309709,33.5726871604234,0
"AO71FL","lundasul",23.499295222518,23.7564536062186,0
"AO71FL","malanje",49.4500054551654,49.9506021701696,0
"AO71FL","moxico",18.1044425481317,18.1459818219201,0
"AO71FL","namibe",53.303459882763,53.5172301876957,0
"AO71FL","uige",26.6702876302488,26.8878129443801,0
"AO71FL","zaire",32.3978726287291,32.8868209153907,0
"AO81FL","bengo",41.0437659401116,42.1192617441901,0
"AO81FL","benguela",68.6216841155874,68.7573806353393,0
"AO81FL","bie",47.6651939045447,48.0094700086602,0
"AO81FL","cabinda",85.1157160984269,86.4826803263466,0
"AO81FL","cuandocubango",51.7429924705949,52.2749775442023,0
"AO81FL","cunene",65.5101111562265,66.4143656071791,0
"AO81FL","huambo",45.1144703087201,45.371709035067,0
"AO81FL","huila",63.3138765104964,64.0789525938006,0
"AO81FL","luanda",74.4851592426388,75.180288461465,0
"AO81FL","malanje",58.5420702005102,58.8814056463068,0
"AO81FL","moxico",46.0016560600654,46.0870644115151,0
"AO81FL","namibe",70.5840786145187,71.0381882560568,0
"AO81FL","northcuanza",44.9710567377792,45.3052370684426,0
"AO81FL","northlunda",60.3445095946782,60.5810603307272,0
"AO81FL","southcuanza",52.2297974094697,52.4074158173501,0
"AO81FL","southlunda",73.3299534944435,73.5026015339657,0
"AO81FL","uige",34.3159539102075,34.6475026865786,0
"AO81FL","zaire",52.6349495297348,52.778640499025,0
"BU61FL","bujumburamairie",88.9449346132287,89.698222172551,0
"BU61FL","centraleast",77.9125856215541,78.0521620361959,0
"BU61FL","north",81.3071688524727,81.4763043851694,0
"BU61FL","south",68.0471579614187,68.1959538466055,0
"BU61FL","west",64.3210645903857,64.5255613219835,0
"BU71FL","bubanza",77.3297757359379,77.7021532859216,0
"BU71FL","bujumburamairie",96.8589457374045,97.2234340532061,0
"BU71FL","bujumburarural",91.938652523586,92.115533000837,0
"BU71FL","bururi",70.9377073380068,71.2744181836343,0
"BU71FL","cankuzo",66.6511802577585,66.6511802577585,0
"BU71FL","cibitoke",79.7269599629279,80.3355670796625,0
"BU71FL","gitega",77.7809411405218,77.9462439359908,0
"BU71FL","karusi",93.1754761386039,93.6661688884286,0
"BU71FL","kayanza",96.0602522758472,96.5590942564183,0
"BU71FL","kirundo",77.141132035145,77.4063470241505,0
"BU71FL","makamba",85.4047068184371,85.4047068184371,0
"BU71FL","muramvya",95.0735791331444,95.3173996111682,0
"BU71FL","muyinga",81.2589641745575,81.2589641745575,0
"BU71FL","mwaro",90.1641379854947,90.1824743295868,0
"BU71FL","ngozi",84.7234058652956,84.7234058652956,0
"BU71FL","rumonge",82.2206647397232,82.5628141265997,0
"BU71FL","rutana",53.3593238974032,53.7071340631636,0
"BU71FL","ruyigi",73.1249647046601,73.2496890385835,0
"BJ41FL","atacoradonga",20.3805152482723,20.7100496788767,0
"BJ41FL","atlantique",78.4266600462125,80.4086045555699,0
"BJ41FL","borgoualibori",32.3046330747883,33.068514448669,0
"BJ41FL","monocouffo",33.6217856735796,34.487044504751,0
"BJ41FL","quemeplateau",57.2035174867137,58.2789255593909,0
"BJ41FL","zoucollines",69.2567709555203,70.3558655041011,0
"BJ51FL","alibori",59.0972874621212,59.0972874621212,0
"BJ51FL","atacora",46.0771921827504,46.0771921827504,0
"BJ51FL","atlantique",70.2243156770599,70.2243156770599,0
"BJ51FL","borgou",68.43233146073,68.43233146073,0
"BJ51FL","collines",76.0394850885001,76.0394850885001,0
"BJ51FL","couffo",67.7865542679813,67.7865542679813,0
"BJ51FL","donga",41.7149258576521,41.7149258576521,0
"BJ51FL","littoral",98.3181194392625,98.3181194392625,0
"BJ51FL","mono",62.82176206372,62.82176206372,0
"BJ51FL","oueme",67.5658054833808,67.5658054833808,0
"BJ51FL","plateau",75.7427366469935,75.7427366469935,0
"BJ51FL","zou",69.1996380768817,69.1996380768817,0
"BJ61FL","alibori",57.4327006237975,57.7505717536618,0
"BJ61FL","atacora",69.8235785062976,70.3910882217316,0
"BJ61FL","atlantique",75.6114173613656,75.7866404538547,0
"BJ61FL","borgou",69.270904068718,69.5946459952322,0
"BJ61FL","collines",86.594478719767,86.594478719767,0
"BJ61FL","couffo",77.4575073695115,77.5505840286903,0
"BJ61FL","donga",60.3545460404245,60.5538174970517,0
"BJ61FL","littoral",97.7240683605075,98.5874691267033,0
"BJ61FL","mono",80.2219264562186,80.3630154601044,0
"BJ61FL","oueme",78.7774290222071,78.9823745710358,0
"BJ61FL","plateau",80.7798744466766,80.9467634305692,0
"BJ61FL","zou",75.2007400900175,75.2635568578627,0
"BJ71FL","alibori",36.621143010248,36.9995836147519,0
"BJ71FL","atacora",59.8659960429512,61.1042152348215,0
"BJ71FL","atlantic",76.0974102552597,76.8441268565233,0
"BJ71FL","borgou",64.3944341956724,64.8938815618732,0
"BJ71FL","collines",83.3606653841069,84.6072840293119,0
"BJ71FL","couffo",62.6035955214504,63.2614375283519,0
"BJ71FL","donga",48.6404066869526,49.0194533865812,0
"BJ71FL","littoral",97.6374813675459,98.2234223446517,0
"BJ71FL","mono",77.2497434320877,77.738154891544,0
"BJ71FL","oueme",83.1379906840259,83.4750648864419,0
"BJ71FL","plateau",76.467879024126,77.4556138512145,0
"BJ71FL","zou",77.1977383113465,78.4271084432708,0
"BF43FL","boucledumouhoun",32.717889818126,32.898792367298,0
"BF43FL","cascades",66.1996127971137,66.6186232606081,0
"BF43FL","centre",72.5324485725243,73.9754909935759,0
"BF43FL","centreest",79.6206964214578,80.1116351853313,0
"BF43FL","centrenord",65.5353676591464,65.7257504829352,0
"BF43FL","centreouest",46.9562450354295,47.1247832894288,0
"BF43FL","centresud",64.4114847999774,65.0985793268459,0
"BF43FL","est",62.453568285003,62.7546464165734,0
"BF43FL","hautsbassins",46.2623918240992,47.1434988247979,0
"BF43FL","nord",49.9367328466634,50.7043045451746,0
"BF43FL","ouagadougou",95.4898547456635,98.5513970618269,0
"BF43FL","plateaucentral",65.8648451573442,66.0985166171626,0
"BF43FL","sahel",33.4964856410708,33.6837998038904,0
"BF43FL","sudouest",39.3657254003223,39.8685587954209,0
"BF62FL","boucledumouhoun",61.7631674724626,61.918474499781,0
"BF62FL","cascades",91.1791622179625,92.0429498191177,0
"BF62FL","centre",96.7538462291014,97.6550718081685,0
"BF62FL","centreest",87.4781195505376,87.4781195505376,0
"BF62FL","centrenord",86.1553817174834,86.5193601213923,0
"BF62FL","centreouest",66.8990261036829,67.3859986183703,0
"BF62FL","centresud",84.6115121095646,85.4718026986787,0
"BF62FL","est",65.3178867514063,65.5831926601332,0
"BF62FL","hautsbassins",77.8160194769718,78.2022251629273,0
"BF62FL","nord",69.7264903772645,69.7745750329437,0
"BF62FL","plateaucentral",93.5585386765391,93.9411326973961,0
"BF62FL","sahel",59.3797771272031,59.7482876762825,0
"BF62FL","sudouest",52.2219442505558,52.7478506465126,0
"BF81FL","boucledumouhoun",50.640046946134,50.7650304975224,0
"BF81FL","cascades",93.019725557742,93.0749809759501,0
"BF81FL","centre",95.353778118077,96.9069974557643,0
"BF81FL","centreest",92.8912391756673,92.8912391756673,0
"BF81FL","centrenord",86.8763522346374,87.4299131118071,0
