"SurveyId","svkey","pipeline","dhs_api","diff","year"
"RW2015DHS","RW70FL",71.3286581716513,73,-1.6713418283487,2015
"RW2019DHS","RW81FL",79.1156826905153,80.4,-1.28431730948471,2019
"SL2008DHS","SL51FL",50.3147699266268,51.4,-1.08523007337322,2008
"SL2013DHS","SL61FL",59.3100570662922,60.9,-1.58994293370781,2013
"SL2019DHS","SL7AFL",65.825191058378,67,-1.17480894162199,2019
"SN2005DHS","SN4AFL",67.1778206159759,70.6,-3.42217938402408,2005
"SN2008MIS","SN5AFL",72.9703969336683,74.3,-1.32960306633167,2008
"SN2010DHS","SN61FL",77.1443799150117,79.7,-2.55562008498826,2010
"SN2012DHS","SN6DFL",73.3459910947865,78.8,-5.45400890521353,2012
"SN2014DHS","SN71FL",79.4418873553009,83.7,-4.25811264469907,2014
"SN2015DHS","SN7AFL",73.1999478506203,78.6,-5.40005214937968,2015
"SN2016DHS","SN7IFL",79.4331246592817,85.6,-6.16687534071832,2016
"SN2017DHS","SN7ZFL",78.408147780052,85.1,-6.69185221994795,2017
"SN2018DHS","SN81FL",78.8163770646767,85.6,-6.78362293532329,2018
"SN2019DHS","SN8BFL",78.5171765072273,86.2,-7.68282349277274,2019
"SN2023DHS","SN8SFL",86.329617747532,90.9,-4.57038225246804,2023
"ST2008DHS","ST51FL",94.2157242867818,94.2,0.0157242867817473,2008
"SZ2006DHS","SZ51FL",66.5009768852103,71.4,-4.8990231147897,2006
"TD2004DHS","TD41FL",44.656024641994,40.4,4.25602464199401,2004
"TD2014DHS","TD71FL",55.715110229708,55.8,-0.0848897702920084,2014
"TG2013DHS","TG61FL",63.6010055576736,67.7,-4.09899444232638,2013
"TZ2004DHS","TZ4IFL",46.9198071582117,51.3,-4.38019284178834,2004
"TZ2010DHS","TZ63FL",48.3316068285109,51.8,-3.46839317148908,2010
"TZ2015DHS","TZ7BFL",60.1602185750255,64,-3.83978142497453,2015
"TZ2022DHS","TZ82FL",70.8679438031555,73.5,-2.63205619684453,2022
"UG2000DHS","UG41FL",51.1282510565678,52.6,-1.47174894343223,2000
"UG2006DHS","UG52FL",66.2057289869222,68,-1.79427101307782,2006
"UG2009MIS","UG5AFL",70.4849082249538,70.3,0.184908224953816,2009
"UG2011DHS","UG61FL",70.0828949900166,71.4,-1.31710500998344,2011
"UG2016DHS","UG7BFL",76.9707556321255,79.2,-2.22924436787446,2016
"ZA2016DHS","ZA71FL",89.8985002092802,95.3,-5.40149979071978,2016
"ZM2002DHS","ZM42FL",52.1136084081511,51.3,0.813608408151097,2002
"ZM2007DHS","ZM51FL",41.7452836038338,41.1,0.645283603833754,2007
"ZM2013DHS","ZM61FL",64.2853718222632,64.7,-0.414628177736773,2013
"ZM2018DHS","ZM71FL",71.3053787322526,72.3,-0.994621267747391,2018
"ZM2024DHS","ZM81FL",69.760087221945,71.4,-1.63991277805498,2024
"ZW2005DHS","ZW52FL",75.429061122804,78.5,-3.07093887719604,2005
"ZW2010DHS","ZW62FL",75.9679991191327,79,-3.03200088086726,2010
"ZW2015DHS","ZW72FL",75.7153699530381,78.4,-2.68463004696189,2015
