"label","matched","w_hh","n_hh","surveys"
"bucket",FALSE,46.113869,56,1
"flush to latrine",TRUE,41.035444,32,1
"out of yard: latrine to open pit (ditch or river)",FALSE,40.026045,56,1
"bucket/potty/other container",FALSE,39.138904,45,1
"inside yard: latrine to piped public system",FALSE,37.10973,47,1
"indoors: flush to open pit (ditch or river)",FALSE,36.607466,49,1
"chemical toilet",FALSE,36.261148,18,1
"bucket/pan toilet",FALSE,35.902972,31,1
"latrine to piped sewer system",TRUE,34.972453,49,1
"hanging toilet / hanging latrine",FALSE,28.281413,25,2
"out of yard: flush to open pit (ditch or river)",FALSE,26.857261,36,1
"improved (ventilated) pit latrine",TRUE,25.95087,68,1
"stream/river",FALSE,24.896299,31,1
"toilet to somewhere else",FALSE,24.226364,29,1
"other place",FALSE,23.327755,26,1
"ventilated improved pit latrine (laa)",TRUE,21.078505,30,1
"no flush to piped sewer system",TRUE,20.995624,31,1
"no flush to somewhere else",FALSE,20.640875,22,1
"composting toilet/ecosan",TRUE,16.916533,21,1
"flush other",TRUE,10.99607,9,1
"out of yard: latrine to piped public system",FALSE,10.337781,9,1
"flush toilet connected to sewer system",TRUE,9.667486,10,1
"toilet to don't know where",FALSE,7.024643,15,1
"private flush toilet",TRUE,6.345483,17,1
"no flush, don't know where",TRUE,5.453612,6,1
"ecosan",FALSE,4.95013,7,1
"composting toilet/arbo loo",TRUE,4.852987,6,1
"water flow do not know where",FALSE,3.739717,3,1
