"SurveyId","svkey","pipeline","dhs_api","diff","year"
"AO2011MIS","AO62FL",13.7093921695237,44.2,-30.4906078304763,2011
"AO2015DHS","AO71FL",63.7473650272694,63.7,0.0473650272693931,2015
"AO2023DHS","AO81FL",67.0046772521999,66.8,0.204677252199872,2023
"BF2003DHS","BF43FL",19.3330351913754,21.4,-2.0669648086246,2003
"BF2010DHS","BF62FL",29.8919612448722,31.3,-1.40803875512781,2010
"BF2021DHS","BF81FL",61.9069588165807,64.3,-2.39304118341931,2021
"BJ2001DHS","BJ41FL",31.4615601993325,17.1,14.3615601993325,2001
"BJ2006DHS","BJ51FL",35.1328249602864,18,17.1328249602864,2006
"BJ2012DHS","BJ61FL",32.886156854765,33.7,-0.813843145234991,2012
"BJ2017DHS","BJ71FL",32.884647216271,34.4,-1.51535278372895,2017
"BU2010DHS","BU61FL",39.3527199990694,39.9,-0.547280000930556,2010
"BU2016DHS","BU71FL",49.7898594276159,49.8,-0.0101405723841097,2016
"CD2007DHS","CD51FL",0,37.8,-37.8,2007
"CD2013DHS","CD61FL",39.3327311255244,39.7,-0.36726887447562,2013
"CD2023DHS","CD81FL",32.7780513528744,33.5,-0.721948647125572,2023
"CG2005DHS","CG51FL",19.5284644502216,19.9,-0.371535549778429,2005
"CG2011DHS","CG61FL",41.0644250322016,41.6,-0.535574967798411,2011
"CI2012DHS","CI62FL",46.8631018449087,46.8,0.0631018449086724,2012
"CI2021DHS","CI81FL",61.5554285469297,64.1,-2.54457145307033,2021
"CM2004DHS","CM44FL",7.47678359071545,35.4,-27.9232164092846,2004
"CM2011DHS","CM61FL",57.9681880699123,59.2,-1.23181193008774,2011
"CM2018DHS","CM71FL",57.3088283234888,61.3,-3.99117167651123,2018
"ET2000DHS","ET41FL",0.523903588612695,0.6,-0.076096411387305,2000
"ET2005DHS","ET51FL",11.5652326889524,12.9,-1.33476731104759,2005
"ET2011DHS","ET61FL",15.5783870179218,17.8,-2.2216129820782,2011
"ET2016DHS","ET71FL",12.6154370236478,14.8,-2.18456297635224,2016
"ET2019DHS","ET81FL",18.1231696408963,19.5,-1.37683035910366,2019
"ET2024DHS","ET8AFL",45.7383184100683,47,-1.26168158993173,2024
"GA2000DHS","GA41FL",50.0180617881191,45.1,4.91806178811915,2000
"GA2012DHS","GA61FL",64.9138110338549,64.6,0.313811033854947,2012
"GA2019DHS","GA71FL",74.8599448477491,73.2,1.65994484774909,2019
"GH2003DHS","GH4BFL",33.2871944022193,36.7,-3.41280559778071,2003
"GH2008DHS","GH5AFL",66.1279657076595,71.3,-5.1720342923405,2008
"GH2014DHS","GH72FL",71.0601728485239,74.5,-3.4398271514761,2014
"GH2022DHS","GH8CFL",64.7190492764459,69.1,-4.38095072355408,2022
"GM2013DHS","GM61FL",58.9675299742568,60.9,-1.93247002574316,2013
"GM2019DHS","GM81FL",68.2744739140823,71.5,-3.22552608591766,2019
"GN2005DHS","GN52FL",4.0456323582561,27.6,-23.5543676417439,2005
"GN2012DHS","GN62FL",43.0728443103176,44.2,-1.12715568968239,2012
"GN2018DHS","GN71FL",49.7782755427749,51.5,-1.72172445722514,2018
"KE2003DHS","KE42FL",17.5353420744885,19.4,-1.86465792551146,2003
"KE2008DHS","KE52FL",46.4281711865015,49,-2.57182881349846,2008
"KE2014DHS","KE72FL",51.0152795280693,53.2,-2.18472047193075,2014
"KE2022DHS","KE8CFL",69.2294824231714,71.8,-2.57051757682858,2022
"KM2012DHS","KM61FL",37.9028926598643,39.3,-1.39710734013565,2012
"LB2007DHS","LB51FL",27.0551824785673,28.2,-1.1448175214327,2007
"LB2009MIS","LB5AFL",43.5976032541232,43.9,-0.302396745876841,2009
"LB2013DHS","LB6AFL",40.6488912583548,41.7,-1.05110874164522,2013
"LB2019DHS","LB7AFL",46.9315376409483,46.5,0.431537640948299,2019
"MD2004DHS","MD42FL",2.53272589278722,3.1,-0.567274107212781,2004
"MD2008DHS","MD51FL",5.4260611632179,4.4,1.0260611632179,2008
"MD2021DHS","MD81FL",32.6546994975842,33.8,-1.14530050241582,2021
"ML2001DHS","ML41FL",17.4209697047741,15,2.42096970477412,2001
"ML2006DHS","ML53FL",21.181612543669,21.3,-0.118387456330996,2006
"ML2012DHS","ML6AFL",40.989480732668,41.3,-0.310519267331969,2012
"ML2018DHS","ML7AFL",56.0804281801801,55.4,0.680428180180066,2018
"ML2023DHS","ML8AFL",71.4171114521262,71.9,-0.482888547873813,2023
"MR2020DHS","MR71FL",56.6992478179587,58.9,-2.20075218204133,2020
"MW2000DHS","MW41FL",3.47491802023831,3.6,-0.125081979761693,2000
"MW2004DHS","MW4EFL",0,4.5,-4.5,2004
"MW2010DHS","MW61FL",13.5809943565386,13.7,-0.119005643461408,2010
"MW2015DHS","MW7AFL",83.0015509022097,82.9,0.101550902209652,2015
"MW2024DHS","MW81FL",47.8550739479081,69,-21.1449260520919,2024
"MZ2003DHS","MZ41FL",3.80659070111489,2.3,1.50659070111489,2003
"MZ2011DHS","MZ62FL",26.9029885958869,26.1,0.802988595886873,2011
"MZ2022DHS","MZ81FL",36.9341991180772,36.1,0.834199118077152,2022
"NG2003DHS","NG4BFL",15.8429967349656,17.9,-2.05700326503437,2003
"NG2008DHS","NG53FL",52.5777098336479,53.1,-0.522290166352093,2008
"NG2010MIS","NG61FL",41.8229885957549,42.5,-0.677011404245093,2010
"NG2013DHS","NG6AFL",53.251735891959,55,-1.74826410804103,2013
"NG2018DHS","NG7BFL",53.5263734560647,55.5,-1.97362654393531,2018
"NG2024DHS","NG8BFL",64.7406852400511,66.6,-1.85931475994887,2024
"NI2006DHS","NI51FL",8.35424942205936,8.4,-0.0457505779406446,2006
"NI2012DHS","NI61FL",18.6973165580939,18.8,-0.102683441906134,2012
"NM2000DHS","NM41FL",38.5836295683472,38.3,0.283629568347209,2000
"NM2006DHS","NM51FL",44.8490142143111,47.3,-2.45098578568891,2006
"NM2013DHS","NM61FL",47.4787173630759,49.2,-1.72128263692411,2013
"RW2000DHS","RW41FL",8.49694783303809,8.5,-0.00305216696191302,2000
"RW2005DHS","RW53FL",0.859079156076786,28.5,-27.6409208439232,2005
"RW2008DHS","RW5AFL",56.7558075251528,56.3,0.4558075251528,2008
"RW2010DHS","RW61FL",73.7753018366883,74.3,-0.524698163311697,2010
"RW2015DHS","RW70FL",70.8053783198187,71.2,-0.394621680181331,2015
"RW2019DHS","RW81FL",71.471396692967,72.2,-0.72860330703304,2019
"SL2008DHS","SL51FL",42.7365170870974,44,-1.26348291290262,2008
"SL2013DHS","SL61FL",48.4450632925868,49.3,-0.854936707413195,2013
"SL2019DHS","SL7AFL",52.7864503389902,54.5,-1.71354966100981,2019
"SN2005DHS","SN4AFL",0,18.7,-18.7,2005
"SN2008MIS","SN5AFL",0.121165168750409,64.8,-64.6788348312496,2008
"SN2010DHS","SN61FL",57.715101226298,60.2,-2.48489877370199,2010
"SN2012DHS","SN6DFL",59.0717043500036,63.8,-4.72829564999638,2012
"SN2014DHS","SN71FL",63.1369686262865,65.9,-2.76303137371354,2014
"SN2015DHS","SN7AFL",61.3766334833971,65.1,-3.72336651660291,2015
"SN2016DHS","SN7IFL",64.3712774871437,68.1,-3.72872251285625,2016
"SN2017DHS","SN7ZFL",69.1261367627886,72.7,-3.57386323721138,2017
"SN2018DHS","SN81FL",75.1784571490556,77.8,-2.62154285094441,2018
"SN2019DHS","SN8BFL",72.5741659942059,75.9,-3.32583400579412,2019
"SN2023DHS","SN8SFL",76.8739235966334,78.7,-1.82607640336663,2023
"ST2008DHS","ST51FL",0,38.1,-38.1,2008
"SZ2006DHS","SZ51FL",34.4866072429581,37.3,-2.81339275704192,2006
"TD2004DHS","TD41FL",3.73318442607256,3.9,-0.166815573927438,2004
"TD2014DHS","TD71FL",13.2906182708215,13.9,-0.609381729178503,2014
"TG2013DHS","TG61FL",40.9190784044336,43.4,-2.48092159556639,2013
"TZ2004DHS","TZ4IFL",5.97451044931961,6.6,-0.625489550680387,2004
"TZ2010DHS","TZ63FL",19.9135346434398,20.6,-0.686465356560166,2010
"TZ2015DHS","TZ7BFL",34.144704553495,74.9,-40.755295446505,2015
"TZ2022DHS","TZ82FL",73.6099873700534,74.9,-1.29001262994656,2022
"UG2000DHS","UG41FL",3.68354649725765,3.9,-0.216453502742346,2000
"UG2006DHS","UG52FL",86.4738344696785,26.9,59.5738344696785,2006
"UG2009MIS","UG5AFL",91.9274897017636,32.5,59.4274897017636,2009
"UG2011DHS","UG61FL",89.3201668888675,35.2,54.1201668888675,2011
"UG2016DHS","UG7BFL",37.097110791094,38.9,-1.80288920890599,2016
"ZA2016DHS","ZA71FL",72.1920037302325,95.6,-23.4079962697675,2016
"ZM2002DHS","ZM42FL",18.6515735852872,17.2,1.45157358528717,2002
"ZM2007DHS","ZM51FL",36.1738455041214,35.5,0.673845504121431,2007
"ZM2013DHS","ZM61FL",45.0163697213202,45.5,-0.483630278679826,2013
"ZM2018DHS","ZM71FL",53.2302527504251,54.4,-1.16974724957494,2018
