"DataId","Indicator","Value","Precision","DHS_CountryCode","CountryName","SurveyYear","SurveyId","IndicatorId","IndicatorOrder","IndicatorType","CharacteristicId","CharacteristicOrder","CharacteristicCategory","CharacteristicLabel","ByVariableId","ByVariableLabel","IsTotal","IsPreferred","SDRID","RegionId","SurveyYearLabel","SurveyType","DenominatorWeighted","DenominatorUnweighted","CILow","CIHigh","LevelRank"
166715,"Households using an improved water source",58.9,1,"AO","Angola",2011,"AO2011MIS","WS_SRCE_H_IMP",250161010,"I",1000,0,"Total","Total",0,"",1,1,"WSSRCEHIMP","","2011","MIS",8030,8030,"","",""
170280,"Population using an improved water source",62.2,1,"AO","Angola",2011,"AO2011MIS","WS_SRCE_P_IMP",250162010,"I",1000,0,"Total","Total",0,"",1,1,"WSSRCEPIMP","","2011","MIS",39967,39886,"","",""
166446,"Households with an improved sanitation facility",44.2,1,"AO","Angola",2011,"AO2011MIS","WS_TLET_H_IMP",250261010,"I",1000,0,"Total","Total",0,"",1,1,"WSTLETHIMP","","2011","MIS",8030,8030,"","",""
166774,"Population with an improved sanitation facility",47.8,1,"AO","Angola",2011,"AO2011MIS","WS_TLET_P_IMP",250262010,"I",1000,0,"Total","Total",0,"",1,1,"WSTLETPIMP","","2011","MIS",39967,39886,"","",""
97641,"Households using an improved water source",66.9,1,"AO","Angola",2015,"AO2015DHS","WS_SRCE_H_IMP",250161010,"I",1000,0,"Total","Total",0,"",1,1,"WSSRCEHIMP","","2015-16","DHS",16109,16109,"","",""
404568,"Population using an improved water source",68.9,1,"AO","Angola",2015,"AO2015DHS","WS_SRCE_P_IMP",250162010,"I",1000,0,"Total","Total",0,"",1,1,"WSSRCEPIMP","","2015-16","DHS",77465,73914,"","",""
365631,"Households with an improved sanitation facility",63.7,1,"AO","Angola",2015,"AO2015DHS","WS_TLET_H_IMP",250261010,"I",1000,0,"Total","Total",0,"",1,1,"WSTLETHIMP","","2015-16","DHS",16109,16109,"","",""
78039,"Population with an improved sanitation facility",66.6,1,"AO","Angola",2015,"AO2015DHS","WS_TLET_P_IMP",250262010,"I",1000,0,"Total","Total",0,"",1,1,"WSTLETPIMP","","2015-16","DHS",77465,73914,"","",""
345747,"Households using an improved water source",69.9,1,"AO","Angola",2023,"AO2023DHS","WS_SRCE_H_IMP",250161010,"I",1000,0,"Total","Total",0,"",1,1,"WSSRCEHIMP","","2023-24","DHS",16243,16243,"","",""
671752,"Population using an improved water source",70.9,1,"AO","Angola",2023,"AO2023DHS","WS_SRCE_P_IMP",250162010,"I",1000,0,"Total","Total",0,"",1,1,"WSSRCEPIMP","","2023-24","DHS",74353,75259,"","",""
820147,"Households with an improved sanitation facility",66.8,1,"AO","Angola",2023,"AO2023DHS","WS_TLET_H_IMP",250261010,"I",1000,0,"Total","Total",0,"",1,1,"WSTLETHIMP","","2023-24","DHS",16243,16243,"","",""
395814,"Population with an improved sanitation facility",68.1,1,"AO","Angola",2023,"AO2023DHS","WS_TLET_P_IMP",250262010,"I",1000,0,"Total","Total",0,"",1,1,"WSTLETPIMP","","2023-24","DHS",74353,75259,"","",""
834855,"Households using an improved water source",60.6,1,"BF","Burkina Faso",2003,"BF2003DHS","WS_SRCE_H_IMP",250161010,"I",1000,0,"Total","Total",0,"",1,1,"WSSRCEHIMP","","2003","DHS",9097,9097,"","",""
