"svkey","regkey","imp_water","year","Value"
"AO62FL","hyperendemic",26.2111601115813,2011,30.7
"AO62FL","luanda",59.5647245895175,2011,97.7
"AO71FL","bengo",16.3965968358431,2015,41.9
"AO71FL","benguela",47.1151721792317,2015,60.6
"AO71FL","bie",49.7542968212557,2015,56.7
"AO71FL","cabinda",79.90852586406,2015,85.3
"AO71FL","cuandocubango",35.1938171357367,2015,54.3
"AO71FL","cuanzanorte",46.9842280298535,2015,79.3
"AO71FL","cuanzasul",22.535534051851,2015,35.8
"AO71FL","cunene",41.6796014468626,2015,65
"AO71FL","huambo",47.9301506978036,2015,53.9
"AO71FL","huila",38.1116298331609,2015,50.7
"AO71FL","luanda",49.6683422018902,2015,96.7
"AO71FL","lundanorte",33.4080988309709,2015,54.3
"AO71FL","lundasul",23.499295222518,2015,60.6
"AO71FL","malanje",49.4500054551654,2015,54.7
"AO71FL","moxico",18.1044425481317,2015,41.1
"AO71FL","namibe",53.303459882763,2015,73.3
"AO71FL","uige",26.6702876302488,2015,40
"AO71FL","zaire",32.3978726287291,2015,70.2
"AO81FL","bengo",41.0437659401116,2023,48.8
"AO81FL","benguela",68.6216841155874,2023,77.8
"AO81FL","bie",47.6651939045447,2023,43.8
"AO81FL","cabinda",85.1157160984269,2023,89.9
"AO81FL","cuandocubango",51.7429924705949,2023,49.8
"AO81FL","cunene",65.5101111562265,2023,67.9
"AO81FL","huambo",45.1144703087201,2023,42
"AO81FL","huila",63.3138765104964,2023,63
"AO81FL","luanda",74.4851592426388,2023,99.9
"AO81FL","malanje",58.5420702005102,2023,60.4
"AO81FL","moxico",46.0016560600654,2023,45.7
"AO81FL","namibe",70.5840786145187,2023,80.4
"AO81FL","uige",34.3159539102075,2023,32.4
"AO81FL","zaire",52.6349495297348,2023,58.4
"BF43FL","cascades",66.1996127971137,2003,67.8
"BF43FL","centreest",79.6206964214578,2003,79.7
"BF43FL","centrenord",65.5353676591464,2003,67.3
"BF43FL","centreouest",46.9562450354295,2003,47.3
"BF43FL","centresud",64.4114847999774,2003,65.4
"BF43FL","est",62.453568285003,2003,64.6
"BF43FL","hautsbassins",46.2623918240992,2003,52.7
"BF43FL","nord",49.9367328466634,2003,50.7
"BF43FL","ouagadougou",95.4898547456635,2003,98.3
"BF43FL","plateaucentral",65.8648451573442,2003,65.7
"BF43FL","sahel",33.4964856410708,2003,34.8
"BF43FL","sudouest",39.3657254003223,2003,37.6
"BF62FL","cascades",91.1791622179625,2010,92.1
"BF62FL","centreest",87.4781195505376,2010,86.8
"BF62FL","centrenord",86.1553817174834,2010,88.1
"BF62FL","centreouest",66.8990261036829,2010,69.9
"BF62FL","centresud",84.6115121095646,2010,86.3
"BF62FL","est",65.3178867514063,2010,65.6
"BF62FL","hautsbassins",77.8160194769718,2010,77.7
"BF62FL","nord",69.7264903772645,2010,70.8
"BF62FL","plateaucentral",93.5585386765391,2010,93.7
"BF62FL","sahel",59.3797771272031,2010,60.5
"BF62FL","sudouest",52.2219442505558,2010,54.2
"BF81FL","cascades",93.019725557742,2021,93.5
"BF81FL","centreest",92.8912391756673,2021,94.1
"BF81FL","centrenord",86.8763522346374,2021,88.8
"BF81FL","centreouest",65.7473677513464,2021,69.4
"BF81FL","centresud",96.8228850364172,2021,97.2
"BF81FL","est",87.3817077861848,2021,89.9
"BF81FL","hautsbassins",78.6757325853801,2021,81.5
