"label","matched","numeric_code","w_hh","n_hh","surveys"
"neighbor's open well",FALSE,FALSE,242.062182,210,2
"in the courtyard",FALSE,FALSE,234.03464,217,1
"not de-jure resident",FALSE,FALSE,225.964824,232,2
"neighbor's borehole",TRUE,FALSE,220.961945,149,2
"water vendor",FALSE,FALSE,189.724785,180,3
"neighbor's tap/standpipe",TRUE,FALSE,181.591249,148,1
"rainwater in a cistern",TRUE,FALSE,172.097264,170,1
"in own land",FALSE,FALSE,170.278166,195,1
"not a de-jure resident",FALSE,FALSE,168.996829,136,1
"open well in yard",FALSE,FALSE,155.714159,175,1
"bottled water or sachets",TRUE,FALSE,153.176864,134,1
"not in de jure sample",FALSE,FALSE,149.250651,151,1
"piped into residence/yard",TRUE,FALSE,146.810543,418,1
"large bottle",FALSE,FALSE,145.746334,293,1
"not dejure member",FALSE,FALSE,138.836807,140,1
"water in plastic bag",FALSE,FALSE,135.409218,105,1
"31",FALSE,TRUE,131.169945,118,1
"water sachets (pure water)",TRUE,FALSE,129.388007,140,1
"public protected well",TRUE,FALSE,115.958488,204,1
"water merchant from covered well",FALSE,FALSE,113.638027,257,1
"protected well in yard",TRUE,FALSE,110.201674,102,1
"piped to buy",TRUE,FALSE,107.772127,75,1
"open well in compound/plot",FALSE,FALSE,88.315239,95,1
"surface water",FALSE,FALSE,84.496458,91,1
"autonomous water station",FALSE,FALSE,78.002426,108,1
"97",FALSE,TRUE,77.59624,82,1
"improved spring",FALSE,FALSE,70.121953,78,1
"borehole in yard/plot",TRUE,FALSE,69.692297,76,3
"water bag",FALSE,FALSE,66.181834,77,2
"vendor: cart with small tank",FALSE,FALSE,61.689127,59,1
"21",FALSE,TRUE,59.999871,61,1
"bicycle with jerrycans",FALSE,FALSE,59.73119,50,1
"covered well/borehole in the yard",TRUE,FALSE,55.285471,63,1
"sea, lake",FALSE,FALSE,55.201301,77,1
"34",FALSE,TRUE,53.927839,125,1
"not de jure",FALSE,FALSE,53.783228,48,1
"public open well",FALSE,FALSE,52.677716,78,1
"water kiosk",FALSE,FALSE,52.587103,56,1
"unprotected well/spring in yard/plot",FALSE,FALSE,52.137393,45,2
"piped to elsewhere",TRUE,FALSE,45.96509,39,1
"bag of water",FALSE,FALSE,45.338603,35,1
"gravity flow water",FALSE,FALSE,43.317379,38,1
"protected well/spring in yard/plot",TRUE,FALSE,38.379308,37,2
"piped to neighbour",TRUE,FALSE,31.370506,27,1
"satchel water",FALSE,FALSE,30.315942,23,1
"gravity flow scheme",FALSE,FALSE,29.264548,41,1
"other rainwater",TRUE,FALSE,26.971872,28,1
"piped in dwelling",TRUE,FALSE,25.757911,52,1
"44",FALSE,TRUE,20.543684,27,1
"vendor = cart with small tank",FALSE,FALSE,19.921777,20,1
"protected well in yard/ compound",TRUE,FALSE,19.208129,22,1
"water merchant from pond/lake",FALSE,FALSE,15.184531,18,1
"open well at neighbour",FALSE,FALSE,14.798187,9,1
"water merchant from unknown source",FALSE,FALSE,13.94529,27,1
"bag water",FALSE,FALSE,13.022088,11,1
"open well in yard/compound",FALSE,FALSE,11.523533,16,1
"water bags",FALSE,FALSE,8.935293,10,1
"water merchant from tradit. well",FALSE,FALSE,7.777597,20,1
"water sachet",TRUE,FALSE,6.500707,9,1
"water kiosk/domestic points",FALSE,FALSE,5.844163,5,1
"others",FALSE,FALSE,3.811843,7,1
"tanker truck/bowser",FALSE,FALSE,3.624052,3,1
"canal",FALSE,FALSE,0.985086,1,1
