"svkey","regkey","imp_water","imp_sanit","imp_water_api","imp_water_api_source","imp_sanit_api","imp_sanit_api_source"
"GH5AFL","ashanti",94.3526600634328,80.7213137846549,94.7,"regional",83.9,"regional"
"GH5AFL","brongahafo",78.3929798126545,82.8012973201374,78.6,"regional",82.6,"regional"
"GH5AFL","central",84.9149394578159,81.1189623892952,93.4,"regional",83.8,"regional"
"GH5AFL","eastern",85.6756607908993,71.9317522319186,85.4,"regional",75,"regional"
"GH5AFL","greateraccra",97.6528192034991,85.9115601911435,99.2,"regional",89.9,"regional"
"GH5AFL","northern",72.942642247243,26.4359985516353,87.5,"national",71.3,"national"
"GH5AFL","uppereast",95.848897631138,11.6296835946155,96.2,"regional",11.2,"regional"
"GH5AFL","upperwest",97.180217302647,30.0908181876124,95.8,"regional",37.4,"regional"
"GH5AFL","volta",70.4477058979761,53.2893775506088,87.5,"national",71.3,"national"
"GH5AFL","western",73.2449169735351,61.7778702528964,87.5,"national",71.3,"national"
"GH72FL","ashanti",93.2589060911024,78.6657996801183,94.7,"regional",79.2,"regional"
"GH72FL","brongahafo",84.344257785381,74.1675167604166,87.9,"regional",78.1,"regional"
"GH72FL","central",86.4266102659436,79.1570821307295,90.5,"regional",81.7,"regional"
"GH72FL","eastern",79.9761010904817,73.2241255256913,82.4,"regional",74.9,"regional"
"GH72FL","greateraccra",97.2040199922554,88.6422155201906,98.8,"regional",88.5,"regional"
"GH72FL","northern",75.8407574234696,26.1412119552727,90.1,"national",74.5,"national"
"GH72FL","uppereast",88.9034005898774,20.2104801246204,89.7,"regional",20.1,"regional"
"GH72FL","upperwest",93.0362379740977,36.3557809141849,95.9,"regional",40.6,"regional"
"GH72FL","volta",81.8178585868378,57.4148072820659,90.1,"national",74.5,"national"
"GH72FL","western",82.8792210201641,83.4505097049387,90.1,"national",74.5,"national"
"GH8CFL","ahafo",83.5342617067152,50.1925687445168,83.3,"regional",54.2,"regional"
"GH8CFL","ashanti",95.3577438409714,80.6986005738064,96.8,"regional",84.7,"regional"
"GH8CFL","bono",91.2819238739101,70.408316252813,92.2,"regional",71.3,"regional"
"GH8CFL","bonoeast",82.2819301497931,52.8111793242955,86.4,"regional",57.2,"regional"
"GH8CFL","central",89.9017005887419,72.5473747529601,91.8,"regional",72,"regional"
"GH8CFL","eastern",87.9755728099713,72.7300244833643,88.7,"regional",74.7,"regional"
"GH8CFL","greateraccra",98.2289869527732,91.1583427943109,98.5,"regional",91.4,"regional"
"GH8CFL","northeast",57.9847836533786,20.2907071890572,59.3,"regional",21.9,"regional"
"GH8CFL","northern",70.2836064555394,26.6455020095618,90.5,"national",69.1,"national"
"GH8CFL","oti",63.3283190882931,42.0392876794801,66.9,"regional",48.7,"regional"
"GH8CFL","savannah",58.3747241271221,25.5319257011823,61.9,"regional",26.5,"regional"
"GH8CFL","uppereast",95.5973121738071,26.6417646186667,96.8,"regional",30,"regional"
"GH8CFL","upperwest",96.7603311687715,24.2601467225498,97.9,"regional",26.9,"regional"
"GH8CFL","volta",86.2374463037925,68.9423005240919,90.5,"national",69.1,"national"
"GH8CFL","western",90.553199023341,68.3641600243161,90.5,"national",69.1,"national"
"GH8CFL","westernnorth",82.778951580042,49.1439980484267,83.4,"regional",51.7,"regional"
"GN52FL","boke",20.9682148820793,10.8518265013944,50.3,"regional",20,"regional"
"GN52FL","conakry",93.4377340317592,13.6112162093392,96.4,"regional",73.7,"regional"
"GN52FL","faranah",21.4605918441013,0.748996139823302,67,"regional",13.6,"regional"
"GN52FL","kankan",17.7904277521591,0.278606471746747,79.6,"regional",20,"regional"
"GN52FL","kindia",20.9890116843832,3.51807009770765,56.8,"regional",27.9,"regional"
"GN52FL","labe",9.25018604137643,0.501724844516059,53.7,"regional",14,"regional"
"GN52FL","mamou",18.4481039427836,0.292514446663955,48.1,"regional",18.3,"regional"
"GN52FL","nzerekore",17.1398498232718,1.48244541373569,45.6,"regional",21.2,"regional"
"GN62FL","boke",71.1244205218044,36.4891725765007,70.2,"regional",35.9,"regional"
"GN62FL","conakry",97.7687420948941,90.5614222076829,99.5,"regional",91.3,"regional"
"GN62FL","faranah",78.0184399378816,22.6867878172109,78.6,"regional",23.3,"regional"
"GN62FL","kankan",79.7220026245078,29.1644899312852,80.9,"regional",30.7,"regional"
"GN62FL","kindia",53.9156911114426,42.5262519278112,56,"regional",41.3,"regional"
"GN62FL","labe",61.2547305179463,32.6666084709958,60.1,"regional",32.8,"regional"
"GN62FL","mamou",53.3785530194136,26.833835289,56.4,"regional",28.6,"regional"
"GN62FL","nzerekore",80.4913421130337,36.9940654049645,81.3,"regional",38.1,"regional"
"GN71FL","boke",66.7869947049907,44.0033008411516,67.8,"regional",44.8,"regional"
"GN71FL","conakry",95.8202735863701,93.0975364786393,98.5,"regional",94.4,"regional"
"GN71FL","faranah",85.6576584957458,30.9362353267412,86.7,"regional",32.7,"regional"
"GN71FL","kankan",90.4848063733017,60.1748078999669,90.9,"regional",59.1,"regional"
"GN71FL","kindia",61.3603098845316,42.0022921904221,62.5,"regional",43.1,"regional"
"GN71FL","labe",61.5787833310899,34.0288559857795,62.7,"regional",37,"regional"
"GN71FL","mamou",63.1355223602802,46.1650126984862,63.7,"regional",46.3,"regional"
"GN71FL","nzerekore",88.7788658538651,35.6811071624811,90.5,"regional",37.2,"regional"
"GM61FL","banjul",99.0093579952233,97.809966535065,98.9,"regional",97.4,"regional"
"GM61FL","basse",92.2362797705601,43.7306228758691,92.7,"regional",41.4,"regional"
"GM61FL","brikama",86.8765705842337,58.9962284657858,87.2,"regional",61.6,"regional"
"GM61FL","janjanbureh",77.5572237160436,55.0505455483531,80.8,"regional",53.4,"regional"
"GM61FL","kanifing",98.4240650501959,81.3771640427736,98.5,"regional",82.7,"regional"
"GM61FL","kerewan",88.5002786727136,57.6629266579062,89.7,"regional",57.8,"regional"
"GM61FL","kuntaur",82.6733815945652,19.0607303299945,82,"regional",19.3,"regional"
"GM61FL","mansakonko",95.8291154711726,25.0280845935521,96.8,"regional",25.2,"regional"
"GM81FL","banjul",99.0819543613957,96.9100601666266,100,"regional",97.6,"regional"
"GM81FL","basse",95.956056243635,50.0277354423057,97.4,"regional",54,"regional"
"GM81FL","brikama",90.1249629691428,73.0826120231278,92.4,"regional",75.7,"regional"
"GM81FL","janjanbureh",86.3160117991471,21.8911102418387,87.8,"regional",23.6,"regional"
"GM81FL","kanifing",99.516910674702,89.0757581220127,100,"regional",89.6,"regional"
"GM81FL","kerewan",94.960810107654,58.0589311883223,96.6,"regional",59.1,"regional"
"GM81FL","kuntaur",87.3300599546912,38.350369309452,89.9,"regional",39.5,"regional"
"GM81FL","mansakonko",89.64774351955,46.7134781964556,92.4,"regional",51.4,"regional"
"KE42FL","central",41.1813185374117,14.7612996058266,55,"regional",15.1,"regional"
"KE42FL","coast",55.5833067866784,25.7823311130495,61.2,"regional",26.9,"regional"
"KE42FL","eastern",29.1041450895423,11.8348219152821,42.1,"regional",13.7,"regional"
"KE42FL","nairobiarea",92.0973481461202,69.3888274029624,45.4,"national",19.4,"national"
"KE42FL","northeastern",3.56746816582802,1.35921716962115,11.5,"regional",1.7,"regional"
"KE42FL","nyanza",16.131771496096,6.61934147903944,27,"regional",7.6,"regional"
"KE42FL","riftvalley",18.8973460685895,14.3957686901407,39.6,"regional",16.6,"regional"
