"label","n_hh","w_hh","matched","numeric_code","svkey","variable"
"no facility/outdoors/bush",3389,2692.006003,FALSE,FALSE,"AO71FL","v116"
"not a dejure resident",71,60.833157,FALSE,FALSE,"AO71FL","v116"
"other",39,37.092652,FALSE,FALSE,"AO71FL","v116"
"out of yard: flush to open pit (ditch or river)",36,26.857261,FALSE,FALSE,"AO71FL","v116"
"out of yard: flush to piped public system",40,66.677865,TRUE,FALSE,"AO71FL","v116"
"out of yard: flush to septic tank",246,198.095818,TRUE,FALSE,"AO71FL","v116"
"out of yard: latrine to open pit (ditch or river)",56,40.026045,FALSE,FALSE,"AO71FL","v116"
"out of yard: latrine to piped public system",9,10.337781,FALSE,FALSE,"AO71FL","v116"
"out of yard: latrine to septic tank",103,89.231568,TRUE,FALSE,"AO71FL","v116"
"no",6426,5351.15873300007,FALSE,FALSE,"AO71FL","v119"
"not a dejure resident",71,60.833157,FALSE,FALSE,"AO71FL","v119"
"yes",3647,4363.00822700001,TRUE,FALSE,"AO71FL","v119"
"bucket toilet",33,29.949149,FALSE,FALSE,"AO81FL","v116"
"latrine to open pit (ditch or river)",230,183.073482,FALSE,FALSE,"AO81FL","v116"
"latrine to piped sewer system",49,34.972453,TRUE,FALSE,"AO81FL","v116"
"latrine to septic tank",2754,2644.87431199999,TRUE,FALSE,"AO81FL","v116"
"no facility/bush/field",3193,2534.99869700001,FALSE,FALSE,"AO81FL","v116"
"not a dejure resident",78,69.94547,FALSE,FALSE,"AO81FL","v116"
"other",61,38.616981,FALSE,FALSE,"AO81FL","v116"
"toilet to don't know where",15,7.024643,FALSE,FALSE,"AO81FL","v116"
"toilet to open pit (ditch or river)",142,114.144683,FALSE,FALSE,"AO81FL","v116"
"toilet to piped sewer system",165,177.729162,TRUE,FALSE,"AO81FL","v116"
"toilet to septic tank",2677,3238.64161799999,TRUE,FALSE,"AO81FL","v116"
"toilet to somewhere else",29,24.226364,FALSE,FALSE,"AO81FL","v116"
"no",4811,4068.344,FALSE,FALSE,"AO81FL","v119"
"not a dejure resident",78,69.94547,FALSE,FALSE,"AO81FL","v119"
"yes",4537,4959.90754399999,TRUE,FALSE,"AO81FL","v119"
"composting toilet",3,2.967199,TRUE,FALSE,"BU61FL","v116"
"flush to piped sewer system",61,28.521748,TRUE,FALSE,"BU61FL","v116"
"flush to pit latrine",8,4.796147,TRUE,FALSE,"BU61FL","v116"
"flush to septic tank",195,89.2790240000001,TRUE,FALSE,"BU61FL","v116"
"flush, don't know where",3,3.839109,TRUE,FALSE,"BU61FL","v116"
"hanging toilet/latrine",1,0.588085,FALSE,FALSE,"BU61FL","v116"
"no facility/bush/field",175,201.965379,FALSE,FALSE,"BU61FL","v116"
"not a dejure resident",19,15.038727,FALSE,FALSE,"BU61FL","v116"
"other",9,8.300506,FALSE,FALSE,"BU61FL","v116"
"pit latrine with slab",2153,2157.72383999999,TRUE,FALSE,"BU61FL","v116"
"pit latrine without slab/open pit",3068,3342.33388500001,FALSE,FALSE,"BU61FL","v116"
"ventilated improved pit latrine (vip)",28,28.218676,TRUE,FALSE,"BU61FL","v116"
"no",5134,5578.67708199999,FALSE,FALSE,"BU61FL","v119"
"not a dejure resident",19,15.038727,FALSE,FALSE,"BU61FL","v119"
"yes",567,286.498748,TRUE,FALSE,"BU61FL","v119"
"bucket toilet",1,1.239479,FALSE,FALSE,"BU71FL","v116"
"composting toilet",19,22.294075,TRUE,FALSE,"BU71FL","v116"
"flush to piped sewer system",46,34.794186,TRUE,FALSE,"BU71FL","v116"
"flush to pit latrine",27,21.831919,TRUE,FALSE,"BU71FL","v116"
"flush to septic tank",394,305.035431,TRUE,FALSE,"BU71FL","v116"
"flush to somewhere else",1,1.082075,FALSE,FALSE,"BU71FL","v116"
"flush, don't know where",4,2.712401,TRUE,FALSE,"BU71FL","v116"
"hanging toilet/latrine",12,9.626114,FALSE,FALSE,"BU71FL","v116"
"no facility/bush/field",233,275.8122,FALSE,FALSE,"BU71FL","v116"
"not a dejure resident",31,31.659361,FALSE,FALSE,"BU71FL","v116"
"pit latrine with slab",5327,5056.560563,TRUE,FALSE,"BU71FL","v116"
"pit latrine without slab/open pit",4573,5197.289414,FALSE,FALSE,"BU71FL","v116"
"ventilated improved pit latrine (vip)",33,27.30277,TRUE,FALSE,"BU71FL","v116"
"no",9477,10064.22924,FALSE,FALSE,"BU71FL","v119"
"not a dejure resident",31,31.659361,FALSE,FALSE,"BU71FL","v119"
"yes",1193,891.351387000002,TRUE,FALSE,"BU71FL","v119"
"flush toilet",81,84.1832349999998,TRUE,FALSE,"BJ41FL","v116"
"no facility, bush, field",2517,2468.93408500005,FALSE,FALSE,"BJ41FL","v116"
"not dejure resident",78,76.7639579999999,FALSE,FALSE,"BJ41FL","v116"
"other",28,27.189285,FALSE,FALSE,"BJ41FL","v116"
"unventilated latrine",530,550.756273000001,TRUE,FALSE,"BJ41FL","v116"
"ventilated latrine",533,546.106483000002,TRUE,FALSE,"BJ41FL","v116"
"no",2909,2861.99699000005,FALSE,FALSE,"BJ41FL","v119"
"not dejure resident",78,76.7639579999999,FALSE,FALSE,"BJ41FL","v119"
"yes",773,808.816022999998,TRUE,FALSE,"BJ41FL","v119"
"flush toilet connected to sewer system",10,9.667486,TRUE,FALSE,"BJ51FL","v116"
"flush toilet not connected to sewer system",278,315.660482000001,TRUE,FALSE,"BJ51FL","v116"
"hanging toilet/latrine",115,112.889107,FALSE,FALSE,"BJ51FL","v116"
"no toilet, in nature",7594,7370.84917600009,FALSE,FALSE,"BJ51FL","v116"
"non-ventilated pit latrine",1663,1731.483067,TRUE,FALSE,"BJ51FL","v116"
"not de-jure resident",132,135.051264,FALSE,FALSE,"BJ51FL","v116"
"other",1,1.002798,FALSE,FALSE,"BJ51FL","v116"
"ventilated pit latrine",1964,2070.158122,TRUE,FALSE,"BJ51FL","v116"
"not dejure resident",132,135.051264,FALSE,FALSE,"BJ51FL","v119"
"bucket toilet",1,0.940716,FALSE,FALSE,"BJ61FL","v116"
"composting toilet",96,97.332985,TRUE,FALSE,"BJ61FL","v116"
"flush to piped sewer system",106,134.249996,TRUE,FALSE,"BJ61FL","v116"
"flush to pit latrine",76,93.688322,TRUE,FALSE,"BJ61FL","v116"
"flush to septic tank",363,494.064078000001,TRUE,FALSE,"BJ61FL","v116"
"flush to somewhere else",8,9.566398,FALSE,FALSE,"BJ61FL","v116"
"flush, don't know where",13,16.066332,TRUE,FALSE,"BJ61FL","v116"
"hanging toilet/latrine",146,136.62951,FALSE,FALSE,"BJ61FL","v116"
"no facility/bush/field",6578,5995.05692000004,FALSE,FALSE,"BJ61FL","v116"
"not a dejure resident",38,39.850764,FALSE,FALSE,"BJ61FL","v116"
"other",2,2.181289,FALSE,FALSE,"BJ61FL","v116"
"pit latrine with slab",2109,2413.63498000001,TRUE,FALSE,"BJ61FL","v116"
"pit latrine without slab/open pit",1121,1143.836527,FALSE,FALSE,"BJ61FL","v116"
"ventilated improved pit latrine (vip)",318,341.754553000001,TRUE,FALSE,"BJ61FL","v116"
"no",7261,6731.39777000001,FALSE,FALSE,"BJ61FL","v119"
"not a dejure resident",38,39.850764,FALSE,FALSE,"BJ61FL","v119"
"yes",3676,4147.604836,TRUE,FALSE,"BJ61FL","v119"
"bucket toilet",1,1.052283,FALSE,FALSE,"BJ71FL","v116"
"composting toilet",10,11.434238,TRUE,FALSE,"BJ71FL","v116"
"flush to piped sewer system",8,8.474403,TRUE,FALSE,"BJ71FL","v116"
"flush to pit latrine",117,123.283987,TRUE,FALSE,"BJ71FL","v116"
"flush to septic tank",411,388.985084,TRUE,FALSE,"BJ71FL","v116"
"flush to somewhere else",6,7.318381,FALSE,FALSE,"BJ71FL","v116"
"flush, don't know where",1,0.474568,TRUE,FALSE,"BJ71FL","v116"
"hanging toilet/latrine",82,63.327433,FALSE,FALSE,"BJ71FL","v116"
"no facility/bush/field",5236,5206.08730100001,FALSE,FALSE,"BJ71FL","v116"
"not a dejure resident",95,100.397908,FALSE,FALSE,"BJ71FL","v116"
"other",76,64.4286140000001,FALSE,FALSE,"BJ71FL","v116"
"pit latrine with slab",1722,1770.65805,TRUE,FALSE,"BJ71FL","v116"
"pit latrine without slab/open pit",963,1051.379913,FALSE,FALSE,"BJ71FL","v116"
"ventilated improved pit latrine (vip)",911,878.564183,TRUE,FALSE,"BJ71FL","v116"
"no",6068,6120.21314,FALSE,FALSE,"BJ71FL","v119"
"not a dejure resident",95,100.397908,FALSE,FALSE,"BJ71FL","v119"
"yes",3476,3455.25529800002,TRUE,FALSE,"BJ71FL","v119"
"flush toilet",92,123.902946,TRUE,FALSE,"BF43FL","v116"
"no facility",4611,4708.83603900005,FALSE,FALSE,"BF43FL","v116"
"not dejure resident",72,72.765592,FALSE,FALSE,"BF43FL","v116"
"other",2,5.702964,FALSE,FALSE,"BF43FL","v116"
"traditional pit toilet",563,631.149011,FALSE,FALSE,"BF43FL","v116"
"ventilated improved pit (vip) latrine",1311,1174.709869,TRUE,FALSE,"BF43FL","v116"
"no",5869,5985.65014000002,FALSE,FALSE,"BF43FL","v119"
"not dejure resident",72,72.765592,FALSE,FALSE,"BF43FL","v119"
"yes",710,654.35852,TRUE,FALSE,"BF43FL","v119"
"composting toilet",8,4.929933,TRUE,FALSE,"BF62FL","v116"
"flush to piped sewer system",30,41.072261,TRUE,FALSE,"BF62FL","v116"
"flush to pit latrine",37,41.85793,TRUE,FALSE,"BF62FL","v116"
"flush to septic tank",90,99.2654119999999,TRUE,FALSE,"BF62FL","v116"
"flush, don't know where",1,1.415404,TRUE,FALSE,"BF62FL","v116"
"hanging toilet/latrine",3,1.171402,FALSE,FALSE,"BF62FL","v116"
