"iso3","year","death_difference","pfpr_difference","ihme_difference"
"AGO",2005,-2.5465851649642e-11,-2.48689957516035e-14,-3.63797880709171e-11
"AGO",2015,-4.36557456851006e-11,-1.4210854715202e-14,2.72848410531878e-12
"AGO",2024,6.18456397205591e-11,4.61852778244065e-14,3.63797880709171e-11
"BDI",2005,-3.8198777474463e-11,-1.4210854715202e-14,5.45696821063757e-12
"BDI",2015,-7.27595761418343e-12,-1.77635683940025e-14,2.72848410531878e-12
"BDI",2024,2.91038304567337e-11,-4.61852778244065e-14,-4.00177668780088e-11
"BEN",2005,3.45607986673713e-11,-5.6843418860808e-14,9.09494701772928e-13
"BEN",2015,4.91127138957381e-11,2.8421709430404e-14,1.81898940354586e-12
"BEN",2024,-2.00088834390044e-11,-7.105427357601e-15,1.81898940354586e-12
"BFA",2005,0,2.1316282072803e-14,-3.63797880709171e-12
"BFA",2015,4.36557456851006e-11,2.1316282072803e-14,-7.27595761418343e-12
"BFA",2024,-2.18278728425503e-11,4.61852778244065e-14,3.09228198602796e-11
"BWA",2005,8.30446822419617e-14,-2.77555756156289e-17,2.44249065417534e-15
"BWA",2015,3.37507799486048e-14,-4.16333634234434e-17,-3.33066907387547e-16
"BWA",2024,8.65973959207622e-15,-1.38777878078145e-17,-4.44089209850063e-16
"CAF",2005,0,-3.5527136788005e-14,1.81898940354586e-12
"CAF",2015,-1.81898940354586e-12,-1.4210854715202e-14,2.72848410531878e-12
"CAF",2024,0,-2.1316282072803e-14,-3.18323145620525e-12
"CIV",2005,5.45696821063757e-11,-4.2632564145606e-14,-4.00177668780088e-11
"CIV",2015,-3.27418092638254e-11,-1.4210854715202e-14,-3.09228198602796e-11
"CIV",2024,-1.45519152283669e-11,2.48689957516035e-14,-3.45607986673713e-11
"CMR",2005,4.36557456851006e-11,7.105427357601e-15,0
"CMR",2015,-8.73114913702011e-11,-3.19744231092045e-14,-3.63797880709171e-11
"CMR",2024,7.27595761418343e-12,2.48689957516035e-14,1.63709046319127e-11
"COD",2005,1.01863406598568e-10,1.4210854715202e-14,1.45519152283669e-11
"COD",2015,1.45519152283669e-11,-3.5527136788005e-15,-4.36557456851006e-11
"COD",2024,4.36557456851006e-11,-3.5527136788005e-14,-2.18278728425503e-11
"COG",2005,-5.0022208597511e-12,-2.8421709430404e-14,4.54747350886464e-13
"COG",2015,-1.36424205265939e-12,1.77635683940025e-14,-3.63797880709171e-12
"COG",2024,-4.32009983342141e-12,4.61852778244065e-14,2.50111042987555e-12
"COM",2005,-8.17124146124115e-14,-4.88498130835069e-15,1.77635683940025e-15
"COM",2015,1.50990331349021e-14,2.4980018054066e-16,-1.11022302462516e-16
"COM",2024,1.06581410364015e-14,8.88178419700125e-16,4.88498130835069e-15
"DJI",2005,-8.88178419700125e-16,4.44089209850063e-16,4.44089209850063e-16
"DJI",2015,1.06581410364015e-14,3.33066907387547e-16,-2.66453525910038e-14
"DJI",2024,-2.8421709430404e-14,-4.44089209850063e-15,4.9737991503207e-14
