"iso3","year","age_band","allcause_deaths","age_person_years","pfpr_pct","map_population_coverage","population_weight_year","log_hr_zero_vs_current","attributable_fraction","attributable_deaths","zero_below_observed_support","current_outside_observed_support"
"AGO",2000,"<1",24803.8501857887,54613.5133100429,18.7513119732665,0.998084957706995,2020,-0.0507586918204267,0.0494919917820827,1227.59194955907,TRUE,FALSE
"AGO",2001,"<1",25071.3739235651,56658.0554991869,19.9350884571803,0.998084957706995,2020,-0.0545088340402288,0.0530498565747869,1330.03279077798,TRUE,FALSE
"AGO",2002,"<1",25292.4106731194,58796.2563131806,19.2672192888403,0.998084957706995,2020,-0.0523817924349569,0.0510335105558807,1290.76050707031,TRUE,FALSE
"AGO",2003,"<1",25467.7966004282,61048.7233064863,20.3441997893012,0.998084957706995,2020,-0.0558246783829802,0.05429507612666,1382.77595519854,TRUE,FALSE
"AGO",2004,"<1",25636.9028913177,63399.3488647692,20.3357243060436,0.998084957706995,2020,-0.0557973271323723,0.0542692095605461,1391.29445549229,TRUE,FALSE
"AGO",2005,"<1",25724.5129425046,65823.7910576055,20.1035553415068,0.998084957706995,2020,-0.0550495724623241,0.0535617704829126,1377.85045801114,TRUE,FALSE
"AGO",2006,"<1",26019.8630899995,68180.167225679,17.7577417027276,0.998084957706995,2020,-0.0476829627207493,0.0465639860738209,1211.58854256546,TRUE,FALSE
"AGO",2007,"<1",25780.8482464545,70505.1924016574,15.3360225930226,0.998084957706995,2020,-0.0404433966999461,0.0396364772823912,1021.86200584137,TRUE,FALSE
"AGO",2008,"<1",25639.1943626311,72819.1689141094,12.8976230688025,0.998084957706995,2020,-0.0334808299325522,0.0329265500830297,844.210217269706,TRUE,FALSE
"AGO",2009,"<1",25603.7182804337,75007.9744558164,11.1637191997621,0.998084957706995,2020,-0.0287007635666805,0.0282928088394603,724.401106887706,TRUE,FALSE
"AGO",2010,"<1",25434.7539980618,77088.3450693502,10.4617271702512,0.998084957706995,2020,-0.0268008859616425,0.0264449292916672,672.620271029693,TRUE,FALSE
"AGO",2011,"<1",25229.1219303498,79077.2789267663,10.0235342172417,0.998084957706995,2020,-0.0256244348122422,0.0252989153271822,638.269419495074,TRUE,FALSE
"AGO",2012,"<1",24879.217739063,80929.3021363014,9.8199125673824,0.998084957706995,2020,-0.0250801295419155,0.0247682359771201,616.214335887264,TRUE,FALSE
"AGO",2013,"<1",24552.1711114092,82648.7689661626,10.4030425380616,0.998084957706995,2020,-0.0266429183703823,0.0262911269946189,645.504248683673,TRUE,FALSE
"AGO",2014,"<1",24210.851154559,84232.9145808725,11.000124970552,0.998084957706995,2020,-0.0282562880885135,0.0278608128223247,674.533992286332,TRUE,FALSE
"AGO",2015,"<1",23967.7145856338,85687.5596199016,12.001303326479,0.998084957706995,2020,-0.0309936033691569,0.0305182255267877,731.45211908605,TRUE,FALSE
"AGO",2016,"<1",23750.2846723615,87014.2608796129,13.6840755866274,0.998084957706995,2020,-0.0356937980230861,0.0350642865252172,832.786786807156,TRUE,FALSE
"AGO",2017,"<1",23447.5755773785,88285.4567716543,16.8580638526648,0.998084957706995,2020,-0.0449524121503397,0.0439570232199642,1030.68562410669,TRUE,FALSE
"AGO",2018,"<1",23203.4247041937,89525.0635552481,19.2935144960402,0.998084957706995,2020,-0.052465003615119,0.051112471892123,1185.98439299409,TRUE,FALSE
"AGO",2019,"<1",22988.1049842149,90712.7661394205,21.5657352716929,0.998084957706995,2020,-0.0598014512799848,0.0580484617088941,1334.42413193624,TRUE,FALSE
"AGO",2020,"<1",22834.0141032792,91839.1378795547,22.895438497784,0.997135198338393,2020,-0.0641890631609967,0.0621723258961314,1419.64376634594,TRUE,FALSE
"AGO",2021,"<1",22672.2190138353,92906.6066143806,23.6590510806423,0.997135198338393,2020,-0.0667243403013106,0.0645469675006095,1463.42298385273,TRUE,FALSE
"AGO",2022,"<1",22730.6565376766,93868.6252466958,22.2871468437416,0.997135198338393,2020,-0.0621762368259594,0.060282740590402,1370.26627151028,TRUE,FALSE
"AGO",2023,"<1",22992.5382599475,95146.6070909669,20.3197552163391,0.997135198338393,2020,-0.0557458033845102,0.0542204807104184,1246.66647720704,TRUE,FALSE
"AGO",2024,"<1",23103.789845721,96479.8497559802,20.3401829769949,0.997135198338393,2020,-0.0558117152549449,0.0542828167531884,1254.13879049945,TRUE,FALSE
"BDI",2000,"<1",9496.82197896104,20381.8148564504,57.6713683257487,0.903118502531811,2020,-0.115816404097421,0.109361274091437,1038.58455143874,TRUE,FALSE
"BDI",2001,"<1",9500.11520649127,20720.9916171213,55.5148441683582,0.903118502531811,2020,-0.11765338313496,0.110995856954067,1054.47342850686,TRUE,FALSE
"BDI",2002,"<1",9732.55078119458,21453.9572877113,51.0863179923999,0.903118502531811,2020,-0.119651546382546,0.112770458797114,1097.54421686152,TRUE,FALSE
"BDI",2003,"<1",9946.74678503037,22282.5318364076,45.1556763823264,0.903118502531811,2020,-0.118032563941923,0.111332886360841,1107.40002947784,TRUE,FALSE
"BDI",2004,"<1",10255.1473043461,23225.2852816682,36.9847803772394,0.903118502531811,2020,-0.106206365819231,0.100760943277898,1033.3183158397,TRUE,FALSE
"BDI",2005,"<1",10665.1060429336,24443.9696865901,32.7108667147613,0.903118502531811,2020,-0.0953890959654865,0.0909808300430576,970.320200283326,TRUE,FALSE
"BDI",2006,"<1",10957.152561756,25519.1025205363,27.7465099828883,0.903118502531811,2020,-0.0802094721062187,0.0770770004876312,844.544453345515,TRUE,FALSE
"BDI",2007,"<1",11203.3029337844,26538.6098652383,21.2299520043309,0.903118502531811,2020,-0.058702017461835,0.0570122788297634,638.725830675222,TRUE,FALSE
"BDI",2008,"<1",11474.1204840513,27631.8821296687,16.7551116481286,0.903118502531811,2020,-0.0446431293720344,0.0436612898616665,500.97490036185,TRUE,FALSE
