"year","countries","under5_person_years","model_deaths","ihme_malaria_deaths","who_cacode_deaths","model_rate_per100000","ihme_malaria_rate_per100000","who_cacode_rate_per100000"
2000,42,109827798.421165,1165685.54154557,563656.938086377,724276,1061.37567929335,513.218826371152,659.465099375447
2001,42,112899656.745594,1162298.42104603,579321.810905033,715788,1029.49685991086,513.129824841243,634.003699066102
2002,42,116066896.933454,1135595.13821858,584005.715565624,701894,978.39708669877,503.163030110523,604.732286762543
2003,42,119382568.276166,1109923.94496371,587811.915324384,685954,929.720277416163,492.376670909448,574.584723636698
2004,42,122832161.765571,1081752.42040803,584453.040478886,668525,880.675227773476,475.81434054245,544.258922411462
2005,42,126350910.756313,1027002.69875007,564066.526910137,610848,812.817804480101,446.428540588858,483.453578880896
2006,42,129881373.032834,975583.924669144,554937.729927586,592624,751.134594506106,427.265062702483,456.280978682126
2007,42,133401540.603534,928383.876893403,536695.125596742,586803,695.931900556182,402.315537863079,439.877228812494
2008,42,136899633.557023,885795.378838148,523508.878986053,564897,647.039992600991,382.403418755678,412.635874415764
2009,42,140334919.273811,863400.45578648,512614.088464976,582299,615.242777958831,365.279070325184,414.935215706264
2010,42,143670458.524793,840967.915314017,493613.981409873,521487,585.345048626605,343.573749592154,362.974410574465
2011,42,146877706.067324,808010.661357606,466206.53550503,489046,550.124782713615,317.411367584498,332.961354785755
2012,42,149944339.868488,786904.643893408,450122.710264977,463032,524.797831371015,300.193198796145,308.802586617216
2013,42,152913484.317387,781075.92224232,441161.752620604,443941,510.79597442245,288.504152913636,290.321682212509
2014,42,155809274.264136,747758.790966236,422381.860657935,431452,479.919308075717,271.089036678197,276.910345701618
2015,42,158554858.301487,716519.886413826,416121.688943615,416815,451.906610803048,262.446508042265,262.883776924349
2016,42,161120449.540599,676627.02633219,399457.771192791,408679,419.951054171863,247.924935867397,253.648125464683
2017,42,163557868.933093,660283.563869036,391929.926110506,413605,403.700273289289,239.62767958956,252.879915040464
2018,42,165838176.84716,657429.956558135,394470.024526765,400709,396.428596271918,237.864424239491,241.626510625055
2019,42,168113044.343543,660196.713828689,396709.770868792,419148,392.709986549029,235.977982801922,249.325090528646
2020,42,170363657.734106,652761.87232018,442134.532961011,419523,383.157934621816,259.523972918608,246.251463240339
2021,42,172440566.82942,619555.38174316,433442.929786364,429619,359.286328695516,251.357866513586,249.140331593194
2022,42,174369708.753716,600785.377407817,411776.616828822,462939,344.546872104019,236.151462184539,265.492787313114
2023,42,176249413.849184,597307.492008559,400147.764677009,437626,338.898994875337,227.034947769763,248.299265479813
2024,42,177450737.801667,611439.570269651,428146.804091449,440123,344.568626676009,241.276429388521,248.025455093861
