"iso3","age_band","draw","log_hr_zero_vs_current","variance","model_id","hiv_treatment"
"AGO","<1",,-0.026647219056209,0.000859864818703219,"age_band_separate_v1","posterior_median"
"BDI","<1",,-0.0404190883068302,0.00135898765940089,"age_band_separate_v1","posterior_median"
"BEN","<1",,-0.0289114406382262,0.0020526341248494,"age_band_separate_v1","posterior_median"
"BFA","<1",,-0.033588694667281,0.00192014570993472,"age_band_separate_v1","posterior_median"
"BWA","<1",,-9.85261293284409e-05,1.7496010757247e-08,"age_band_separate_v1","posterior_median"
"CAF","<1",,-0.0284282864053294,0.00206640211336955,"age_band_separate_v1","posterior_median"
"CIV","<1",,-0.0211328597404228,0.00228192536180451,"age_band_separate_v1","posterior_median"
"CMR","<1",,-0.0384390657187344,0.00177930093870281,"age_band_separate_v1","posterior_median"
"COD","<1",,-0.0171749116634692,0.00241123190202525,"age_band_separate_v1","posterior_median"
"COG","<1",,-0.0405025672517147,0.00136282420710498,"age_band_separate_v1","posterior_median"
"COM","<1",,-0.00198920831940637,7.11707119539911e-06,"age_band_separate_v1","posterior_median"
"DJI","<1",,-0.00024005034785453,1.03856054885521e-07,"age_band_separate_v1","posterior_median"
"ERI","<1",,-0.000351715301201557,2.22944063663416e-07,"age_band_separate_v1","posterior_median"
"ETH","<1",,-0.0136795558047906,0.000304630772807256,"age_band_separate_v1","posterior_median"
"GAB","<1",,-0.0180393220415992,0.000490470501403586,"age_band_separate_v1","posterior_median"
"GHA","<1",,-0.0409329362210985,0.0013833741486518,"age_band_separate_v1","posterior_median"
"GIN","<1",,-0.0421668336208067,0.00163827556667098,"age_band_separate_v1","posterior_median"
"GMB","<1",,-0.0090528607432668,0.000141331917822436,"age_band_separate_v1","posterior_median"
"GNB","<1",,-0.00728521298816604,9.29729101710819e-05,"age_band_separate_v1","posterior_median"
"GNQ","<1",,-0.041201760767482,0.00139700451137767,"age_band_separate_v1","posterior_median"
"KEN","<1",,-0.0161689598077859,0.000408399639474344,"age_band_separate_v1","posterior_median"
"LBR","<1",,-0.042398354085248,0.00162329843997979,"age_band_separate_v1","posterior_median"
"MDG","<1",,-0.0220547625185271,0.000669300703077409,"age_band_separate_v1","posterior_median"
"MLI","<1",,-0.0428624650052137,0.0015296046737696,"age_band_separate_v1","posterior_median"
"MOZ","<1",,-0.0415498981248506,0.00166976661350725,"age_band_separate_v1","posterior_median"
"MRT","<1",,-0.00544227111561031,5.25448753923144e-05,"age_band_separate_v1","posterior_median"
"MWI","<1",,-0.0400537325571917,0.0013426689459763,"age_band_separate_v1","posterior_median"
"NAM","<1",,-0.00603965223815296,6.44746512825307e-05,"age_band_separate_v1","posterior_median"
"NER","<1",,-0.0349116737980587,0.00115114688861543,"age_band_separate_v1","posterior_median"
"NGA","<1",,-0.041205315078751,0.00168457142199389,"age_band_separate_v1","posterior_median"
"RWA","<1",,-0.00652149988950134,7.49276098462637e-05,"age_band_separate_v1","posterior_median"
"SEN","<1",,-0.00725674198252195,9.22683083636752e-05,"age_band_separate_v1","posterior_median"
"SLE","<1",,-0.0427807684971746,0.00158679948498904,"age_band_separate_v1","posterior_median"
"SOM","<1",,-0.0119838787452735,0.000239459055211147,"age_band_separate_v1","posterior_median"
"SSD","<1",,-0.0419987461271234,0.00144316057715025,"age_band_separate_v1","posterior_median"
"SWZ","<1",,-0.00369753837225252,2.44632793963669e-05,"age_band_separate_v1","posterior_median"
"TCD","<1",,-0.0229009236289628,0.000706164785810939,"age_band_separate_v1","posterior_median"
"TGO","<1",,-0.0315980879690365,0.00197645939396085,"age_band_separate_v1","posterior_median"
"TZA","<1",,-0.0284784626135428,0.000928513592439364,"age_band_separate_v1","posterior_median"
"UGA","<1",,-0.0425602034688124,0.00161067619331493,"age_band_separate_v1","posterior_median"
"ZMB","<1",,-0.0276442256183744,0.000897706397363396,"age_band_separate_v1","posterior_median"
"ZWE","<1",,-0.00545324349116759,5.27535694232466e-05,"age_band_separate_v1","posterior_median"
"AGO","1-5",,-0.0824904137817147,0.0016302413290867,"age_band_separate_v1","posterior_median"
"BDI","1-5",,-0.126273880966231,0.0027000944501569,"age_band_separate_v1","posterior_median"
"BEN","1-5",,-0.175411178578506,0.00420725375419462,"age_band_separate_v1","posterior_median"
"BFA","1-5",,-0.171232505965758,0.00394105448295494,"age_band_separate_v1","posterior_median"
"BWA","1-5",,-0.000314194740204675,3.20761670990203e-08,"age_band_separate_v1","posterior_median"
