"iso3","country","pfpr_pct","status","map_population_coverage_within_raster","map_coverage_below_95pct","ihme_under5_deaths","counterfactual_under5_deaths","attributable_under5_deaths","attributable_fraction","model_id","hiv_treatment","year"
"AGO","Angola",20.1035553415068,"estimated",0.998084957706995,FALSE,96551.420798192,72536.4226848551,24014.9981133368,0.248727547609393,"age_band_separate_v1","posterior_median",2005
"BDI","Burundi",32.7108667147613,"estimated",0.903118502531811,TRUE,39965.5290915807,28605.8685003425,11359.6605912383,0.284236462007239,"age_band_separate_v1","posterior_median",2005
"BEN","Benin",56.789331963267,"estimated",1,FALSE,35764.568969811,25026.0900262737,10738.4789435372,0.300254672511267,"age_band_separate_v1","posterior_median",2005
"BFA","Burkina Faso",53.1839944402602,"estimated",1,FALSE,88292.8538201055,59342.3439226949,28950.5098974106,0.327891880767571,"age_band_separate_v1","posterior_median",2005
"BWA","Botswana",0.0739687942020688,"estimated",0.500006041684288,TRUE,2386.55814676258,2384.28959127768,2.26855548489891,0.000950555295699062,"age_band_separate_v1","posterior_median",2005
"CAF","Central African Republic",57.137610295232,"estimated",1,FALSE,27492.8570841914,19634.5432231572,7858.3138610342,0.285831110130522,"age_band_separate_v1","posterior_median",2005
"CIV","Cote d'Ivoire",62.0559536355424,"estimated",0.999044906250652,FALSE,80769.9833548922,59144.0904672667,21625.8928876256,0.267746655246967,"age_band_separate_v1","posterior_median",2005
"CMR","Cameroon",48.6084683420969,"estimated",0.994188327616715,FALSE,89440.1172170792,61394.4877168706,28045.6295002086,0.313568791867069,"age_band_separate_v1","posterior_median",2005
"COD","Democratic Republic of the Congo",64.5181086884157,"estimated",0.967925701459564,FALSE,291364.155661708,201670.164113456,89693.9915482513,0.307841544010622,"age_band_separate_v1","posterior_median",2005
"COG","Congo",32.8294542135053,"estimated",0.999999884856155,FALSE,10371.3261694714,7597.83219983928,2773.49396963213,0.26741941428822,"age_band_separate_v1","posterior_median",2005
"COM","Comoros",1.49344288730066,"estimated",0.977875023773357,FALSE,1294.11415854412,1269.53606175416,24.578096789962,0.0189922168980922,"age_band_separate_v1","posterior_median",2005
"CPV","Cape Verde",,"missing_MAP_no_estimate",,,487.882790929841,,,,"age_band_separate_v1","posterior_median",2005
"DJI","Djibouti",0.180218583070353,"estimated",0.900748542924068,TRUE,1827.74449858499,1824.15970621879,3.58479236620103,0.00196132028791569,"age_band_separate_v1","posterior_median",2005
"ERI","Eritrea",0.264051516629705,"estimated",0.951453885431987,FALSE,12881.6351925552,12809.5326909507,72.102501604516,0.00559730969917444,"age_band_separate_v1","posterior_median",2005
"ETH","Ethiopia",10.282958677834,"estimated",0.827728262514435,TRUE,324374.02190096,283127.091557947,41246.9303430137,0.127158550186264,"age_band_separate_v1","posterior_median",2005
"GAB","Gabon",13.5729851145187,"estimated",0.999284909726468,FALSE,2434.17926397405,2048.26986684311,385.909397130943,0.158537788421099,"age_band_separate_v1","posterior_median",2005
