"age_band","start_month","end_month","cumulative_hazard","death_probability","counterfactual_death_probability","survival_end","counterfactual_survival_end"
"<1",0,0.919917864476386,0.0297897684714031,0.029350426756517,0.028857922353562,0.970649573243483,0.971142077646438
"1-5",0.919917864476386,6,0.0212032146940011,0.0209800068951381,0.0175402672426764,0.950285338504072,0.954107986073911
"6-11",6,12,0.0228231774918015,0.0225646989446315,0.0133818000764172,0.92884243592923,0.941340303752957
"12-23",12,24,0.0177444508400306,0.0175879451419971,0.00849522732673098,0.912506006120548,0.933343403880762
"24-35",24,36,0.0124557720558475,0.0123785200043919,0.0052453611765902,0.901210532269657,0.928447680625619
"36-47",36,48,0.0124557720558475,0.0123785200043919,0.00597317753183666,0.890054879667788,0.92290189780022
"48-59",48,60,0.0124557720558475,0.0123785200043919,0.00704004011007486,0.879037317534814,0.916404631422043
