"iso3","Location","Year","Age","Unit","Value","Lower","Upper"
"AGO","Angola",2005,"Under 5","Number",96551.4207981919,92331.0216153701,101866.622860221
"AGO","Angola",2005,"Under 5","Rate (per 100,000)",2656.39804974238,2540.28313329993,2802.63403751797
"AGO","Angola",2005,"0 to 6 days (early neonatal)","Number",21130.5391284445,19553.365519029,22658.9356077208
"AGO","Angola",2005,"0 to 6 days (early neonatal)","Rate (per 100,000)",126594.634134736,117145.669541961,135751.371306971
"AGO","Angola",2005,"7 to 27 days (late neonatal)","Number",4593.9738140601,4124.93936200676,5214.54865514591
"AGO","Angola",2005,"7 to 27 days (late neonatal)","Rate (per 100,000)",9350.21225935625,8395.57649930311,10613.2813846547
"COD","Democratic Republic of the Congo",2005,"12 to 23 months","Number",39176.20064138,35366.2279063807,43370.6216932335
"COD","Democratic Republic of the Congo",2005,"12 to 23 months","Rate (per 100,000)",1774.44508400306,1601.87634892607,1964.42700399147
"COD","Democratic Republic of the Congo",2005,"1 to 5 months","Number",50833.2594687616,46157.1256065271,56013.0124604199
"COD","Democratic Republic of the Congo",2005,"1 to 5 months","Rate (per 100,000)",5008.55241195403,4547.81741720699,5518.90851759858
"COD","Democratic Republic of the Congo",2005,"6-11 months","Number",52482.2778692812,46974.6896870205,58005.7578349715
"COD","Democratic Republic of the Congo",2005,"6-11 months","Rate (per 100,000)",4564.63549836031,4085.6141306195,5045.03905074938
"AGO","Angola",2005,"Under 1","Number",57620.7712557203,54449.365695297,61403.4651954688
"AGO","Angola",2005,"Under 1","Rate (per 100,000)",7042.8050905599,6655.17419395051,7505.15183730266
"AGO","Angola",2005,"2 to 4","Number",25609.1704515966,23005.1147122641,28839.6907231606
"AGO","Angola",2005,"2 to 4","Rate (per 100,000)",1248.35539396111,1121.41699763486,1405.8316938643
"GNQ","Equatorial Guinea",2005,"Under 5","Number",2828.61147410933,2684.33062266186,2955.58979159756
"GNQ","Equatorial Guinea",2005,"Under 5","Rate (per 100,000)",1923.91453590836,1825.78015800111,2010.2803846638
"GNQ","Equatorial Guinea",2005,"0 to 6 days (early neonatal)","Number",712.466627092364,651.665973411007,763.655986905138
"GNQ","Equatorial Guinea",2005,"0 to 6 days (early neonatal)","Rate (per 100,000)",112492.548563075,102892.631560885,120574.922285128
"GNQ","Equatorial Guinea",2005,"7 to 27 days (late neonatal)","Number",173.524146580366,157.230210422781,194.729277437883
"GNQ","Equatorial Guinea",2005,"7 to 27 days (late neonatal)","Rate (per 100,000)",9277.57579820737,8406.41042593952,10411.3212320188
"GNQ","Equatorial Guinea",2005,"Under 1","Number",1929.66325534409,1832.90634357007,2023.98741368106
"GNQ","Equatorial Guinea",2005,"Under 1","Rate (per 100,000)",6134.46873863214,5826.87504378383,6434.32862299977
"AGO","Angola",2005,"12 to 23 months","Number",13321.4790908751,11864.8491847121,14605.9628369926
