"age_band","pfpr_pct","estimate","within_variance","between_variance","total_se","df","lower_95","upper_95","monte_carlo_se","imputations"
"<1",1.76782403096607,0.0310766073819891,0.000177791583398726,1.72727852028248e-05,0.0140282446201167,965.485411320339,0.00354724217812848,0.0586059725858497,0.00131425968525344,10
"<1",10.0982480366669,0.01686775281643,5.20317987773127e-05,5.11457482523885e-06,0.00759327538583156,945.267374918536,0.00196612621610182,0.0317693794167582,0.000715162556712727,10
"<1",10.536691405388,0.0161202363954529,4.75045209194479e-05,4.67288925968761e-06,0.00725566668922328,944.051000044698,0.00188113550081914,0.0303593372900866,0.00068358534651407,10
"<1",10.9751347741091,0.0153727648770877,4.31851566306327e-05,4.2510617771273e-06,0.00691818795534443,942.826398838961,0.00179593661713282,0.0289495931370425,0.000652001670022961,10
"<1",11.4135781428302,0.0146253401327099,3.90734540639177e-05,3.84910128245369e-06,0.00658084078781859,941.594681717902,0.00171052833707043,0.0275401519283493,0.000620411257349001,10
"<1",11.8520215115513,0.0138779640336948,3.51691521203986e-05,3.46701736487439e-06,0.00624362644796759,940.356978502217,0.00162491010114189,0.0261310179662477,0.000588813838566519,10
"<1",12.2904648802724,0.0131306384514178,3.14719814838171e-05,3.1048202983802e-06,0.00590654584440308,939.114438382671,0.00153908203864619,0.0247221948641895,0.000557209143713579,10
"<1",12.7289082489935,0.0123833652572544,2.79816656957437e-05,2.7625210422346e-06,0.00556959952260499,937.868229952578,0.00145304498800241,0.0233136855265065,0.00052559690279097,10
"<1",13.1673516177146,0.01163614632258,2.46979222713409e-05,2.44013124148197e-06,0.00523278765448887,936.619541335226,0.00136680051710128,0.0219054921280586,0.000493976845761212,10
"<1",13.6057949864357,0.0108889835187698,2.16204638557091e-05,2.13766322747412e-06,0.0048961100279641,935.369580450169,0.00128035094367351,0.0204976160938662,0.00046234870254756,10
"<1",14.0442383551568,0.0101418787171994,1.87489994208128e-05,1.85513001841544e-06,0.00455956603648524,934.119575487781,0.00119369935567051,0.0190900580787284,0.000430712203033004,10
"<1",14.4826817238779,0.00939483378924418,1.60832355029889e-05,1.59254531992642e-06,0.00422315466859882,932.870775705376,0.00110684963165284,0.0176828179468355,0.000399067077059286,10
"<1",14.921125092599,0.00864785060627943,1.36228774810364e-05,1.34992352562572e-06,0.00388687449748827,931.624452736093,0.00101980646118132,0.0162758947513776,0.000367413054425904,10
"<1",15.3595684613201,0.00790093103968061,1.13676308948871e-05,1.1272797177307e-06,0.00355072367051998,930.381902745971,0.000932575365205273,0.014869286714156,0.000335749864889131,10
"<1",15.7980118300412,0.00715407696082311,9.31720280485826e-06,9.24629667676404e-07,0.0032146998987934,929.144450054385,0.000845162716441725,0.0134629912052045,0.000304077238161031,10
"<1",16.2364551987623,0.00640729024108233,7.47130319148637e-06,7.41989836753081e-07,0.00287880044669907,927.913453406086,0.000757575759738566,0.0120570047224261,0.000272394903908476,10
