"age_band","estimate","within_variance","between_variance","total_se","df","lower_95","upper_95","monte_carlo_se","imputations","hazard_ratio","hr_lower_95","hr_upper_95"
"<1",0.0339873815534054,0.000208048164184215,2.11591285632508e-05,0.0152093131207097,888.996371546125,0.00413703544851549,0.0638377276582953,0.00145461776983683,10,1.03457155195988,1.00414560479282,1.06591941548706
"1-5",-0.0227136142118169,0.000342700770360075,5.22412411550917e-06,0.0186667433390813,33090.5808683663,-0.0593010971362409,0.0138738687126071,0.00072278102600367,10,0.977542397939761,0.942422965576958,1.01397055746068
"6-11",-0.123388657208456,0.000799929556694742,4.49342844205884e-05,0.0291437346535647,2657.55521031448,-0.180535354360287,-0.0662419600566261,0.00211977084659141,10,0.883920053891509,0.834823165536232,0.935904385415211
"12-23",-0.135407994581075,0.00111386906322936,0.000194756139406508,0.0364431175474399,345.889128767596,-0.207085998605311,-0.0637299905568392,0.00441311839186882,10,0.873359513039969,0.812949734437944,0.938258303934086
"24-35",-0.134056378605914,0.00137779142665984,8.51175874441073e-05,0.0383591028681375,2222.75857232198,-0.209279799936714,-0.0588329572751135,0.00291749185849948,10,0.874540757824683,0.811168239066124,0.942864254617623
"36-47",-0.155686863052066,0.00194322461524377,2.0579471384312e-05,0.0443380427372083,67872.6458910904,-0.242589379683616,-0.0687843464205156,0.00143455468297001,10,0.855827139514867,0.784593617715358,0.933527977022012
"48-59",0.0681740177834996,0.00319551498938484,2.66549806806162e-06,0.0565548144481061,10709734.9372124,-0.0426713942143695,0.179019429781369,0.000516284618022038,10,1.07055158728473,0.958226217016074,1.19604398281522
