"iso3","age_band","draw","log_hr_zero_vs_current","variance","model_id","hiv_treatment"
"AGO","<1",,-0.0269568531520662,0.000871744605993614,"age_band_separate_v1","posterior_median"
"BDI","<1",,-0.0309133883694966,0.00101488952998368,"age_band_separate_v1","posterior_median"
"BEN","<1",,-0.0423921348052503,0.00147199624112635,"age_band_separate_v1","posterior_median"
"BFA","<1",,-0.0276756974078403,0.000898882100208761,"age_band_separate_v1","posterior_median"
"BWA","<1",,-0.000104565778521176,1.97067564337942e-08,"age_band_separate_v1","posterior_median"
"CAF","<1",,-0.0410988776755609,0.00139170410012656,"age_band_separate_v1","posterior_median"
"CIV","<1",,-0.0285963486532166,0.000932809750337351,"age_band_separate_v1","posterior_median"
"CMR","<1",,-0.0330468066843996,0.00108781865077479,"age_band_separate_v1","posterior_median"
"COD","<1",,-0.0422656532870697,0.00146197056537329,"age_band_separate_v1","posterior_median"
"COG","<1",,-0.0304271692808158,0.000997987427610451,"age_band_separate_v1","posterior_median"
"COM","<1",,-0.00273968774874637,1.3474813311402e-05,"age_band_separate_v1","posterior_median"
"DJI","<1",,-0.0058551180558525,6.06666917698955e-05,"age_band_separate_v1","posterior_median"
"ERI","<1",,-0.0013485580639579,3.27469701634717e-06,"age_band_separate_v1","posterior_median"
"ETH","<1",,-0.00528492582981505,4.95955063671466e-05,"age_band_separate_v1","posterior_median"
"GAB","<1",,-0.0244013046086238,0.000769857813864979,"age_band_separate_v1","posterior_median"
"GHA","<1",,-0.0214504430226589,0.00064266404459775,"age_band_separate_v1","posterior_median"
"GIN","<1",,-0.0283357393265254,0.000923294015011894,"age_band_separate_v1","posterior_median"
"GMB","<1",,-0.00990507825175304,0.000167711913061646,"age_band_separate_v1","posterior_median"
"GNB","<1",,-0.00859862191734181,0.000128061483968262,"age_band_separate_v1","posterior_median"
"GNQ","<1",,-0.0301201729192738,0.000987238569458776,"age_band_separate_v1","posterior_median"
"KEN","<1",,-0.00608087038560156,6.53400762455613e-05,"age_band_separate_v1","posterior_median"
"LBR","<1",,-0.0200273927576241,0.000579289378286967,"age_band_separate_v1","posterior_median"
"MDG","<1",,-0.0127230246388667,0.00026721306791732,"age_band_separate_v1","posterior_median"
"MLI","<1",,-0.0236532512153801,0.000738405637716748,"age_band_separate_v1","posterior_median"
"MOZ","<1",,-0.0316688050703407,0.0010408990994991,"age_band_separate_v1","posterior_median"
"MRT","<1",,-0.003694321745765,2.44210457965638e-05,"age_band_separate_v1","posterior_median"
"MWI","<1",,-0.0254295251986942,0.000811930891667946,"age_band_separate_v1","posterior_median"
"NAM","<1",,-0.00125962489920283,2.85737508410756e-06,"age_band_separate_v1","posterior_median"
