"iso3","country","pfpr_pct","status","map_population_coverage_within_raster","map_coverage_below_95pct","ihme_under5_deaths","counterfactual_under5_deaths","attributable_under5_deaths","attributable_fraction","model_id","hiv_treatment","year"
"SOM","Somalia",3.00562461766305,"estimated",0.983183349547194,FALSE,77963.2725942301,74132.9430874439,3830.32950678629,0.0491299220688404,"age_band_separate_v1","posterior_median",2024
"SSD","South Sudan",23.1223019010464,"estimated",0.998944588913762,FALSE,40850.8188016772,31230.0408942288,9620.77790744836,0.235510038468393,"age_band_separate_v1","posterior_median",2024
"STP","Sao Tome and Principe",,"missing_MAP_no_estimate",,,150.390666476629,,,,"age_band_separate_v1","posterior_median",2024
"SWZ","Swaziland",2.08854269781645,"estimated",0.0264825648638429,TRUE,1332.35134395888,1298.49081873419,33.8605252246948,0.0254141112088972,"age_band_separate_v1","posterior_median",2024
"TCD","Chad",15.0510808013007,"estimated",0.941951498070144,TRUE,92505.5931263154,75025.3698950937,17480.2232312217,0.188963960345108,"age_band_separate_v1","posterior_median",2024
"TGO","Togo",20.9673047922131,"estimated",1,FALSE,14559.6237615014,11144.0102869199,3415.61347458147,0.23459489960263,"age_band_separate_v1","posterior_median",2024
"TZA","Tanzania",8.82121978993696,"estimated",0.982661834291151,FALSE,89484.4613544148,80913.48684747,8570.97450694477,0.0957817075413608,"age_band_separate_v1","posterior_median",2024
"UGA","Uganda",21.8964090477387,"estimated",0.972005626882908,FALSE,93423.0026856156,72424.229802315,20998.7728833006,0.224770905233747,"age_band_separate_v1","posterior_median",2024
"ZMB","Zambia",14.2728881701827,"estimated",0.999994981989078,FALSE,34784.1651348346,28487.4432988994,6296.72183593524,0.181022652449099,"age_band_separate_v1","posterior_median",2024
"ZWE","Zimbabwe",3.38446214555114,"estimated",0.993374399109765,FALSE,24202.7039972532,23174.9547363694,1027.74926088376,0.0424642329634077,"age_band_separate_v1","posterior_median",2024
