"iso3","age_band","ihme_deaths","implied_person_years","ihme_rate_per100000","age_mapping","Location","pfpr_pct","population_weight_on_map","population_weight_within_raster","map_population_coverage_within_raster","legacy_density_weighted_pfpr_pct","status","map_coverage_below_95pct","exposure_year","population_weight_year","log_hr_zero_vs_current","log_hr_se","hr_zero_vs_current","hr_lower_95","hr_upper_95","monte_carlo_se_log_hr","imputations","attributable_fraction","af_lower_95","af_upper_95","counterfactual_rate_per100000","attributable_rate_per100000","attributable_rate_per100000_lower_95","attributable_rate_per100000_upper_95","counterfactual_deaths","attributable_deaths","attributable_deaths_lower_95","attributable_deaths_upper_95","model_id","hiv_treatment","uncertainty","zero_below_observed_support","current_pfpr_outside_central95","negative_attributable_estimate"
"AGO","<1",23103.789845721,96479.8497559802,23946.751476247,"0-27 days mapped to model <1 completed month","Angola",20.3401829769949,36741668,36847228,0.997135198338393,20.3387199328232,"estimated",FALSE,2024,2020,-0.0269568531520662,0.0295253214376002,0.973403239899852,0.918672652456317,1.03139444165895,0,1,0.0265967601001482,-0.0313944416589487,0.0813273475436832,23309.8454720553,636.90600419161,-751.794892142378,1947.52577985094,22489.3038897902,614.485955930883,-725.3305824121,1878.96994635917,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"AGO","1-5",14004.8175195865,521268.253567234,2686.68145887388,"direct age match","Angola",20.3401829769949,36741668,36847228,0.997135198338393,20.3387199328232,"estimated",FALSE,2024,2020,-0.0833916739216154,0.0406722914707694,0.91999074026264,0.84949952215393,0.996331298719242,0,1,0.0800092597373596,0.0036687012807578,0.15050047784607,2471.72206419929,214.959394674589,9.85663170915884,404.346843380695,12884.3024370876,1120.51508249892,51.3794919708865,2107.73172884478,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"AGO","6-11",12587.0121600579,614246.449118055,2049.17947480698,"direct age match","Angola",20.3401829769949,36741668,36847228,0.997135198338393,20.3387199328232,"estimated",FALSE,2024,2020,-0.262749832902674,0.0573004227327424,0.768934235297518,0.687250380859632,0.86032670869242,0,1,0.231065764702482,0.13967329130758,0.312749619140368,1575.68425244808,473.495222358906,286.21564172623,640.880100296144,9678.58456997469,2908.42759008322,1758.06941612383,3936.58325917329,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"AGO","12-23",9549.89195093778,1208533.89171182,790.204727929548,"direct age match","Angola",20.3401829769949,36741668,36847228,0.997135198338393,20.3387199328232,"estimated",FALSE,2024,2020,-0.578495249945157,0.0813059110261307,0.560741507862562,0.478139902008963,0.657613048647185,0,1,0.439258492137438,0.342386951352815,0.521860097991037,443.10059065934,347.104137270207,270.555787740379,412.376316750295,5355.0208124934,4194.87113844438,3269.75839083038,4983.70754932021,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"AGO","24-35",6417.02182671434,1182276.57155054,542.768247390582,"IHME 2-4 rate shared; deaths and person-time divided equally","Angola",20.3401829769949,36741668,36847228,0.997135198338393,20.3387199328232,"estimated",FALSE,2024,2020,-0.746606240805016,0.0892315117553242,0.473972374417555,0.397922987911135,0.56455600338723,0,1,0.526027625582445,0.43544399661277,0.602077012088865,257.257154974169,285.511092416413,236.345174878264,326.788284645632,3041.49107189707,3375.53075481726,2794.25363057587,3863.5413279372,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"AGO","36-47",6417.02182671434,1182276.57155054,542.768247390582,"IHME 2-4 rate shared; deaths and person-time divided equally","Angola",20.3401829769949,36741668,36847228,0.997135198338393,20.3387199328232,"estimated",FALSE,2024,2020,-0.679191442355235,0.095102498026262,0.507026787056724,0.420803662756824,0.610917122509994,0,1,0.492973212943276,0.389082877490006,0.579196337243176,275.198040590856,267.570206799726,211.181831504935,314.369380860523,3253.60195927184,3163.4198674425,2496.75331725419,3716.71553804246,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"AGO","48-59",6417.02182671434,1182276.57155054,542.768247390582,"IHME 2-4 rate shared; deaths and person-time divided equally","Angola",20.3401829769949,36741668,36847228,0.997135198338393,20.3387199328232,"estimated",FALSE,2024,2020,-0.633801483336264,0.1101932224559,0.530571005593971,0.42751058499474,0.658476308792358,0,1,0.469428994406029,0.341523691207642,0.57248941500526,287.977094822499,254.791152568084,185.368215319134,310.729076432065,3404.68572351829,3012.33610319605,2191.56498081948,3673.67707165168,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BDI","<1",13625.5810549146,39065.0991915255,34879.1666651404,"0-27 days mapped to model <1 completed month","Burundi",23.4246685162394,10240924,11339513,0.903118502531811,23.5469084975939,"estimated",TRUE,2024,2020,-0.0309133883694966,0.0318573308672224,0.969559544572545,0.910872261439175,1.03202803539813,0,1,0.0304404554274551,-0.0320280353981264,0.0891277385608246,33817.4289469234,1061.73771821698,-1117.11118460827,3108.70124775006,13210.8121621393,414.768892775304,-436.400592346844,1214.41722600175,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BDI","1-5",8031.47064184046,210042.134767365,3823.74262703805,"direct age match","Burundi",23.4246685162394,10240924,11339513,0.903118502531811,23.5469084975939,"estimated",TRUE,2024,2020,-0.0949014589196357,0.0441535208167183,0.909462549474955,0.834067646074949,0.991672717182894,0,1,0.0905374505250448,0.00832728281710615,0.165932353925051,3477.55071812209,346.191908915963,31.8413862751703,634.482614907981,7304.32176596148,727.14887587898,66.8803274718906,1332.68082908052,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BDI","6-11",5926.38470230452,246066.734160547,2408.44611626285,"direct age match","Burundi",23.4246685162394,10240924,11339513,0.903118502531811,23.5469084975939,"estimated",TRUE,2024,2020,-0.295004528714553,0.0607623620925502,0.744528215702509,0.660937121465278,0.838691376190591,0,1,0.255471784297491,0.161308623809409,0.339062878534722,1793.15608955681,615.290026706032,388.503128533476,816.614672975853,4412.36062797342,1514.02407433109,955.976960493876,2009.41705646751,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
