"iso3","country","pfpr_pct","status","map_population_coverage_within_raster","map_coverage_below_95pct","ihme_under5_deaths","counterfactual_under5_deaths","attributable_under5_deaths","attributable_fraction","model_id","hiv_treatment","year","ihme_malaria_deaths","ihme_malaria_lower","ihme_malaria_upper","comparison_status","model_to_ihme_ratio","difference_deaths","age","sex"
"AGO","Angola",20.3401829769949,"estimated",0.997135198338393,FALSE,78496.5769564463,60106.9904640331,18389.5864924132,0.234272463914148,"age_band_separate_v1","posterior_median",2024,14651.9398492798,12467.5818693478,16923.6939760525,"matched",1.25509568573045,3737.64664313336,"Under 5","Both"
"BDI","Burundi",23.4246685162394,"estimated",0.903118502531811,TRUE,43783.7562317263,33077.9795730309,10705.7766586955,0.244514805948466,"age_band_separate_v1","posterior_median",2024,14430.2985954673,11119.9425292347,18825.3188912554,"matched",0.741895712543212,-3724.52193677176,"Under 5","Both"
"BEN","Benin",36.4070797441475,"estimated",1,FALSE,33993.4310312077,23868.8489571918,10124.5820740159,0.297839369751203,"age_band_separate_v1","posterior_median",2024,7361.29305522589,6123.8107166252,8447.00919383237,"matched",1.37538092805968,2763.28901879001,"Under 5","Both"
"BFA","Burkina Faso",20.8912355688325,"estimated",1,FALSE,54484.0205521835,42560.9336342601,11923.0869179234,0.218836400050612,"age_band_separate_v1","posterior_median",2024,10708.7756030255,8680.20995204987,12859.9632975413,"matched",1.11339403867561,1214.31131489787,"Under 5","Both"
"BWA","Botswana",0.0785030798269115,"estimated",0.500006041684288,TRUE,1172.25308563155,1171.08323448057,1.1698511509753,0.00099795101016522,"age_band_separate_v1","posterior_median",2024,0.695282142301979,0.566078141558475,0.865365200478051,"matched",1.68255601546459,0.474569008673321,"Under 5","Both"
"CAF","Central African Republic",33.7356038277751,"estimated",1,FALSE,30131.6302473719,22391.7666814987,7739.86356587316,0.256868397173706,"age_band_separate_v1","posterior_median",2024,3864.81190981826,2988.5346548178,4918.95688143029,"matched",2.00264948113274,3875.0516560549,"Under 5","Both"
"CIV","Cote d'Ivoire",21.6015841554766,"estimated",0.999044906250652,FALSE,76149.5103506282,60636.611003502,15512.8993471262,0.203716337448495,"age_band_separate_v1","posterior_median",2024,12847.9944570404,10992.8248129928,14930.7829105665,"matched",1.20741796698282,2664.90489008583,"Under 5","Both"
"CMR","Cameroon",25.1740174516115,"estimated",0.994188327616715,FALSE,76158.9596642578,56231.6087245268,19927.350939731,0.261654715710135,"age_band_separate_v1","posterior_median",2024,16295.439261067,12829.7512000615,19364.0649107893,"matched",1.22287902894041,3631.91167866398,"Under 5","Both"
"COD","Democratic Republic of the Congo",36.0589155594133,"estimated",0.967916469947541,FALSE,207594.492222304,148522.830836368,59071.6613859364,0.284553124476343,"age_band_separate_v1","posterior_median",2024,61774.2754897226,42160.3517504988,85088.5235486626,"matched",0.956250169146285,-2702.61410378617,"Under 5","Both"
"COG","Congo",23.0367800311056,"estimated",0.999607704919486,FALSE,7790.75347139419,6015.89360519971,1774.85986619447,0.227816201951626,"age_band_separate_v1","posterior_median",2024,1414.45241393579,1210.39861623528,1650.43032097768,"matched",1.25480351880897,360.407452258677,"Under 5","Both"
"COM","Comoros",2.05693091322994,"estimated",0.977875023773357,FALSE,991.364747730025,968.574334870184,22.7904128598407,0.0229889280529946,"age_band_separate_v1","posterior_median",2024,3.33028598949748,2.83814641986263,3.87315561067014,"matched",6.84338009759925,19.4601268703432,"Under 5","Both"
"CPV","Cape Verde",,"missing_MAP_no_estimate",,,171.633171400473,,,,"age_band_separate_v1","posterior_median",2024,3.47634329775336e-24,3.20284455502753e-24,3.73034598672859e-24,"missing_model_MAP",,,"Under 5","Both"
"DJI","Djibouti",4.3967566637446,"estimated",0.900244405140964,TRUE,1619.05851447361,1551.45324077284,67.6052737007714,0.041755917464633,"age_band_separate_v1","posterior_median",2024,19.4005119570286,16.0864218722266,22.5541315796023,"matched",3.4847159626774,48.2047617437428,"Under 5","Both"
"ERI","Eritrea",1.01244593723427,"estimated",0.941587510523092,TRUE,11415.5571326635,11197.1944554463,218.362677217217,0.0191285168721562,"age_band_separate_v1","posterior_median",2024,43.3765641194195,29.0801253653352,58.955921032804,"matched",5.0341165016216,174.986113097798,"Under 5","Both"
"ETH","Ethiopia",3.96841512486915,"estimated",0.827585277262,TRUE,191455.600459436,183586.342657733,7869.25780170302,0.0411022596509017,"age_band_separate_v1","posterior_median",2024,8908.38144328392,6494.38322090894,11562.2891027058,"matched",0.883354383936456,-1039.1236415809,"Under 5","Both"
"GAB","Gabon",18.3938632660677,"estimated",0.999284909726468,FALSE,1762.17544190006,1448.50003754196,313.6754043581,0.178004639549329,"age_band_separate_v1","posterior_median",2024,264.514045573738,222.268138756488,324.608850779314,"matched",1.18585538124348,49.1613587843619,"Under 5","Both"
"GHA","Ghana",16.1544407206884,"estimated",0.999730304961018,FALSE,39450.0929558237,33008.7008642692,6441.39209155456,0.163279516191955,"age_band_separate_v1","posterior_median",2024,6745.25942954957,5618.1530302187,7919.31444089593,"matched",0.954950978362102,-303.867337995011,"Under 5","Both"
"GIN","Guinea",21.3998882059171,"estimated",0.996935005435981,FALSE,41823.6813861269,31858.2352607976,9965.44612532933,0.238272810882566,"age_band_separate_v1","posterior_median",2024,7062.92867541533,6084.79236756245,8084.74053574334,"matched",1.41095097845418,2902.517449914,"Under 5","Both"
"GMB","The Gambia",7.44118125415429,"estimated",0.99989435444155,FALSE,4149.15874769844,3801.95634037464,347.202407323794,0.0836801936094609,"age_band_separate_v1","posterior_median",2024,125.250703961608,100.395615052294,158.932353425733,"matched",2.77205952814619,221.951703362186,"Under 5","Both"
"GNB","Guinea-Bissau",6.4586512545087,"estimated",0.996068689009789,FALSE,5124.05416089457,4694.84218968575,429.211971208823,0.083764136313089,"age_band_separate_v1","posterior_median",2024,243.753822660091,196.059349889802,302.832338060934,"matched",1.76084201070089,185.458148548732,"Under 5","Both"
"GNQ","Equatorial Guinea",22.7935103595535,"estimated",0.967788791016353,FALSE,2267.52069426983,1797.89117185565,469.629522414182,0.2071114603721,"age_band_separate_v1","posterior_median",2024,718.459783286752,581.985375504329,849.096263456087,"matched",0.653661531708509,-248.83026087257,"Under 5","Both"
"KEN","Kenya",4.56636270936913,"estimated",0.822215895130027,TRUE,40835.6314958744,38701.604584706,2134.02691116835,0.0522589423255019,"age_band_separate_v1","posterior_median",2024,2762.50881132626,1999.47866831525,3414.41683412939,"matched",0.772495965413344,-628.481900157913,"Under 5","Both"
"LBR","Liberia",15.076632247439,"estimated",0.999979141849584,FALSE,14929.2413209443,12469.6555495543,2459.58577139001,0.164749548789157,"age_band_separate_v1","posterior_median",2024,2689.78371276534,2321.94761475361,3285.60007793247,"matched",0.914417675933257,-230.19794137533,"Under 5","Both"
"LSO","Lesotho",,"missing_MAP_no_estimate",0,TRUE,2500.22260683638,,,,"age_band_separate_v1","posterior_median",2024,,,,"missing_model_MAP",,,"Under 5","Both"
"MDG","Madagascar",9.56229188686996,"estimated",0.965066759112986,FALSE,56616.2699064943,49427.9688363861,7188.30107010822,0.126965288988134,"age_band_separate_v1","posterior_median",2024,4898.31220543322,4266.98488050047,5415.5236402878,"matched",1.46750569760232,2289.988864675,"Under 5","Both"
"MLI","Mali",17.8255590399717,"estimated",0.97767054940682,FALSE,87756.7145398564,69214.1678859347,18542.5466539217,0.211294904910099,"age_band_separate_v1","posterior_median",2024,12944.5842730324,11209.9670277499,15472.8229274054,"matched",1.43245594163666,5597.96238088928,"Under 5","Both"
"MOZ","Mozambique",24.0344454120773,"estimated",0.999790945132115,FALSE,75208.0645451154,59042.4530360936,16165.6115090219,0.21494518715243,"age_band_separate_v1","posterior_median",2024,10284.9934524545,8469.7142092431,11622.699765133,"matched",1.57176682549701,5880.6180565674,"Under 5","Both"
"MRT","Mauritania",2.77377496776398,"estimated",0.840119682930452,TRUE,5487.39520476196,5328.17118829525,159.224016466713,0.0290163202257672,"age_band_separate_v1","posterior_median",2024,192.831907593039,154.182397303527,228.647565265375,"matched",0.825714055594712,-33.6078911263261,"Under 5","Both"
"MWI","Malawi",19.1757235989892,"estimated",0.999764978481837,FALSE,34215.8271722914,27242.1467520179,6973.68042027351,0.203814462387773,"age_band_separate_v1","posterior_median",2024,5556.77907078908,4629.03599398836,6486.18756298989,"matched",1.25498608662216,1416.90134948443,"Under 5","Both"
"NAM","Namibia",0.94567686375632,"estimated",0.611389973186959,TRUE,2453.1860336331,2420.89819436115,32.2878392719497,0.0131615942815932,"age_band_separate_v1","posterior_median",2024,11.0131110529254,8.79334592863812,13.5830301002762,"matched",2.93176370571267,21.2747282190243,"Under 5","Both"
"NER","Niger",17.3368601964551,"estimated",0.952363358910006,FALSE,137095.733919724,102325.39885691,34770.335062814,0.253620839020226,"age_band_separate_v1","posterior_median",2024,20343.4978323923,16923.8370927016,25555.1409014172,"matched",1.70916207966214,14426.8372304217,"Under 5","Both"
"NGA","Nigeria",24.7045606738025,"estimated",0.999968748812492,FALSE,733038.1657058,538683.969722406,194354.195983394,0.265135166320107,"age_band_separate_v1","posterior_median",2024,138110.850542117,114663.070650648,163237.412366247,"matched",1.40723335799113,56243.345441277,"Under 5","Both"
"RWA","Rwanda",2.95274596542956,"estimated",0.814603360177058,TRUE,19235.6005186113,18384.8110879166,850.789430694682,0.0442299386427529,"age_band_separate_v1","posterior_median",2024,2147.105688144,1439.21381345309,3202.43814304109,"matched",0.396249441931348,-1296.31625744931,"Under 5","Both"
"SEN","Senegal",6.76968783303698,"estimated",0.99558981120801,FALSE,23309.1314317423,21630.3416517801,1678.78977996224,0.0720228372678042,"age_band_separate_v1","posterior_median",2024,766.297572416344,630.165138575998,953.596593365094,"matched",2.19078050145528,912.492207545896,"Under 5","Both"
"SLE","Sierra Leone",30.8209909320081,"estimated",0.99816935916103,FALSE,27722.5042039334,20472.2076209166,7250.2965830168,0.261531084265761,"age_band_separate_v1","posterior_median",2024,6200.18547588636,5244.04155764861,7183.22944062771,"matched",1.16936769250122,1050.11110713044,"Under 5","Both"
