"iso3","Location","pfpr_pct","population_weight_on_map","population_weight_within_raster","map_population_coverage_within_raster","legacy_density_weighted_pfpr_pct","status","map_coverage_below_95pct","exposure_year","population_weight_year"
"AGO","Angola",20.3401829769949,36741668,36847228,0.997135198338393,20.3387199328232,"estimated",FALSE,2024,2020
"BDI","Burundi",23.4246685162394,10240924,11339513,0.903118502531811,23.5469084975939,"estimated",TRUE,2024,2020
"BEN","Benin",36.4070797441475,13527325,13527325,1,36.2947064834239,"estimated",FALSE,2024,2020
"BFA","Burkina Faso",20.8912355688325,22752144,22752144,1,20.8674487845733,"estimated",FALSE,2024,2020
"BWA","Botswana",0.0785030798269115,1200011,2399993,0.500006041684288,0.0693041851554974,"estimated",TRUE,2024,2020
"CAF","Central African Republic",33.7356038277751,5328369.5,5328369.5,1,33.7126920376516,"estimated",FALSE,2024,2020
"CIV","Cote d'Ivoire",21.6015841554766,27757124,27783660,0.999044906250652,21.6145073637869,"estimated",FALSE,2024,2020
"CMR","Cameroon",25.1740174516115,28456054,28622398,0.994188327616715,25.1747465384929,"estimated",FALSE,2024,2020
"COD","Democratic Republic of the Congo",36.0589155594133,111559528,115257392,0.967916469947541,36.0595229709644,"estimated",FALSE,2024,2020
"COG","Congo",23.0367800311056,4340691,4342394.5,0.999607704919486,23.1096800626508,"estimated",FALSE,2024,2020
"COM","Comoros",2.05693091322994,862191.125,881698.6875,0.977875023773357,2.0569309592247,"estimated",FALSE,2024,2020
"CPV","Cape Verde",,0,0,,,"missing_MAP_no_estimate",,2024,2020
"DJI","Djibouti",4.3967566637446,1051337.375,1167835.5,0.900244405140964,4.54489563154219,"estimated",TRUE,2024,2020
"ERI","Eritrea",1.01244593723427,3949344.75,4194347,0.941587510523092,0.997536730544655,"estimated",TRUE,2024,2020
"ETH","Ethiopia",3.96841512486915,85707320,103563128,0.827585277262,3.96593070817917,"estimated",TRUE,2024,2020
"GAB","Gabon",18.3938632660677,3021232.5,3023394.5,0.999284909726468,18.3714864787975,"estimated",FALSE,2024,2020
"GHA","Ghana",16.1544407206884,33547370,33556420,0.999730304961018,16.0953150268076,"estimated",FALSE,2024,2020
"GIN","Guinea",21.3998882059171,12444308,12482567,0.996935005435981,21.4175935803199,"estimated",FALSE,2024,2020
"GMB","The Gambia",7.44118125415429,2496291.75,2496555.5,0.99989435444155,7.4363160474733,"estimated",FALSE,2024,2020
"GNB","Guinea-Bissau",6.4586512545087,1904789.5,1912307.375,0.996068689009789,6.30792437175638,"estimated",FALSE,2024,2020
"GNQ","Equatorial Guinea",22.7935103595535,1251194.125,1292838,0.967788791016353,22.8478980883679,"estimated",FALSE,2024,2020
"KEN","Kenya",4.56636270936913,45107652,54861080,0.822215895130027,4.54009415967545,"estimated",TRUE,2024,2020
"LBR","Liberia",15.076632247439,4554479.5,4554574.5,0.999979141849584,15.0057679008546,"estimated",FALSE,2024,2020
"LSO","Lesotho",,0,1818115.75,0,,"missing_MAP_no_estimate",TRUE,2024,2020
"MDG","Madagascar",9.56229188686996,27064006,28043662,0.965066759112986,9.57027762649808,"estimated",FALSE,2024,2020
"MLI","Mali",17.8255590399717,23241898,23772730,0.97767054940682,17.831434657684,"estimated",FALSE,2024,2020
"MOZ","Mozambique",24.0344454120773,31152770,31159284,0.999790945132115,23.9051215608327,"estimated",FALSE,2024,2020
"MRT","Mauritania",2.77377496776398,3752789,4466969.5,0.840119682930452,2.79225102838755,"estimated",TRUE,2024,2020
"MWI","Malawi",19.1757235989892,18836400,18840828,0.999764978481837,19.2304264603884,"estimated",FALSE,2024,2020
"NAM","Namibia",0.94567686375632,1453226.125,2376921.75,0.611389973186959,0.819213647739499,"estimated",TRUE,2024,2020
"NER","Niger",17.3368601964551,22709510,23845426,0.952363358910006,17.3155144567501,"estimated",FALSE,2024,2020
"NGA","Nigeria",24.7045606738025,218096896,218103712,0.999968748812492,24.694238167759,"estimated",FALSE,2024,2020
"RWA","Rwanda",2.95274596542956,11468817,14079020,0.814603360177058,2.74687564370036,"estimated",TRUE,2024,2020
"SEN","Senegal",6.76968783303698,16901276,16976144,0.99558981120801,6.71100162037475,"estimated",FALSE,2024,2020
"SLE","Sierra Leone",30.8209909320081,6789265,6801716.5,0.99816935916103,30.2931646063336,"estimated",FALSE,2024,2020
"SOM","Somalia",3.00562461766305,11021038,11209545,0.983183349547194,2.99681056514227,"estimated",FALSE,2024,2020
"SSD","South Sudan",23.1223019010464,16697173,16714814,0.998944588913762,23.1228818950924,"estimated",FALSE,2024,2020
"STP","Sao Tome and Principe",,,,,,"missing_MAP_no_estimate",,2024,2020
"SWZ","Swaziland",2.08854269781645,28914.978515625,1091849.625,0.0264825648638429,2.19938231245895,"estimated",TRUE,2024,2020
"TCD","Chad",15.0510808013007,15540183,16497859,0.941951498070144,15.0481054075522,"estimated",TRUE,2024,2020
"TGO","Togo",20.9673047922131,8690035,8690035,1,20.9024252758318,"estimated",FALSE,2024,2020
"TZA","Tanzania",8.82121978993696,56146192,57136840,0.982661834291151,8.79149395204094,"estimated",FALSE,2024,2020
"UGA","Uganda",21.8964090477387,41922696,43130096,0.972005626882908,21.8888318498397,"estimated",FALSE,2024,2020
"ZMB","Zambia",14.2728881701827,18732428,18732522,0.999994981989078,14.224126117973,"estimated",FALSE,2024,2020
"ZWE","Zimbabwe",3.38446214555114,14232977,14327908,0.993374399109765,3.37660316677918,"estimated",FALSE,2024,2020
