"iso3","Location","Year","Age","Unit","Value","Lower","Upper"
"AGO","Angola",2024,"Under 5","Number",78496.5769564463,66502.7279002795,92621.1371488761
"AGO","Angola",2024,"Under 5","Rate (per 100,000)",1310.65741516441,1149.90185199294,1449.81052844304
"AGO","Angola",2024,"0 to 6 days (early neonatal)","Number",18780.0952316926,16175.2688967014,22241.0836240614
"AGO","Angola",2024,"0 to 6 days (early neonatal)","Rate (per 100,000)",77324.7561629315,72886.0897662842,82258.7606179812
"AGO","Angola",2024,"7 to 27 days (late neonatal)","Number",4323.69461402839,3576.23944588,5218.46440120913
"AGO","Angola",2024,"7 to 27 days (late neonatal)","Rate (per 100,000)",5989.1146767718,5477.39441737489,6541.35224967576
"AGO","Angola",2024,"Under 1","Number",49695.6195253655,42552.8699802488,59478.0777660343
"AGO","Angola",2024,"Under 1","Rate (per 100,000)",4033.4441703106,3687.88586075332,4312.49142180551
"AGO","Angola",2024,"2 to 4","Number",19251.065480143,15514.9119148818,22797.4927771374
"AGO","Angola",2024,"2 to 4","Rate (per 100,000)",542.768247390582,448.117775520864,622.912749254603
"AGO","Angola",2024,"12 to 23 months","Number",9549.89195093778,7733.1776711765,11506.3639614446
"AGO","Angola",2024,"12 to 23 months","Rate (per 100,000)",790.204727929548,654.833142810188,916.933861549113
"AGO","Angola",2024,"1 to 5 months","Number",14004.8175195865,11645.4804767631,17122.6676900749
"AGO","Angola",2024,"1 to 5 months","Rate (per 100,000)",2686.68145887388,2362.793358072,2984.56773787627
"AGO","Angola",2024,"6-11 months","Number",12587.0121600579,10121.1763877188,15424.8992977887
"AGO","Angola",2024,"6-11 months","Rate (per 100,000)",2049.17947480698,1753.40532217186,2315.646932731
"CAF","Central African Republic",2024,"Under 5","Number",30131.6302473719,22994.5387271463,36747.279960235
"CAF","Central African Republic",2024,"Under 5","Rate (per 100,000)",2430.86298958027,2220.66291531476,2615.76042048663
"CAF","Central African Republic",2024,"0 to 6 days (early neonatal)","Number",7668.49037878293,6259.19640328676,9254.1835282009
"CAF","Central African Republic",2024,"0 to 6 days (early neonatal)","Rate (per 100,000)",142905.33378073,133809.054569322,149585.786121897
"CAF","Central African Republic",2024,"7 to 27 days (late neonatal)","Number",1631.90353497046,1233.71234078162,2057.05479540361
"CAF","Central African Republic",2024,"7 to 27 days (late neonatal)","Rate (per 100,000)",10286.701206575,9064.83198493762,11361.3870088023
"CAF","Central African Republic",2024,"Under 1","Number",20633.8564366381,16006.6177082193,25302.1734763005
"CAF","Central African Republic",2024,"Under 1","Rate (per 100,000)",7670.23489108502,7090.01231384528,8138.76712228618
"CAF","Central African Republic",2024,"2 to 4","Number",7179.32411792122,5297.03072000537,8884.49739627142
"CAF","Central African Republic",2024,"2 to 4","Rate (per 100,000)",1007.19810687321,846.470185373857,1142.23262119196
"CAF","Central African Republic",2024,"12 to 23 months","Number",2318.4496928125,1774.51935264523,2959.50821855951
"CAF","Central African Republic",2024,"12 to 23 months","Rate (per 100,000)",899.830485749966,786.453987267154,1016.82584943058
"CAF","Central African Republic",2024,"1 to 5 months","Number",6385.50969065786,4936.77043122718,8116.37458493957
"CAF","Central African Republic",2024,"1 to 5 months","Rate (per 100,000)",5585.01695979777,4941.34563010121,6086.99567844472
"CAF","Central African Republic",2024,"6-11 months","Number",4947.95283222689,3596.34346608968,6149.85606260687
"CAF","Central African Republic",2024,"6-11 months","Rate (per 100,000)",3705.82047421443,3158.00320237359,4223.6304551885
"COG","Congo",2024,"Under 5","Number",7790.75347139418,6765.64550225626,9105.452720366
"COG","Congo",2024,"Under 5","Rate (per 100,000)",1041.5363920845,918.278292506969,1191.35669153528
"COG","Congo",2024,"0 to 6 days (early neonatal)","Number",2168.40571869182,1840.46777507148,2473.45221058572
"COG","Congo",2024,"0 to 6 days (early neonatal)","Rate (per 100,000)",76931.1518010511,73195.4665322563,81335.9522599895
"COG","Congo",2024,"7 to 27 days (late neonatal)","Number",479.436246715918,388.11376360903,559.005040293225
"COG","Congo",2024,"7 to 27 days (late neonatal)","Rate (per 100,000)",5722.79319325089,4883.41108695609,6395.72144566612
"COG","Congo",2024,"Under 1","Number",5215.32971665884,4486.12011412431,6065.10237276756
"COG","Congo",2024,"Under 1","Rate (per 100,000)",3635.07901931067,3331.5949753404,3939.51758840969
"COG","Congo",2024,"2 to 4","Number",1673.27794273408,1386.41895701216,2031.51995337558
"COG","Congo",2024,"2 to 4","Rate (per 100,000)",364.252146326634,304.692685999446,426.887731678793
"COG","Congo",2024,"12 to 23 months","Number",902.145812001262,707.464599718788,1100.30254397983
"COG","Congo",2024,"12 to 23 months","Rate (per 100,000)",621.426442966254,503.973941146223,741.318267775877
"COG","Congo",2024,"1 to 5 months","Number",1403.23265162331,1167.76931060655,1711.55474829358
"COG","Congo",2024,"1 to 5 months","Rate (per 100,000)",2312.46395767442,2000.14783722635,2640.52611033092
"COG","Congo",2024,"6-11 months","Number",1164.2550996278,914.818721596622,1446.51878591352
"COG","Congo",2024,"6-11 months","Rate (per 100,000)",1626.51991415675,1325.6011211964,1958.66000262121
"COD","Democratic Republic of the Congo",2024,"Under 5","Number",207594.492222304,146781.334156936,276216.872627754
"COD","Democratic Republic of the Congo",2024,"Under 5","Rate (per 100,000)",1432.91720057734,1290.61866855946,1629.98216000703
"COD","Democratic Republic of the Congo",2024,"0 to 6 days (early neonatal)","Number",47307.6175464699,33095.8598634035,63678.8159579632
"COD","Democratic Republic of the Congo",2024,"0 to 6 days (early neonatal)","Rate (per 100,000)",80354.9483500693,75013.7121910797,86209.7601283456
"COD","Democratic Republic of the Congo",2024,"7 to 27 days (late neonatal)","Number",9773.87146082543,6895.05492665837,13374.8543541258
"COD","Democratic Republic of the Congo",2024,"7 to 27 days (late neonatal)","Rate (per 100,000)",5584.09462673232,5090.66495340417,6089.19613369904
"COD","Democratic Republic of the Congo",2024,"Under 1","Number",131555.87383747,93981.2930190395,174327.115384761
"COD","Democratic Republic of the Congo",2024,"Under 1","Rate (per 100,000)",4405.26587842406,4054.95063348151,4825.15841930773
"COD","Democratic Republic of the Congo",2024,"2 to 4","Number",51327.8288739456,35921.4866488013,73123.7406515888
"COD","Democratic Republic of the Congo",2024,"2 to 4","Rate (per 100,000)",598.769516690725,490.802197568611,713.79937744094
"COD","Democratic Republic of the Congo",2024,"12 to 23 months","Number",24710.7895108883,17221.7844572296,33450.0628010909
"COD","Democratic Republic of the Congo",2024,"12 to 23 months","Rate (per 100,000)",844.815351331746,721.774173745898,1022.69638876899
"COD","Democratic Republic of the Congo",2024,"1 to 5 months","Number",37739.5575580428,27447.6278400292,50243.018167326
"COD","Democratic Republic of the Congo",2024,"1 to 5 months","Rate (per 100,000)",2995.21924603686,2662.51973362242,3388.55689637001
"COD","Democratic Republic of the Congo",2024,"6-11 months","Number",36734.8272721318,25102.602095771,51678.8092148018
"COD","Democratic Republic of the Congo",2024,"6-11 months","Rate (per 100,000)",2463.78054071001,2098.08954258661,2941.03228953219
"GNQ","Equatorial Guinea",2024,"Under 5","Number",2267.52069426983,1828.30079042397,2747.6253891034
"GNQ","Equatorial Guinea",2024,"Under 5","Rate (per 100,000)",1122.43486458543,994.215854535066,1284.56967336703
"GNQ","Equatorial Guinea",2024,"0 to 6 days (early neonatal)","Number",550.472653835795,454.438711747501,646.304941907062
"GNQ","Equatorial Guinea",2024,"0 to 6 days (early neonatal)","Rate (per 100,000)",70453.8762418304,66772.1789260096,74503.56149163
"GNQ","Equatorial Guinea",2024,"7 to 27 days (late neonatal)","Number",150.083510393252,120.344215148272,184.194880830292
"GNQ","Equatorial Guinea",2024,"7 to 27 days (late neonatal)","Rate (per 100,000)",6459.84545047833,5785.00379157945,7267.86600567084
"GNQ","Equatorial Guinea",2024,"Under 1","Number",1643.97949698111,1323.83798969467,2005.4149853273
"GNQ","Equatorial Guinea",2024,"Under 1","Rate (per 100,000)",4149.30705690634,3716.22027055682,4596.38039622784
"GNQ","Equatorial Guinea",2024,"2 to 4","Number",340.12406957657,269.044073531753,411.380061637624
"GNQ","Equatorial Guinea",2024,"2 to 4","Rate (per 100,000)",277.714544179396,227.31044464571,338.802701993551
"GNQ","Equatorial Guinea",2024,"12 to 23 months","Number",283.417127712151,223.795204339237,354.884667592076
"GNQ","Equatorial Guinea",2024,"12 to 23 months","Rate (per 100,000)",711.696393984362,582.957517766088,867.691731932743
"GNQ","Equatorial Guinea",2024,"1 to 5 months","Number",566.901131986749,430.195661350763,725.714218486349
"GNQ","Equatorial Guinea",2024,"1 to 5 months","Rate (per 100,000)",3379.35243905356,2807.10315071446,3996.00922848055
"GNQ","Equatorial Guinea",2024,"6-11 months","Number",376.522200765314,289.450768937712,482.836670486084
"GNQ","Equatorial Guinea",2024,"6-11 months","Rate (per 100,000)",1907.86094225556,1612.73704225911,2278.85095748281
"GAB","Gabon",2024,"Under 5","Number",1762.17544190006,1478.54939142129,2065.19526506686
"GAB","Gabon",2024,"Under 5","Rate (per 100,000)",751.209388546285,672.335456197517,819.006554779495
"GAB","Gabon",2024,"0 to 6 days (early neonatal)","Number",622.313936202917,518.140942326143,739.93663306645
"GAB","Gabon",2024,"0 to 6 days (early neonatal)","Rate (per 100,000)",67700.277413417,63335.1416009946,73371.2042262304
