"subgroup","series","age_band","contrast","hazard_ratio","lower_95","upper_95","both_values_within_observed_support","both_values_within_central_support"
"map_full","Full analysis","<1","20% to 0%",0.938032145024276,0.889222066041729,0.989521446555682,FALSE,FALSE
"map_full","Full analysis","1-5","20% to 0%",0.908371850272348,0.85072173619559,0.969928689088415,FALSE,FALSE
"map_full","Full analysis","6-11","20% to 0%",0.754519334856353,0.688933990562984,0.826348292391339,FALSE,FALSE
"map_full","Full analysis","12-23","20% to 0%",0.578224652867549,0.507327260001534,0.659029733948826,FALSE,FALSE
"map_full","Full analysis","24-35","20% to 0%",0.528684581652124,0.457870380804933,0.610450901814853,FALSE,FALSE
"map_full","Full analysis","36-47","20% to 0%",0.554566762943331,0.474582231888984,0.648031624229426,FALSE,FALSE
"map_full","Full analysis","48-59","20% to 0%",0.563660658811199,0.470037904493185,0.675931313739574,FALSE,FALSE
"sahel","Sahel (≥12°N)","<1","20% to 0%",0.971550824041511,0.834795463844189,1.13070931093597,FALSE,FALSE
"sahel","Sahel (≥12°N)","1-5","20% to 0%",0.95249985923295,0.860182042257084,1.05472555490485,FALSE,FALSE
"sahel","Sahel (≥12°N)","6-11","20% to 0%",0.704935643877991,0.581476958320858,0.854606970918821,FALSE,FALSE
"sahel","Sahel (≥12°N)","12-23","20% to 0%",0.694820908930545,0.628693438389252,0.767903824038578,FALSE,FALSE
"sahel","Sahel (≥12°N)","24-35","20% to 0%",0.770751573907495,0.677706071494326,0.876571737613323,FALSE,FALSE
"sahel","Sahel (≥12°N)","36-47","20% to 0%",0.745025214145902,0.588278873426885,0.943536466777662,FALSE,FALSE
"sahel","Sahel (≥12°N)","48-59","20% to 0%",0.643266087711192,0.505285297534658,0.818925984227517,FALSE,FALSE
"east_africa","Eastern Africa","<1","20% to 0%",1.01659167551164,0.974069484857934,1.06097013692026,FALSE,FALSE
"east_africa","Eastern Africa","1-5","20% to 0%",0.862924323895021,0.769726897860773,0.96740596026874,FALSE,FALSE
"east_africa","Eastern Africa","6-11","20% to 0%",0.85640513264743,0.798887389366499,0.918063998740119,FALSE,FALSE
"east_africa","Eastern Africa","12-23","20% to 0%",0.5966081702664,0.489786880489127,0.72672691533338,FALSE,FALSE
"east_africa","Eastern Africa","24-35","20% to 0%",0.472118671902021,0.369690069785882,0.602926771843306,FALSE,FALSE
"east_africa","Eastern Africa","36-47","20% to 0%",0.674564691554445,0.530819486583274,0.857235905224359,FALSE,FALSE
