"stage","started_at","finished_at","elapsed_seconds","exit_status"
"effects","2026-09-17 23:14:20.595228","2026-09-17 23:14:21.337201",0.742180109024048,0
"diagnostics","2026-09-17 23:14:21.338644","2026-09-17 23:14:32.103468",10.7649800777435,0
"comparison","2026-09-17 23:14:32.104946","2026-09-17 23:14:33.653147",1.54831719398499,0
"report","2026-09-17 23:14:33.65391","2026-09-17 23:14:35.918191",2.26440906524658,0
"flow","2026-09-17 23:14:35.918963","2026-09-17 23:14:36.996912",1.07807111740112,0
"survey_map","2026-09-17 23:14:36.997683","2026-09-17 23:14:50.618486",13.6209828853607,0
"age_fractions","2026-09-17 23:14:50.620223","2026-09-17 23:14:51.591005",0.970907926559448,0
"annual_burden","2026-09-17 23:14:51.591994","2026-09-17 23:15:04.460285",12.8684680461884,0
"annual_plot","2026-09-17 23:15:04.462243","2026-09-17 23:15:05.237319",0.77521800994873,0
"nigeria_burden","2026-09-17 23:15:05.238258","2026-09-17 23:15:05.919732",0.681608200073242,0
"nigeria_plot","2026-09-17 23:15:05.920609","2026-09-17 23:15:06.872932",0.952445030212402,0
"burden_tables","2026-09-17 23:15:06.873886","2026-09-17 23:15:07.038559",0.164790868759155,0
"paper_manifest","2026-09-17 23:15:07.039505","2026-09-17 23:15:07.247377",0.207993984222412,0
"index","2026-09-17 23:15:07.248383","2026-09-17 23:15:07.407076",0.158813953399658,0
