"variable","mean","sd"
"male_pct",50.7283332445999,1.71600705002624
"multiple_birth_pct",3.54598754614441,1.194095909171
"mean_birth_order",3.63892959361733,0.52135349255014
"mean_maternal_age_birth",27.0874872445312,0.996777596884062
"mean_maternal_education_years",4.17615176536069,2.64961921636719
"mean_wealth_quintile",2.78923194535238,0.712759783092956
"urban_pct",28.9919680642846,24.0712806903527
"dtp3_pct",69.1738767352835,24.1218272273266
"measles_pct",70.716236355691,20.2444446735086
"facility_delivery_pct",60.6526613448439,26.2427941246562
"short_birth_interval_pct",19.339042642077,6.9385684696667
"improved_water_pct",67.8054750874734,20.265912240183
"improved_sanitation_pct",43.6061909508535,24.9852971217856
"electricity_pct",31.9656422614229,25.5991320641602
"log_hiv_incidence",-0.0330704064588711,1.18014116806381
"log_gdp_pc",6.82176013775945,0.783830539684576
"log_health_expenditure_pc",3.67725663713261,0.710092610680102
"political_stability",-0.821372097199584,0.779297361635343
