"measure","previous","revised","change"
"Child-band records",5885022,5680117,-204905
"Children",1817912,1755838,-62074
"Deaths",82415,78634,-3781
"Survey-regions",1015,973,-42
"Surveys",105,100,-5
"Countries",34,34,0
