"age_band","previous_edf","revised_edf"
"<1",2.28185145685212,2.2182407625254
"1-5",1.97684342449861,1.76893957551667
"6-11",2.58701836187017,2.2411310889881
"12-23",3.52628592309664,3.26521246974037
"24-35",3.60779280646634,3.39472534009018
"36-47",3.40104783793225,3.11935068967165
"48-59",3.38966818885735,3.21640064113055
