"age_band","pfpr_pct","log_hr_zero_vs_current","log_hr_se","attributable_fraction","af_lower_95","af_upper_95","zero_below_observed_support","current_outside_central95"
"<1",10,-0.0175481502834311,0.015442294929534,0.0173950781794916,-0.012799975055426,0.0466899129484583,TRUE,FALSE
"<1",20,-0.0392890848539067,0.0260837503778915,0.0385272782339749,-0.0119053773856564,0.0864464056031491,TRUE,FALSE
"<1",30,-0.0655356925847735,0.0309015814137826,0.0634343822846593,0.00495626997332989,0.118475771649747,TRUE,FALSE
"<1",40,-0.0847158091702798,0.0335649617000775,0.0812266457352569,0.0187504654583872,0.139724966186887,TRUE,FALSE
"1-5",10,-0.0390507261855951,0.0188427547567473,0.0382980755612601,0.00211668352161782,0.0731675976574844,TRUE,FALSE
"1-5",20,-0.077228925935589,0.0330728274328533,0.0743220823347514,0.0123295447261323,0.132423570354274,TRUE,FALSE
"1-5",30,-0.112932146269154,0.0415592430748913,0.106788734223351,0.0309858164019109,0.176661829295543,TRUE,FALSE
"1-5",40,-0.142362716058013,0.0472117506540417,0.132693386609586,0.0486066500649966,0.209348308265831,TRUE,FALSE
"6-11",10,-0.130053642583097,0.0259024562392109,0.12195167112321,0.0762232308470253,0.165416479838266,TRUE,FALSE
"6-11",20,-0.250117834378466,0.0439390740515389,0.221290981028228,0.151255643428814,0.285547253972086,TRUE,FALSE
"6-11",30,-0.352071883049314,0.0522495497656767,0.296770430126407,0.220936534152248,0.365222668468397,TRUE,FALSE
"6-11",40,-0.433418961688319,0.0566665113465449,0.351711173281042,0.275557292808511,0.419859709157715,TRUE,FALSE
"12-23",10,-0.272584296767,0.0401235988048383,0.238590757867613,0.17629435769711,0.296175715897992,TRUE,FALSE
"12-23",20,-0.475776812434148,0.0637668154990362,0.378597843993629,0.295871107789578,0.451605176607393,TRUE,FALSE
"12-23",30,-0.572563058900693,0.0683213691516427,0.435922180350761,0.355095590415181,0.506618683495928,TRUE,FALSE
"12-23",40,-0.612412198153665,0.0692403391990628,0.457958221361141,0.379171953615482,0.526746107072613,TRUE,FALSE
"24-35",10,-0.344320803194313,0.0453785656229001,0.291298462139449,0.225376996108112,0.351609922191248,TRUE,FALSE
"24-35",20,-0.601128073147565,0.0715582422782743,0.451807114512135,0.369267803816184,0.523545109132289,TRUE,FALSE
"24-35",30,-0.721893177384694,0.0753617354312382,0.51416838066377,0.436835875711729,0.580881749800448,TRUE,FALSE
"24-35",40,-0.762259566377811,0.0753827740037735,0.533389103355035,0.4590937629682,0.597479722063146,TRUE,FALSE
"36-47",10,-0.28644573129707,0.048456642493713,0.249072170695375,0.174256190870744,0.317109497413273,TRUE,FALSE
"36-47",20,-0.505647681987417,0.0770351112824033,0.396885177707926,0.298587320395523,0.481407309212723,TRUE,FALSE
"36-47",30,-0.616823423217354,0.0826072228130338,0.460344023616529,0.36549700177491,0.541013086366719,TRUE,FALSE
"36-47",40,-0.650003509699574,0.0834636902933182,0.477956055459609,0.385173199919296,0.556737149396354,TRUE,FALSE
"48-59",10,-0.332365684419228,0.058686762534143,0.282775003113335,0.19534336252314,0.360706576941808,TRUE,FALSE
"48-59",20,-0.554187094381179,0.0917189562515727,0.425460882507484,0.312310561252225,0.519993795265847,TRUE,FALSE
"48-59",30,-0.609516560832836,0.0959168337544589,0.456386390329447,0.343950848431971,0.549552414003229,TRUE,FALSE
"48-59",40,-0.588175613717903,0.0955733111074818,0.444660485102777,0.330250772482386,0.539526192587998,TRUE,FALSE
