"age_band","records","observed_deaths","fitted_deaths","mean_observed_probability","mean_fitted_probability","brier_score","bernoulli_log_loss","smoothing_corrected_covariance_available","model_md5_verified"
"<1",1004586,28811,28814.1645873147,0.0286794759234152,0.0286826260641804,0.0278047695013373,0.12920673718174,TRUE,TRUE
"1-5",902005,11591,11591.5721982866,0.0128502613621876,0.0128508957248409,0.0126523094232352,0.0675263090726433,TRUE,TRUE
"6-11",863826,10734,10734.7830584525,0.0124261135923207,0.0124270200925331,0.0122191788693287,0.0648390034517268,TRUE,TRUE
"12-23",745491,10565,10566.9469806871,0.0141718679367021,0.0141744796123442,0.0138627042205633,0.0709893102852728,TRUE,TRUE
"24-35",741565,8705,8706.16064442271,0.0117386877751782,0.0117402529035533,0.0115097343540371,0.0604708486014596,TRUE,TRUE
"36-47",720126,5184,5184.27798450323,0.00719874022046142,0.00719912624249743,0.00712265934133318,0.041161117920525,TRUE,TRUE
"48-59",702518,3044,3044.0819079094,0.00433298506230445,0.0043331016542058,0.00430839132185226,0.0272434056118254,TRUE,TRUE
