"baseline","variable","year","records","missing_before","missing_after","missing_after_pct"
"previous_primary","log_hiv_incidence",2007,313228,0,0,0
"previous_primary","log_hiv_incidence",2010,382179,0,0,0
"previous_primary","log_hiv_incidence",2011,361765,0,0,0
"previous_primary","log_gdp_pc",2008,341736,0,0,0
"previous_primary","log_gdp_pc",2006,269037,0,0,0
"previous_primary","log_gdp_pc",2009,390467,0,0,0
"previous_primary","log_gdp_pc",2007,313228,0,0,0
"previous_primary","log_gdp_pc",2010,382179,0,0,0
"previous_primary","log_gdp_pc",2011,361765,0,0,0
"previous_primary","log_health_expenditure_pc",2008,341736,0,0,0
"previous_primary","log_health_expenditure_pc",2006,269037,0,0,0
"previous_primary","log_health_expenditure_pc",2009,390467,0,0,0
"previous_primary","log_health_expenditure_pc",2007,313228,0,0,0
"previous_primary","log_health_expenditure_pc",2010,382179,0,0,0
"previous_primary","log_health_expenditure_pc",2011,361765,0,0,0
"previous_primary","political_stability",2008,341736,0,0,0
"previous_primary","political_stability",2006,269037,0,0,0
"previous_primary","political_stability",2009,390467,0,0,0
"previous_primary","political_stability",2007,313228,0,0,0
"previous_primary","political_stability",2010,382179,0,0,0
"previous_primary","political_stability",2011,361765,0,0,0
"previous_primary","hib3_pct",2008,341736,142989,25923,7.58568017416953
"previous_primary","hib3_pct",2006,269037,127807,7950,2.95498388697465
"previous_primary","hib3_pct",2009,390467,59593,5240,1.34198280520505
"previous_primary","hib3_pct",2007,313228,130929,0,0
"previous_primary","hib3_pct",2010,382179,42557,0,0
"previous_primary","hib3_pct",2011,361765,39600,0,0
"previous_primary","pcv3_pct",2008,341736,341736,0,0
"previous_primary","pcv3_pct",2006,269037,269037,0,0
"previous_primary","pcv3_pct",2009,390467,390467,21602,5.53234972481669
"previous_primary","pcv3_pct",2007,313228,313228,0,0
"previous_primary","pcv3_pct",2010,382179,358644,0,0
"previous_primary","pcv3_pct",2011,361765,236130,23225,6.41991347974514
"previous_primary","rotavirus_pct",2008,341736,341736,0,0
"previous_primary","rotavirus_pct",2006,269037,269037,0,0
"previous_primary","rotavirus_pct",2009,390467,390467,0,0
"previous_primary","rotavirus_pct",2007,313228,313228,0,0
"previous_primary","rotavirus_pct",2010,382179,382179,0,0
"previous_primary","rotavirus_pct",2011,361765,360398,0,0
