"region","records","retained_records","children","retained_children","deaths","retained_deaths","vaccine_missing_records","baseline","survey","country"
"AGO:AO62FL:mesoendemicstable",11773,0,3362,0,174,0,2080,"previous_primary","AO62FL","AGO"
"AGO:AO62FL:hyperendemic",11128,0,3220,0,122,0,1965,"previous_primary","AO62FL","AGO"
"AGO:AO62FL:mesoendemicunstable",12127,0,3510,0,212,0,2085,"previous_primary","AO62FL","AGO"
"AGO:AO62FL:luanda",9153,0,2715,0,92,0,1820,"previous_primary","AO62FL","AGO"
"AGO:AO62FL:mesoendemicstable",11773,0,3362,0,174,0,2080,"eligible_MAP","AO62FL","AGO"
"AGO:AO62FL:hyperendemic",11128,0,3220,0,122,0,1965,"eligible_MAP","AO62FL","AGO"
"AGO:AO62FL:mesoendemicunstable",12127,0,3510,0,212,0,2085,"eligible_MAP","AO62FL","AGO"
"AGO:AO62FL:luanda",9153,0,2715,0,92,0,1820,"eligible_MAP","AO62FL","AGO"
"AGO:AO71FL:benguela",4829,4829,1459,1459,95,95,0,"previous_primary","AO71FL","AGO"
"AGO:AO71FL:lundasul",4901,4901,1448,1448,39,39,0,"previous_primary","AO71FL","AGO"
"AGO:AO71FL:luanda",7158,7158,2141,2141,49,49,0,"previous_primary","AO71FL","AGO"
"AGO:AO71FL:cuandocubango",3477,3477,1037,1037,37,37,0,"previous_primary","AO71FL","AGO"
"AGO:AO71FL:namibe",4128,4128,1257,1257,42,42,0,"previous_primary","AO71FL","AGO"
"AGO:AO71FL:cabinda",3191,3191,921,921,17,17,0,"previous_primary","AO71FL","AGO"
"AGO:AO71FL:cuanzasul",4155,4155,1204,1204,67,67,0,"previous_primary","AO71FL","AGO"
"AGO:AO71FL:malanje",4469,4469,1290,1290,39,39,0,"previous_primary","AO71FL","AGO"
"AGO:AO71FL:huila",4973,4973,1484,1484,83,83,0,"previous_primary","AO71FL","AGO"
"AGO:AO71FL:lundanorte",4181,4181,1244,1244,46,46,0,"previous_primary","AO71FL","AGO"
"AGO:AO71FL:huambo",5118,5118,1501,1501,65,65,0,"previous_primary","AO71FL","AGO"
"AGO:AO71FL:moxico",3033,3033,880,880,10,10,0,"previous_primary","AO71FL","AGO"
"AGO:AO71FL:zaire",4117,4117,1223,1223,28,28,0,"previous_primary","AO71FL","AGO"
"AGO:AO71FL:bie",4535,4535,1362,1362,65,65,0,"previous_primary","AO71FL","AGO"
"AGO:AO71FL:bengo",3306,3306,970,970,13,13,0,"previous_primary","AO71FL","AGO"
"AGO:AO71FL:cuanzanorte",3666,3666,1059,1059,29,29,0,"previous_primary","AO71FL","AGO"
"AGO:AO71FL:cunene",4453,4453,1338,1338,44,44,0,"previous_primary","AO71FL","AGO"
"AGO:AO71FL:uige",4707,4707,1357,1357,44,44,0,"previous_primary","AO71FL","AGO"
"AGO:AO71FL:benguela",4829,4829,1459,1459,95,95,0,"eligible_MAP","AO71FL","AGO"
"AGO:AO71FL:lundasul",4901,4901,1448,1448,39,39,0,"eligible_MAP","AO71FL","AGO"
"AGO:AO71FL:luanda",7158,7158,2141,2141,49,49,0,"eligible_MAP","AO71FL","AGO"
"AGO:AO71FL:cuandocubango",3477,3477,1037,1037,37,37,0,"eligible_MAP","AO71FL","AGO"
"AGO:AO71FL:namibe",4128,4128,1257,1257,42,42,0,"eligible_MAP","AO71FL","AGO"
"AGO:AO71FL:cabinda",3191,3191,921,921,17,17,0,"eligible_MAP","AO71FL","AGO"
"AGO:AO71FL:cuanzasul",4155,4155,1204,1204,67,67,0,"eligible_MAP","AO71FL","AGO"
"AGO:AO71FL:malanje",4469,4469,1290,1290,39,39,0,"eligible_MAP","AO71FL","AGO"
"AGO:AO71FL:huila",4973,4973,1484,1484,83,83,0,"eligible_MAP","AO71FL","AGO"
"AGO:AO71FL:lundanorte",4181,4181,1244,1244,46,46,0,"eligible_MAP","AO71FL","AGO"
"AGO:AO71FL:huambo",5118,5118,1501,1501,65,65,0,"eligible_MAP","AO71FL","AGO"
"AGO:AO71FL:moxico",3033,3033,880,880,10,10,0,"eligible_MAP","AO71FL","AGO"
"AGO:AO71FL:zaire",4117,4117,1223,1223,28,28,0,"eligible_MAP","AO71FL","AGO"
