"baseline","records","retained_records","retained_children","retained_deaths","regions","retained_regions","retained_surveys","retained_countries"
"previous_primary",5885022,4757437,1460659,61802,1015,805,80,34
"eligible_MAP",6357802,4819403,1479026,62418,1113,805,80,34
