"stage","variable","year","records","missing_records","missing_pct","period"
"after","any_required",2000,124558,124558,100,"2000–2004"
"after","any_required",2002,214849,214849,100,"2000–2004"
"after","any_required",2003,211264,211264,100,"2000–2004"
"after","any_required",2004,232180,232180,100,"2000–2004"
"after","any_required",2005,211756,211756,100,"2005–2009"
"after","any_required",2006,269037,269037,100,"2005–2009"
"after","any_required",2007,313228,313228,100,"2005–2009"
"after","any_required",2008,341736,341736,100,"2005–2009"
"after","any_required",2009,390467,390467,100,"2005–2009"
"after","any_required",2010,382179,382179,100,"2010–2014"
"after","any_required",2011,361765,360398,99.6221303885119,"2010–2014"
"after","any_required",2012,319085,273483,85.7085102715577,"2010–2014"
"after","any_required",2013,268926,210881,78.41599547831,"2010–2014"
"after","any_required",2014,282296,129794,45.9779805594128,"2010–2014"
"after","any_required",2015,257762,80010,31.0402619470674,"2015–2019"
"after","any_required",2016,228167,80476,35.2706570187626,"2015–2019"
"after","any_required",2017,252178,75441,29.9157737788388,"2015–2019"
"after","any_required",2018,214386,37224,17.3630740813299,"2015–2019"
"after","any_required",2019,273022,56854,20.8239629040883,"2015–2019"
"after","any_required",2020,274490,56988,20.7614120732996,"2020–2023"
"after","any_required",2021,222501,46914,21.0848490568582,"2020–2023"
"after","any_required",2022,163774,955,0.583120641860124,"2020–2023"
"after","any_required",2023,75416,135,0.179007107245147,"2020–2023"
"after","dtp3_pct",2000,124558,0,0,"2000–2004"
"after","dtp3_pct",2002,214849,0,0,"2000–2004"
"after","dtp3_pct",2003,211264,0,0,"2000–2004"
"after","dtp3_pct",2004,232180,0,0,"2000–2004"
"after","dtp3_pct",2005,211756,0,0,"2005–2009"
"after","dtp3_pct",2006,269037,0,0,"2005–2009"
"after","dtp3_pct",2007,313228,0,0,"2005–2009"
"after","dtp3_pct",2008,341736,0,0,"2005–2009"
"after","dtp3_pct",2009,390467,0,0,"2005–2009"
"after","dtp3_pct",2010,382179,0,0,"2010–2014"
"after","dtp3_pct",2011,361765,0,0,"2010–2014"
"after","dtp3_pct",2012,319085,0,0,"2010–2014"
"after","dtp3_pct",2013,268926,0,0,"2010–2014"
"after","dtp3_pct",2014,282296,0,0,"2010–2014"
"after","dtp3_pct",2015,257762,0,0,"2015–2019"
"after","dtp3_pct",2016,228167,0,0,"2015–2019"
"after","dtp3_pct",2017,252178,0,0,"2015–2019"
"after","dtp3_pct",2018,214386,0,0,"2015–2019"
"after","dtp3_pct",2019,273022,0,0,"2015–2019"
"after","dtp3_pct",2020,274490,0,0,"2020–2023"
"after","dtp3_pct",2021,222501,0,0,"2020–2023"
"after","dtp3_pct",2022,163774,0,0,"2020–2023"
"after","dtp3_pct",2023,75416,0,0,"2020–2023"
"after","electricity_pct",2000,124558,0,0,"2000–2004"
"after","electricity_pct",2002,214849,21944,10.2136849601348,"2000–2004"
"after","electricity_pct",2003,211264,22728,10.7581036049682,"2000–2004"
"after","electricity_pct",2004,232180,22818,9.82771987251271,"2000–2004"
"after","electricity_pct",2005,211756,21541,10.1725570940139,"2005–2009"
"after","electricity_pct",2006,269037,8331,3.09660009589759,"2005–2009"
"after","electricity_pct",2007,313228,4928,1.57329485231205,"2005–2009"
"after","electricity_pct",2008,341736,5867,1.71682234239296,"2005–2009"
"after","electricity_pct",2009,390467,6182,1.58323238583542,"2005–2009"
"after","electricity_pct",2010,382179,4745,1.24156481648652,"2010–2014"
"after","electricity_pct",2011,361765,2332,0.644617362099706,"2010–2014"
"after","electricity_pct",2012,319085,1506,0.471974552235298,"2010–2014"
"after","electricity_pct",2013,268926,226,0.0840379881454378,"2010–2014"
"after","electricity_pct",2014,282296,0,0,"2010–2014"
"after","electricity_pct",2015,257762,0,0,"2015–2019"
"after","electricity_pct",2016,228167,0,0,"2015–2019"
"after","electricity_pct",2017,252178,0,0,"2015–2019"
"after","electricity_pct",2018,214386,0,0,"2015–2019"
"after","electricity_pct",2019,273022,234,0.0857073788925435,"2015–2019"
"after","electricity_pct",2020,274490,253,0.0921709351888958,"2020–2023"
"after","electricity_pct",2021,222501,259,0.116403971218107,"2020–2023"
"after","electricity_pct",2022,163774,290,0.17707328391564,"2020–2023"
"after","electricity_pct",2023,75416,135,0.179007107245147,"2020–2023"
"after","exclusive_breastfeeding_pct",2000,124558,124558,100,"2000–2004"
"after","exclusive_breastfeeding_pct",2002,214849,173341,80.6803848284144,"2000–2004"
"after","exclusive_breastfeeding_pct",2003,211264,148279,70.1865911844895,"2000–2004"
"after","exclusive_breastfeeding_pct",2004,232180,115153,49.596433801361,"2000–2004"
"after","exclusive_breastfeeding_pct",2005,211756,69958,33.0370804133059,"2005–2009"
"after","exclusive_breastfeeding_pct",2006,269037,63889,23.7472912647703,"2005–2009"
"after","exclusive_breastfeeding_pct",2007,313228,59189,18.8964588095573,"2005–2009"
"after","exclusive_breastfeeding_pct",2008,341736,43174,12.6337289603671,"2005–2009"
"after","exclusive_breastfeeding_pct",2009,390467,32849,8.41274678782074,"2005–2009"
"after","exclusive_breastfeeding_pct",2010,382179,19922,5.21274062677437,"2010–2014"
