"baseline","survey","country","variable","source","records","imputed_records","missing_records"
"previous_primary","AO62FL","AGO","dtp3_pct","UNICEF_WUENIC_country_year",44181,44181,0
"previous_primary","AO62FL","AGO","measles_pct","UNICEF_WUENIC_country_year",44181,44181,0
"previous_primary","AO62FL","AGO","hib3_pct","retained_national_estimate",36231,0,0
"previous_primary","AO62FL","AGO","hib3_pct","unresolved_missing",7950,0,7950
"previous_primary","AO62FL","AGO","pcv3_pct","unresolved_missing",44181,0,44181
"previous_primary","AO62FL","AGO","rotavirus_pct","unresolved_missing",44181,0,44181
"eligible_MAP","AO62FL","AGO","dtp3_pct","UNICEF_WUENIC_country_year",44181,44181,0
"eligible_MAP","AO62FL","AGO","measles_pct","UNICEF_WUENIC_country_year",44181,44181,0
"eligible_MAP","AO62FL","AGO","hib3_pct","retained_national_estimate",36231,0,0
"eligible_MAP","AO62FL","AGO","hib3_pct","unresolved_missing",7950,0,7950
"eligible_MAP","AO62FL","AGO","pcv3_pct","unresolved_missing",44181,0,44181
"eligible_MAP","AO62FL","AGO","rotavirus_pct","unresolved_missing",44181,0,44181
"previous_primary","AO71FL","AGO","dtp3_pct","retained_regional_estimate",78397,0,0
"previous_primary","AO71FL","AGO","measles_pct","retained_regional_estimate",78397,0,0
"previous_primary","AO71FL","AGO","hib3_pct","retained_national_estimate",78397,0,0
"previous_primary","AO71FL","AGO","pcv3_pct","retained_national_estimate",43643,0,0
"previous_primary","AO71FL","AGO","pcv3_pct","unresolved_missing",34754,0,34754
"previous_primary","AO71FL","AGO","rotavirus_pct","unresolved_missing",52940,0,52940
"previous_primary","AO71FL","AGO","rotavirus_pct","retained_national_estimate",25457,0,0
"eligible_MAP","AO71FL","AGO","dtp3_pct","retained_regional_estimate",78397,0,0
"eligible_MAP","AO71FL","AGO","measles_pct","retained_regional_estimate",78397,0,0
"eligible_MAP","AO71FL","AGO","hib3_pct","retained_national_estimate",78397,0,0
"eligible_MAP","AO71FL","AGO","pcv3_pct","retained_national_estimate",43643,0,0
"eligible_MAP","AO71FL","AGO","pcv3_pct","unresolved_missing",34754,0,34754
"eligible_MAP","AO71FL","AGO","rotavirus_pct","unresolved_missing",52940,0,52940
"eligible_MAP","AO71FL","AGO","rotavirus_pct","retained_national_estimate",25457,0,0
"previous_primary","AO81FL","AGO","dtp3_pct","retained_regional_estimate",64704,0,0
"previous_primary","AO81FL","AGO","measles_pct","retained_regional_estimate",64704,0,0
"previous_primary","AO81FL","AGO","hib3_pct","retained_national_estimate",64704,0,0
"previous_primary","AO81FL","AGO","pcv3_pct","retained_national_estimate",64704,0,0
"previous_primary","AO81FL","AGO","rotavirus_pct","retained_national_estimate",64704,0,0
"eligible_MAP","AO81FL","AGO","dtp3_pct","retained_regional_estimate",64704,0,0
"eligible_MAP","AO81FL","AGO","measles_pct","retained_regional_estimate",64704,0,0
"eligible_MAP","AO81FL","AGO","hib3_pct","retained_national_estimate",64704,0,0
"eligible_MAP","AO81FL","AGO","pcv3_pct","retained_national_estimate",64704,0,0
"eligible_MAP","AO81FL","AGO","rotavirus_pct","retained_national_estimate",64704,0,0
"previous_primary","BU61FL","BDI","dtp3_pct","retained_regional_estimate",38597,0,0
"previous_primary","BU61FL","BDI","measles_pct","retained_regional_estimate",38597,0,0
"previous_primary","BU61FL","BDI","hib3_pct","retained_national_estimate",38597,0,0
"previous_primary","BU61FL","BDI","pcv3_pct","unresolved_missing",38597,0,38597
"previous_primary","BU61FL","BDI","rotavirus_pct","unresolved_missing",38597,0,38597
"eligible_MAP","BU61FL","BDI","dtp3_pct","retained_regional_estimate",38604,0,0
"eligible_MAP","BU61FL","BDI","measles_pct","retained_regional_estimate",38604,0,0
"eligible_MAP","BU61FL","BDI","hib3_pct","retained_national_estimate",38604,0,0
"eligible_MAP","BU61FL","BDI","pcv3_pct","unresolved_missing",38604,0,38604
"eligible_MAP","BU61FL","BDI","rotavirus_pct","unresolved_missing",38604,0,38604
"previous_primary","BU71FL","BDI","dtp3_pct","retained_regional_estimate",76022,0,0
"previous_primary","BU71FL","BDI","measles_pct","retained_regional_estimate",76022,0,0
"previous_primary","BU71FL","BDI","hib3_pct","retained_national_estimate",76022,0,0
"previous_primary","BU71FL","BDI","pcv3_pct","retained_national_estimate",76022,0,0
"previous_primary","BU71FL","BDI","rotavirus_pct","retained_national_estimate",40256,0,0
"previous_primary","BU71FL","BDI","rotavirus_pct","unresolved_missing",35766,0,35766
"eligible_MAP","BU71FL","BDI","dtp3_pct","retained_regional_estimate",76022,0,0
"eligible_MAP","BU71FL","BDI","measles_pct","retained_regional_estimate",76022,0,0
"eligible_MAP","BU71FL","BDI","hib3_pct","retained_national_estimate",76022,0,0
"eligible_MAP","BU71FL","BDI","pcv3_pct","retained_national_estimate",76022,0,0
"eligible_MAP","BU71FL","BDI","rotavirus_pct","retained_national_estimate",40256,0,0
"eligible_MAP","BU71FL","BDI","rotavirus_pct","unresolved_missing",35766,0,35766
"eligible_MAP","BJ41FL","BEN","dtp3_pct","retained_regional_estimate",1588,0,0
"eligible_MAP","BJ41FL","BEN","measles_pct","retained_regional_estimate",1588,0,0
"eligible_MAP","BJ41FL","BEN","hib3_pct","unresolved_missing",1588,0,1588
"eligible_MAP","BJ41FL","BEN","pcv3_pct","unresolved_missing",1588,0,1588
"eligible_MAP","BJ41FL","BEN","rotavirus_pct","unresolved_missing",1588,0,1588
"previous_primary","BJ51FL","BEN","dtp3_pct","retained_regional_estimate",83719,0,0
"previous_primary","BJ51FL","BEN","measles_pct","retained_regional_estimate",83719,0,0
"previous_primary","BJ51FL","BEN","hib3_pct","unresolved_missing",60446,0,60446
"previous_primary","BJ51FL","BEN","hib3_pct","retained_national_estimate",23273,0,0
"previous_primary","BJ51FL","BEN","pcv3_pct","unresolved_missing",83719,0,83719
"previous_primary","BJ51FL","BEN","rotavirus_pct","unresolved_missing",83719,0,83719
"eligible_MAP","BJ51FL","BEN","dtp3_pct","retained_regional_estimate",88834,0,0
"eligible_MAP","BJ51FL","BEN","measles_pct","retained_regional_estimate",88834,0,0
"eligible_MAP","BJ51FL","BEN","hib3_pct","unresolved_missing",65543,0,65543
"eligible_MAP","BJ51FL","BEN","hib3_pct","retained_national_estimate",23291,0,0
"eligible_MAP","BJ51FL","BEN","pcv3_pct","unresolved_missing",88834,0,88834
"eligible_MAP","BJ51FL","BEN","rotavirus_pct","unresolved_missing",88834,0,88834
"previous_primary","BJ61FL","BEN","dtp3_pct","retained_regional_estimate",78171,0,0
"previous_primary","BJ61FL","BEN","measles_pct","retained_regional_estimate",78171,0,0
"previous_primary","BJ61FL","BEN","hib3_pct","retained_national_estimate",78171,0,0
"previous_primary","BJ61FL","BEN","pcv3_pct","retained_national_estimate",7719,0,0
"previous_primary","BJ61FL","BEN","pcv3_pct","unresolved_missing",70452,0,70452
"previous_primary","BJ61FL","BEN","rotavirus_pct","unresolved_missing",78171,0,78171
"eligible_MAP","BJ61FL","BEN","dtp3_pct","retained_regional_estimate",78171,0,0
"eligible_MAP","BJ61FL","BEN","measles_pct","retained_regional_estimate",78171,0,0
"eligible_MAP","BJ61FL","BEN","hib3_pct","retained_national_estimate",78171,0,0
"eligible_MAP","BJ61FL","BEN","pcv3_pct","retained_national_estimate",7719,0,0
"eligible_MAP","BJ61FL","BEN","pcv3_pct","unresolved_missing",70452,0,70452
"eligible_MAP","BJ61FL","BEN","rotavirus_pct","unresolved_missing",78171,0,78171
"previous_primary","BJ71FL","BEN","dtp3_pct","retained_regional_estimate",74813,0,0
"previous_primary","BJ71FL","BEN","measles_pct","retained_regional_estimate",74813,0,0
"previous_primary","BJ71FL","BEN","hib3_pct","retained_national_estimate",74813,0,0
"previous_primary","BJ71FL","BEN","pcv3_pct","retained_national_estimate",74813,0,0
"previous_primary","BJ71FL","BEN","rotavirus_pct","unresolved_missing",74813,0,74813
"eligible_MAP","BJ71FL","BEN","dtp3_pct","retained_regional_estimate",74813,0,0
