"baseline","records","children","deaths","regions","surveys","countries","retained_records","retained_children","retained_deaths","retained_regions","lost_regions","partially_reduced_regions","retained_surveys","retained_countries","lost_regions_pct","missing_records_pct"
"previous_primary",5885022,1817912,82415,1015,105,34,1784215,598338,17822,419,596,217,41,24,58.7192118226601,69.6821014432911
"eligible_MAP",6357802,1932325,90938,1113,120,36,1784353,598386,17822,419,694,252,41,24,62.3539982030548,71.9344358317544
"regional_baseline",5948359,1836702,83057,1015,105,34,1784353,598386,17822,419,596,217,41,24,58.7192118226601,70.0026007172735
