"survey","country","region","records","children","deaths","complete_case_records","complete_case_children","complete_case_deaths","baseline"
"AO71FL","AGO","AGO:AO71FL:cuanzanorte",3666,1059,29,1161,726,11,"regional_baseline"
"AO71FL","AGO","AGO:AO71FL:cunene",4453,1338,44,1507,940,13,"regional_baseline"
"AO71FL","AGO","AGO:AO71FL:uige",4707,1357,44,1426,947,16,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:moxico",3147,908,15,3147,908,15,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:uige",3962,1175,36,3962,1175,36,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:cabinda",2790,845,21,2790,845,21,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:bie",4118,1215,36,4118,1215,36,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:cunene",4289,1267,42,4289,1267,42,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:northcuanza",2843,835,28,2843,835,28,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:huambo",4731,1386,72,4731,1386,72,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:northlunda",3905,1140,21,3905,1140,21,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:luanda",3641,1068,22,3641,1068,22,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:benguela",4228,1258,65,4228,1258,65,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:bengo",2907,884,6,2907,884,6,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:malanje",3620,1064,4,3620,1064,4,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:huila",3686,1077,19,3686,1077,19,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:southcuanza",4710,1383,45,4710,1383,45,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:cuandocubango",2954,883,36,2954,883,36,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:zaire",1938,571,5,1938,571,5,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:southlunda",3360,984,11,3360,984,11,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:namibe",3875,1116,14,3875,1116,14,"previous_primary"
"AO81FL","AGO","AGO:AO81FL:moxico",3147,908,15,3147,908,15,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:uige",3962,1175,36,3962,1175,36,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:cabinda",2790,845,21,2790,845,21,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:bie",4118,1215,36,4118,1215,36,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:cunene",4289,1267,42,4289,1267,42,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:northcuanza",2843,835,28,2843,835,28,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:huambo",4731,1386,72,4731,1386,72,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:northlunda",3905,1140,21,3905,1140,21,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:luanda",3641,1068,22,3641,1068,22,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:benguela",4228,1258,65,4228,1258,65,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:bengo",2907,884,6,2907,884,6,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:malanje",3620,1064,4,3620,1064,4,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:huila",3686,1077,19,3686,1077,19,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:southcuanza",4710,1383,45,4710,1383,45,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:cuandocubango",2954,883,36,2954,883,36,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:zaire",1938,571,5,1938,571,5,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:southlunda",3360,984,11,3360,984,11,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:namibe",3875,1116,14,3875,1116,14,"eligible_MAP"
"AO81FL","AGO","AGO:AO81FL:moxico",3147,908,15,3147,908,15,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:uige",3962,1175,36,3962,1175,36,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:cabinda",2790,845,21,2790,845,21,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:bie",4118,1215,36,4118,1215,36,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:cunene",4289,1267,42,4289,1267,42,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:northcuanza",2843,835,28,2843,835,28,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:huambo",4731,1386,72,4731,1386,72,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:northlunda",3905,1140,21,3905,1140,21,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:luanda",3641,1068,22,3641,1068,22,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:benguela",4228,1258,65,4228,1258,65,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:bengo",2907,884,6,2907,884,6,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:malanje",3620,1064,4,3620,1064,4,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:huila",3686,1077,19,3686,1077,19,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:southcuanza",4710,1383,45,4710,1383,45,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:cuandocubango",2954,883,36,2954,883,36,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:zaire",1938,571,5,1938,571,5,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:southlunda",3360,984,11,3360,984,11,"regional_baseline"
"AO81FL","AGO","AGO:AO81FL:namibe",3875,1116,14,3875,1116,14,"regional_baseline"
"BU61FL","BDI","BDI:BU61FL:west",8079,2375,120,0,0,0,"previous_primary"
"BU61FL","BDI","BDI:BU61FL:south",9298,2758,112,0,0,0,"previous_primary"
"BU61FL","BDI","BDI:BU61FL:centraleast",11887,3467,146,0,0,0,"previous_primary"
"BU61FL","BDI","BDI:BU61FL:north",9333,2778,172,0,0,0,"previous_primary"
"BU61FL","BDI","BDI:BU61FL:west",8079,2375,120,0,0,0,"eligible_MAP"
"BU61FL","BDI","BDI:BU61FL:south",9298,2758,112,0,0,0,"eligible_MAP"
"BU61FL","BDI","BDI:BU61FL:centraleast",11894,3469,146,0,0,0,"eligible_MAP"
"BU61FL","BDI","BDI:BU61FL:north",9333,2778,172,0,0,0,"eligible_MAP"
"BU61FL","BDI","BDI:BU61FL:west",8079,2375,120,0,0,0,"regional_baseline"
"BU61FL","BDI","BDI:BU61FL:south",9298,2758,112,0,0,0,"regional_baseline"
"BU61FL","BDI","BDI:BU61FL:centraleast",11894,3469,146,0,0,0,"regional_baseline"
"BU61FL","BDI","BDI:BU61FL:north",9333,2778,172,0,0,0,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:cankuzo",4071,1222,59,2180,947,31,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:karusi",4704,1368,42,2478,1060,23,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:ruyigi",4381,1323,44,2346,1032,23,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:bujumburamairie",3141,941,27,1718,748,19,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:rutana",3981,1187,43,2086,915,21,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:gitega",4542,1386,73,2466,1072,38,"previous_primary"
"BU71FL","BDI","BDI:BU71FL:ngozi",4253,1274,60,2269,996,36,"previous_primary"
