"stage","variable","period","records","missing_records","missing_pct"
"after","any_required","2000–2004",782851,782851,100
"after","any_required","2005–2009",1526224,1526224,100
"after","any_required","2010–2014",1614251,1356735,84.047338363117
"after","any_required","2015–2019",1225515,330005,26.9278629800533
"after","any_required","2020–2023",736181,104992,14.2617100957509
"after","dtp3_pct","2000–2004",782851,0,0
"after","dtp3_pct","2005–2009",1526224,0,0
"after","dtp3_pct","2010–2014",1614251,0,0
"after","dtp3_pct","2015–2019",1225515,0,0
"after","dtp3_pct","2020–2023",736181,0,0
"after","electricity_pct","2000–2004",782851,67490,8.62105304840896
"after","electricity_pct","2005–2009",1526224,46849,3.06960184088312
"after","electricity_pct","2010–2014",1614251,8809,0.545702000494347
"after","electricity_pct","2015–2019",1225515,234,0.019094013537166
"after","electricity_pct","2020–2023",736181,937,0.127278481786408
"after","exclusive_breastfeeding_pct","2000–2004",782851,561331,71.7034275998881
"after","exclusive_breastfeeding_pct","2005–2009",1526224,269059,17.6290636236883
"after","exclusive_breastfeeding_pct","2010–2014",1614251,22574,1.3984194527369
"after","exclusive_breastfeeding_pct","2015–2019",1225515,41424,3.38012998616908
"after","exclusive_breastfeeding_pct","2020–2023",736181,25615,3.47944323474798
"after","facility_delivery_pct","2000–2004",782851,27913,3.56555717499243
"after","facility_delivery_pct","2005–2009",1526224,163166,10.6908291312415
"after","facility_delivery_pct","2010–2014",1614251,14747,0.913550618831892
"after","facility_delivery_pct","2015–2019",1225515,234,0.019094013537166
"after","facility_delivery_pct","2020–2023",736181,937,0.127278481786408
"after","hib3_pct","2000–2004",782851,646050,82.5252825888962
"after","hib3_pct","2005–2009",1526224,564214,36.9679680046966
"after","hib3_pct","2010–2014",1614251,82157,5.08948112778
"after","hib3_pct","2015–2019",1225515,0,0
"after","hib3_pct","2020–2023",736181,0,0
"after","improved_sanitation_pct","2000–2004",782851,7044,0.899788082278748
"after","improved_sanitation_pct","2005–2009",1526224,23576,1.54472737946723
"after","improved_sanitation_pct","2010–2014",1614251,8809,0.545702000494347
"after","improved_sanitation_pct","2015–2019",1225515,234,0.019094013537166
"after","improved_sanitation_pct","2020–2023",736181,937,0.127278481786408
"after","improved_water_pct","2000–2004",782851,7044,0.899788082278748
"after","improved_water_pct","2005–2009",1526224,23576,1.54472737946723
"after","improved_water_pct","2010–2014",1614251,8809,0.545702000494347
"after","improved_water_pct","2015–2019",1225515,234,0.019094013537166
"after","improved_water_pct","2020–2023",736181,937,0.127278481786408
"after","log_gdp_pc","2000–2004",782851,0,0
"after","log_gdp_pc","2005–2009",1526224,0,0
"after","log_gdp_pc","2010–2014",1614251,0,0
"after","log_gdp_pc","2015–2019",1225515,0,0
"after","log_gdp_pc","2020–2023",736181,0,0
"after","log_health_expenditure_pc","2000–2004",782851,0,0
"after","log_health_expenditure_pc","2005–2009",1526224,0,0
"after","log_health_expenditure_pc","2010–2014",1614251,0,0
"after","log_health_expenditure_pc","2015–2019",1225515,0,0
"after","log_health_expenditure_pc","2020–2023",736181,0,0
"after","log_hiv_incidence","2000–2004",782851,0,0
"after","log_hiv_incidence","2005–2009",1526224,0,0
"after","log_hiv_incidence","2010–2014",1614251,0,0
"after","log_hiv_incidence","2015–2019",1225515,0,0
"after","log_hiv_incidence","2020–2023",736181,0,0
"after","male_pct","2000–2004",782851,0,0
"after","male_pct","2005–2009",1526224,0,0
"after","male_pct","2010–2014",1614251,0,0
"after","male_pct","2015–2019",1225515,0,0
"after","male_pct","2020–2023",736181,0,0
"after","mean_birth_order","2000–2004",782851,0,0
"after","mean_birth_order","2005–2009",1526224,0,0
"after","mean_birth_order","2010–2014",1614251,0,0
"after","mean_birth_order","2015–2019",1225515,0,0
"after","mean_birth_order","2020–2023",736181,0,0
"after","mean_maternal_age_birth","2000–2004",782851,0,0
"after","mean_maternal_age_birth","2005–2009",1526224,0,0
"after","mean_maternal_age_birth","2010–2014",1614251,0,0
"after","mean_maternal_age_birth","2015–2019",1225515,0,0
"after","mean_maternal_age_birth","2020–2023",736181,0,0
"after","mean_maternal_education_years","2000–2004",782851,0,0
"after","mean_maternal_education_years","2005–2009",1526224,0,0
"after","mean_maternal_education_years","2010–2014",1614251,0,0
"after","mean_maternal_education_years","2015–2019",1225515,0,0
"after","mean_maternal_education_years","2020–2023",736181,0,0
"after","mean_wealth_quintile","2000–2004",782851,0,0
