"imputation","age_band","converged","iterations","elapsed_seconds"
1,"<1",TRUE,3,44.109
1,"1-5",TRUE,4,50.805
1,"6-11",TRUE,4,48.692
1,"12-23",TRUE,4,36.155
1,"24-35",TRUE,3,29.101
1,"36-47",TRUE,3,27.817
1,"48-59",TRUE,3,26.295
2,"<1",TRUE,3,41.972
2,"1-5",TRUE,3,38.526
2,"6-11",TRUE,3,34.988
2,"12-23",TRUE,3,28.381
2,"24-35",TRUE,3,30.788
2,"36-47",TRUE,3,27.43
2,"48-59",TRUE,3,27.883
3,"<1",TRUE,3,42.52
3,"1-5",TRUE,3,38.634
3,"6-11",TRUE,3,34.382
3,"12-23",TRUE,3,28.097
3,"24-35",TRUE,3,28.3430000000001
3,"36-47",TRUE,3,26.948
3,"48-59",TRUE,3,26.6610000000001
4,"<1",TRUE,3,41.631
4,"1-5",TRUE,3,42.851
4,"6-11",TRUE,3,36.606
4,"12-23",TRUE,3,28.3839999999999
4,"24-35",TRUE,3,29.154
4,"36-47",TRUE,3,26.751
4,"48-59",TRUE,3,26.98
5,"<1",TRUE,3,42.48
5,"1-5",TRUE,4,50.1969999999999
5,"6-11",TRUE,4,45.221
5,"12-23",TRUE,4,37.3040000000001
5,"24-35",TRUE,3,28.075
5,"36-47",TRUE,3,26.594
5,"48-59",TRUE,3,26.1049999999998
6,"<1",TRUE,3,41.364
6,"1-5",TRUE,4,48.239
6,"6-11",TRUE,4,44.405
6,"12-23",TRUE,4,35.358
6,"24-35",TRUE,4,35.867
6,"36-47",TRUE,3,27.4839999999999
6,"48-59",TRUE,3,25.9100000000001
7,"<1",TRUE,3,40.8399999999999
7,"1-5",TRUE,3,36.451
7,"6-11",TRUE,4,42.7679999999998
7,"12-23",TRUE,3,27.3419999999999
7,"24-35",TRUE,3,27.5060000000001
7,"36-47",TRUE,3,26.45
7,"48-59",TRUE,3,25.4760000000001
8,"<1",TRUE,4,51.0070000000001
8,"1-5",TRUE,4,49.5
8,"6-11",TRUE,4,46.5320000000002
8,"12-23",TRUE,4,36.1570000000002
8,"24-35",TRUE,4,35.7669999999998
8,"36-47",TRUE,4,34.527
8,"48-59",TRUE,4,32.527
9,"<1",TRUE,3,42.6529999999998
9,"1-5",TRUE,3,38.5990000000002
9,"6-11",TRUE,4,44.4930000000004
9,"12-23",TRUE,3,31.268
9,"24-35",TRUE,3,33.2929999999997
9,"36-47",TRUE,3,30.5259999999998
9,"48-59",TRUE,3,27.3990000000003
10,"<1",TRUE,3,41.6199999999999
10,"1-5",TRUE,3,40.4919999999997
10,"6-11",TRUE,3,36.4670000000001
10,"12-23",TRUE,3,28.5419999999999
10,"24-35",TRUE,3,28.047
10,"36-47",TRUE,3,26.7070000000003
10,"48-59",TRUE,3,25.9769999999999
