"iso3","year","political_stability","gdp_pc","health_expenditure_pc","log_gdp_pc","log_health_expenditure_pc","political_stability_source","log_health_expenditure_pc_source"
"ZMB",2000,0.0286969,359.429500988221,14.80953312,5.88451805497691,2.69527110313729,"wgi_observed","ghed_observed"
"ZWE",2000,-1.3514121,562.833757496076,25.0731522407018,6.33298430477774,3.22179764182879,"wgi_observed","gam_within_series_model"
"AGO",2001,-2.1306715,533.586202412447,29.26095772,6.27962063671921,3.37625412643021,"wgi_2001_interpolated","ghed_observed"
"BDI",2001,-2.4822377,132.159554541932,7.50815582,4.88400993917023,2.01598987237145,"wgi_2001_interpolated","ghed_observed"
"BEN",2001,0.61781275,492.401499509072,16.26979828,6.19929443961247,2.78931052287505,"wgi_2001_interpolated","ghed_observed"
"BFA",2001,-0.06031795,259.485223380436,10.27519512,5.55869975832737,2.32973274998302,"wgi_2001_interpolated","ghed_observed"
"CIV",2001,-1.7865441,924.727294962066,30.58369255,6.82949887778834,3.42046694370168,"wgi_2001_interpolated","ghed_observed"
"CMR",2001,-0.69695465,715.470296470585,29.82297325,6.572940083768,3.39527901093899,"wgi_2001_interpolated","ghed_observed"
"COD",2001,-2.4054469,142.678142604412,5.4341011,4.96059134249463,1.69269411591022,"wgi_2001_interpolated","ghed_observed"
"COG",2001,-1.76579869999999,854.598314408095,20.30390549,6.75063155083271,3.01081325621337,"wgi_2001_interpolated","ghed_observed"
"COM",2001,-0.3724007,681.163857619963,45.34629059,6.52380289045196,3.8143283780669,"wgi_2001_interpolated","ghed_observed"
"ETH",2001,-1.40654595,118.457204255261,5.50955105,4.77455174982121,1.70648314071636,"wgi_2001_interpolated","ghed_observed"
"GAB",2001,0.2249034,3835.75718279727,120.90242767,8.25212213441622,4.7949838374026,"wgi_2001_interpolated","ghed_observed"
"GHA",2001,-0.3559926,263.542156494853,12.15051079,5.57421334188264,2.49737120923211,"wgi_2001_interpolated","ghed_observed"
"GIN",2001,-1.92201134999999,483.085120214741,21.76875114,6.18019287045414,3.08047550750082,"wgi_2001_interpolated","ghed_observed"
"GMB",2001,0.3965255,459.803068381399,55.65046692,6.13079828560259,4.01909046798285,"wgi_2001_interpolated","ghed_observed"
"KEN",2001,-1.29027875,410.700452474814,22.11487579,6.01786412267803,3.09625049475466,"wgi_2001_interpolated","ghed_observed"
"LBR",2001,-1.90254564999999,300.463828598983,6.46313238,5.70532737601127,1.86611408881894,"wgi_2001_interpolated","ghed_observed"
"MDG",2001,-0.0952672999999995,319.283278235657,13.13894939,5.76607872827627,2.57558105476095,"wgi_2001_interpolated","ghed_observed"
"MLI",2001,-0.00685525000000001,346.224554248587,13.15901566,5.84708756526629,2.57710712522733,"wgi_2001_interpolated","ghed_observed"
