"survey","country","variable","regions_imputed"
"BJ41FL","BEN","mean_wealth_quintile",5
"ET41FL","ETH","mean_wealth_quintile",11
"GA41FL","GAB","mean_wealth_quintile",5
"ML41FL","MLI","mean_wealth_quintile",6
"MW41FL","MWI","mean_wealth_quintile",3
"NM41FL","NAM","mean_wealth_quintile",11
"RW41FL","RWA","mean_wealth_quintile",12
"UG41FL","UGA","mean_wealth_quintile",4
"ZM42FL","ZMB","mean_wealth_quintile",9
"AO62FL","AGO","facility_delivery_pct",4
"LB5AFL","LBR","facility_delivery_pct",6
"NG61FL","NGA","facility_delivery_pct",6
"SN5AFL","SEN","facility_delivery_pct",11
"UG5AFL","UGA","facility_delivery_pct",9
"BJ51FL","BEN","electricity_pct",12
"AO62FL","AGO","wasting_pct",4
"BJ61FL","BEN","wasting_pct",12
"GH4BFL","GHA","wasting_pct",10
"LB5AFL","LBR","wasting_pct",6
"MD51FL","MDG","wasting_pct",22
"NG61FL","NGA","wasting_pct",6
"RW5AFL","RWA","wasting_pct",5
"SN5AFL","SEN","wasting_pct",11
"TD41FL","TCD","wasting_pct",8
"UG5AFL","UGA","wasting_pct",9
"AO62FL","AGO","stunting_pct",4
"BJ61FL","BEN","stunting_pct",12
"GH4BFL","GHA","stunting_pct",10
"LB5AFL","LBR","stunting_pct",6
"NG61FL","NGA","stunting_pct",6
"RW5AFL","RWA","stunting_pct",5
"SN5AFL","SEN","stunting_pct",11
"TD41FL","TCD","stunting_pct",8
"UG5AFL","UGA","stunting_pct",9
