"iso3","year","age_band","allcause_deaths","age_person_years","pfpr_pct","map_population_coverage","population_weight_year","log_hr_zero_vs_current","attributable_fraction","attributable_deaths","zero_below_observed_support","current_outside_observed_support"
"AGO",2004,"<1",25636.9028913177,63399.3488647692,20.3357243060436,0.998084957706995,2020,-0.0401377829155769,0.0393429320984009,1008.63092966641,TRUE,FALSE
"AGO",2005,"<1",25724.5129425046,65823.7910576055,20.1035553415068,0.998084957706995,2020,-0.0395500786104253,0.0387781838675926,997.549892788708,TRUE,FALSE
"AGO",2006,"<1",26019.8630899995,68180.167225679,17.7577417027276,0.998084957706995,2020,-0.0338347177285555,0.0332687250254549,865.647670341178,TRUE,FALSE
"AGO",2007,"<1",25780.8482464545,70505.1924016574,15.3360225930226,0.998084957706995,2020,-0.0283610332332001,0.0279626343493928,720.900432732792,TRUE,FALSE
"AGO",2008,"<1",25639.1943626311,72819.1689141094,12.8976230688025,0.998084957706995,2020,-0.0232309357912642,0.0229631750543331,588.757308401167,TRUE,FALSE
"AGO",2009,"<1",25603.7182804337,75007.9744558164,11.1637191997621,0.998084957706995,2020,-0.0197823617054139,0.0195879747096919,501.524986151212,TRUE,FALSE
"AGO",2010,"<1",25434.7539980618,77088.3450693502,10.4617271702512,0.998084957706995,2020,-0.0184274475907441,0.0182587002954569,464.405550339284,TRUE,FALSE
"AGO",2011,"<1",25229.1219303498,79077.2789267663,10.0235342172417,0.998084957706995,2020,-0.0175927482277092,0.0174388993618678,439.968118331661,TRUE,FALSE
"AGO",2012,"<1",24879.217739063,80929.3021363014,9.8199125673824,0.998084957706995,2020,-0.0172076451068002,0.0170604391471007,424.450380264752,TRUE,FALSE
"AGO",2013,"<1",24552.1711114092,82648.7689661626,10.4030425380616,0.998084957706995,2020,-0.0183151801714042,0.0181484765461276,445.58450157192,TRUE,FALSE
"AGO",2014,"<1",24210.851154559,84232.9145808725,11.000124970552,0.998084957706995,2020,-0.0194645992594127,0.0192763870836454,466.697738479802,TRUE,FALSE
"AGO",2015,"<1",23967.7145856338,85687.5596199016,12.001303326479,0.998084957706995,2020,-0.0214293047347563,0.0212013285450262,508.147391403438,TRUE,FALSE
"AGO",2016,"<1",23750.2846723615,87014.2608796129,13.6840755866274,0.998084957706995,2020,-0.0248474435516048,0.0245412868054035,582.862547854401,TRUE,FALSE
"AGO",2017,"<1",23447.5755773785,88285.4567716543,16.8580638526648,0.998084957706995,2020,-0.0317533680844862,0.0312545238290337,732.842809616245,TRUE,FALSE
"AGO",2018,"<1",23203.4247041937,89525.0635552481,19.2935144960402,0.998084957706995,2020,-0.0375286928798741,0.0368332187044151,854.656816820994,TRUE,FALSE
"AGO",2019,"<1",22988.1049842149,90712.7661394205,21.5657352716929,0.998084957706995,2020,-0.0433039917619747,0.0423797628479655,974.230437555162,TRUE,FALSE
