"year","path","rows","columns","readable"
2004,"data/map_annual/pfpr2_10_2004.tif",1752,1680,TRUE
2005,"data/map_annual/pfpr2_10_2005.tif",1752,1680,TRUE
2006,"data/map_annual/pfpr2_10_2006.tif",1752,1680,TRUE
2007,"data/map_annual/pfpr2_10_2007.tif",1752,1680,TRUE
2008,"data/map_annual/pfpr2_10_2008.tif",1752,1680,TRUE
2009,"data/map_annual/pfpr2_10_2009.tif",1752,1680,TRUE
2010,"data/map_annual/pfpr2_10_2010.tif",1752,1680,TRUE
2011,"data/map_annual/pfpr2_10_2011.tif",1752,1680,TRUE
2012,"data/map_annual/pfpr2_10_2012.tif",1752,1680,TRUE
2013,"data/map_annual/pfpr2_10_2013.tif",1752,1680,TRUE
2014,"data/map_annual/pfpr2_10_2014.tif",1752,1680,TRUE
2015,"data/map_annual/pfpr2_10_2015.tif",1752,1680,TRUE
2016,"data/map_annual/pfpr2_10_2016.tif",1752,1680,TRUE
2017,"data/map_annual/pfpr2_10_2017.tif",1752,1680,TRUE
2018,"data/map_annual/pfpr2_10_2018.tif",1752,1680,TRUE
2019,"data/map_annual/pfpr2_10_2019.tif",1752,1680,TRUE
2020,"data/map_annual/pfpr2_10_2020.tif",1752,1680,TRUE
2021,"data/map_annual/pfpr2_10_2021.tif",1752,1680,TRUE
2022,"data/map_annual/pfpr2_10_2022.tif",1752,1680,TRUE
2023,"data/map_annual/pfpr2_10_2023.tif",1752,1680,TRUE
2024,"data/pfpr_2to10_africa_2024.tif",1752,1680,TRUE
