"iso3","year","pfpr_pct","map_population_coverage","population_weight_year"
"GHA",2004,35.8364008862692,0.999730304961018,2020
"MLI",2004,40.1703750260736,0.977670801796849,2020
"MRT",2004,4.34509549098018,0.840119682930452,2020
"DJI",2004,0.111362123041197,0.900748542924068,2020
"ERI",2004,0.173807413047971,0.951453885431987,2020
"GAB",2004,18.5383655511451,0.999284909726468,2020
"MWI",2004,32.1740194516999,0.999764978481837,2020
"SOM",2004,8.01620500718716,0.983183349547194,2020
"TGO",2004,53.9313593098302,1,2020
"GNQ",2004,32.1115488373956,0.967788791016353,2020
"LBR",2004,42.772760861038,0.999979141849584,2020
"CMR",2004,49.4104663984683,0.994188327616715,2020
"COD",2004,64.0760888038314,0.967925701459564,2020
"NAM",2004,8.33396035063022,0.611389973186959,2020
"RWA",2004,8.05426575382622,0.814603360177058,2020
"SWZ",2004,4.40370331713418,0.0274046526925583,2020
"TCD",2004,16.9740166508979,0.941951498070144,2020
"CAF",2004,56.4977241161672,1,2020
"COG",2004,34.351489063406,0.999999884856155,2020
"GMB",2004,8.79310906868158,0.99989435444155,2020
"SEN",2004,5.59409538072747,0.99558981120801,2020
"BDI",2004,36.9847803772394,0.903118502531811,2020
"GIN",2004,43.4663180949877,0.996935005435981,2020
"NGA",2004,44.6131319539733,0.999968748812492,2020
"GNB",2004,7.54539166270079,0.996068689009789,2020
"CIV",2004,69.7312228745312,0.999044906250652,2020
"ETH",2004,13.9077135369295,0.827728262514435,2020
"UGA",2004,45.217850493203,0.972005626882908,2020
"MOZ",2004,46.8981121100949,0.999790945132115,2020
"SLE",2004,42.1891360846866,0.99816935916103,2020
"ZWE",2004,4.60550742476433,0.993374399109765,2020
"BWA",2004,0.140934783944168,0.500006041684288,2020
"BEN",2004,51.8262775530269,1,2020
"BFA",2004,56.6198288829396,1,2020
"SSD",2004,36.2914219071696,0.998944588913762,2020
"TZA",2004,23.086846210336,0.982661834291151,2020
"ZMB",2004,25.2667299722172,0.999994981989078,2020
"AGO",2004,20.3357243060436,0.998084957706995,2020
"KEN",2004,17.7101137962136,0.822215895130027,2020
"COM",2004,2.82205455388444,0.977875023773357,2020
"MDG",2004,16.1894824439516,0.965066759112986,2020
"NER",2004,25.4914747169798,0.952363358910006,2020
"GHA",2005,33.4717058296969,0.999730304961018,2020
"MLI",2005,38.5111391906618,0.977670801796849,2020
"MRT",2005,4.08661106779518,0.840119682930452,2020
"DJI",2005,0.180218583070353,0.900748542924068,2020
"ERI",2005,0.264051516629705,0.951453885431987,2020
"GAB",2005,13.5729851145187,0.999284909726468,2020
"MWI",2005,32.2108258478265,0.999764978481837,2020
"SOM",2005,9.00565355096317,0.983183349547194,2020
"TGO",2005,54.7789048030301,1,2020
"GNQ",2005,33.9046533846217,0.967788791016353,2020
"LBR",2005,42.3245620053839,0.999979141849584,2020
"CMR",2005,48.6084683420969,0.994188327616715,2020
"COD",2005,64.5181086884157,0.967925701459564,2020
"NAM",2005,4.5353951282014,0.611389973186959,2020
"RWA",2005,4.897431879853,0.814603360177058,2020
"SWZ",2005,2.77619052188256,0.0274046526925583,2020
"TCD",2005,17.2544300153994,0.941951498070144,2020
"CAF",2005,57.137610295232,1,2020
