"iso3","state","key","year","series","exposure_source","pfpr_pct","under5_person_years","ihme_under5_deaths","attributable_under5_deaths","counterfactual_under5_deaths","attributable_fraction","ihme_malaria_rate_per100000","ihme_malaria_rate_lower","ihme_malaria_rate_upper","ihme_malaria_deaths","any_current_pfpr_outside_central95","any_zero_below_observed_support","any_negative_attributable_band","model_over_ihme_malaria","attributable_rate_per100000","ihme_malaria_share_of_allcause"
"NGA","Kano","kano",2024,"map_full","MAP",19.8247401504606,3593026.62912006,91760.724895018,25293.7930186864,66466.9318763315,0.275649446401221,507.94406870474,106.29855207716,1043.28519786539,18250.5656495972,FALSE,TRUE,FALSE,1.38591830545508,703.968982965232,0.198892997744704
"NGA","Sokoto","sokoto",2024,"map_full","MAP",24.272861693209,1532397.94717589,50749.3691645726,15196.7959149833,35552.5732495894,0.299447976697057,445.75860584484,88.92401439585,1119.1849157723,6830.79572532621,FALSE,TRUE,FALSE,2.22474752957973,991.700357142213,0.134598633200247
"NGA","Katsina","katsina",2024,"map_full","MAP",25.7481666264205,2270344.13885969,44457.555070286,13590.7652827412,30866.7897875448,0.305702040097676,345.32110341821,65.90130305057,758.23895793995,7839.97743170093,FALSE,TRUE,FALSE,1.73352097007154,598.621374183711,0.1763474716346
"NGA","Kaduna","kaduna",2024,"map_full","MAP",25.5483663968691,2107655.2021146,41097.4202639489,11850.1302176475,29247.2900463014,0.288342434672051,315.79638559624,87.18073444533,676.88469697084,6655.89894910905,FALSE,TRUE,FALSE,1.78039515146692,562.242353766325,0.161954178786927
"NGA","Jigawa","jigawa",2024,"map_full","MAP",23.3264526626528,1285322.36610755,37810.9844096222,11087.3591623816,26723.6252472407,0.29323116907689,436.14981697683,123.81306694526,1029.35928633261,5605.93114734033,FALSE,TRUE,FALSE,1.97779082028895,862.61310428748,0.148261972939105
"NGA","Taraba","taraba",2024,"map_full","MAP",28.548499802928,1652544.92069155,36844.0031363872,10296.010261212,26547.9928751752,0.279448740222357,322.40624043314,94.07402922137,624.10414968105,5327.90795027044,FALSE,TRUE,FALSE,1.93246774480955,623.039660362355,0.144607195112536
"NGA","Bauchi","bauchi",2024,"map_full","MAP",24.5498471220122,1494707.50769066,33384.1805494766,9309.94415427953,24074.2363951971,0.278872927268107,319.8601787145,79.38336981599,678.69640484943,4780.97410535839,FALSE,TRUE,FALSE,1.94729022770594,622.860600243021,0.143210767095894
"NGA","Kebbi","kebbi",2024,"map_full","MAP",29.8830654643758,1039720.21648957,27829.6941537331,8747.63344201542,19082.0607117177,0.31432732942349,394.01517470245,106.77045140461,782.90583653634,4096.65542741808,FALSE,TRUE,FALSE,2.13531101089667,841.344941002516,0.147204471769897
"NGA","Niger","niger",2024,"map_full","MAP",30.0785876837372,2305796.51511208,30818.3408033832,8405.90406740524,22412.436735978,0.272756541990166,237.46564025957,77.5032899031,433.11347916417,5475.47445769374,FALSE,TRUE,FALSE,1.53519190571584,364.55532881212,0.177669346076303
"NGA","Plateau","plateau",2024,"map_full","MAP",19.8314319765802,2111570.75883411,34126.8199600167,7362.72335782982,26764.0966021869,0.215745954837165,276.24243799941,73.90728537325,566.09250581104,5833.054544286,FALSE,TRUE,FALSE,1.26224147261614,348.684661739448,0.170922885610791
