"measure","previous","revised","change"
"Child-band records",7498459,7607122,108663
"Children",2292089,2325130,33041
"Deaths",102282,103987,1705
"Survey-regions",1211,1227,16
"Surveys",132,135,3
"Countries",36,37,1
