"age_band","records","observed_deaths","fitted_deaths","mean_observed_probability","mean_fitted_probability","brier_score","bernoulli_log_loss","smoothing_corrected_covariance_available","model_md5_verified"
"<1",1341316,38245,38251.845746103,0.028513042415061,0.0285181461684767,0.0276370765558342,0.128410841313394,TRUE,TRUE
"1-5",1206366,15873,15873.9785155832,0.0131576984099353,0.0131585095365641,0.0129506595096794,0.0688523464459838,TRUE,TRUE
"6-11",1160005,14384,14385.1863228609,0.0123999465519545,0.0124009692396681,0.0121992883624133,0.0648884620293489,TRUE,TRUE
"12-23",1003279,13389,13391.7685950942,0.0133452409549089,0.0133480005014502,0.0130735774807281,0.0677378875389838,TRUE,TRUE
"24-35",994653,11488,11489.619312452,0.0115497565482636,0.0115513845657239,0.011337611733626,0.0600166967567708,TRUE,TRUE
"36-47",963051,6732,6732.32645591939,0.0069902840036509,0.00699062298457797,0.0069207324472794,0.0403068568147152,TRUE,TRUE
"48-59",938452,3876,3876.09310654957,0.0041302059135683,0.00413030512647383,0.00410833454494936,0.0262237135815692,TRUE,TRUE
