"stage","started_at","finished_at","elapsed_seconds","exit_status"
"effects","2026-09-24 14:46:35.816269","2026-09-24 14:46:36.595606",0.779464960098267,0
"diagnostics","2026-09-24 14:46:36.597039","2026-09-24 14:46:51.218368",14.6215589046478,0
"comparison","2026-09-24 14:46:51.220455","2026-09-24 14:46:52.774851",1.55456209182739,0
"report","2026-09-24 14:46:52.775695","2026-09-24 14:46:55.030391",2.25481986999512,0
"flow","2026-09-24 14:46:55.031299","2026-09-24 14:46:56.181462",1.15048384666443,0
"survey_map","2026-09-24 14:46:56.182586","2026-09-24 14:47:52.753529",56.5711050033569,0
"age_fractions","2026-09-24 14:47:52.75515","2026-09-24 14:47:53.894938",1.13989996910095,0
"annual_burden","2026-09-24 14:47:53.895818","2026-09-24 14:48:08.645892",14.7502388954163,0
"annual_plot","2026-09-24 14:48:08.648343","2026-09-24 14:48:09.419671",0.771459817886353,0
"nigeria_burden","2026-09-24 14:48:09.420614","2026-09-24 14:48:10.055798",0.635334014892578,0
"nigeria_plot","2026-09-24 14:48:10.056747","2026-09-24 14:48:10.968982",0.912353992462158,0
"burden_figure","2026-09-24 14:48:10.969873","2026-09-24 14:48:12.790058",1.82034993171692,0
"burden_tables","2026-09-24 14:48:12.791119","2026-09-24 14:48:13.006101",0.215104818344116,0
"source_table","2026-09-24 14:48:13.007165","2026-09-24 14:48:13.217488",0.210443019866943,0
"u5_probability","2026-09-24 14:48:13.218628","2026-09-24 14:48:14.393879",1.1754469871521,0
"paper_manifest","2026-09-24 14:48:14.395057","2026-09-24 14:48:14.599598",0.204658031463623,0
"index","2026-09-24 14:48:14.600941","2026-09-24 14:48:14.778009",0.177226066589355,0
"validation","2026-09-24 14:48:14.779159","2026-09-24 14:48:17.074398",2.2953519821167,0
