"group","records","observed_deaths","fitted_deaths","age_band","grouping","observed_probability","fitted_probability","residual_deaths"
"AGO",25690,497,519.413120283085,"<1","country",0.0193460490463215,0.0202184943667997,-22.413120283085
"BDI",20272,491,496.62581630715,"<1","country",0.0242205998421468,0.0244981164318839,-5.62581630714988
"BEN",39662,1148,1142.75536849197,"<1","country",0.0289445817154959,0.0288123485576112,5.24463150802512
"BFA",33233,825,832.942541894172,"<1","country",0.0248247224144675,0.0250637180481501,-7.94254189417154
"CIV",27393,954,933.722125931423,"<1","country",0.0348264155076114,0.034086157994065,20.2778740685767
"CMR",33135,998,999.399061560968,"<1","country",0.0301192092953071,0.0301614323694271,-1.39906156096799
"COD",73549,1766,1774.93446246304,"<1","country",0.0240112034154101,0.0241326797436136,-8.93446246303552
"COG",22486,501,512.959090344196,"<1","country",0.0222805301076225,0.0228123761604641,-11.9590903441963
"COM",7568,152,159.593377949822,"<1","country",0.0200845665961945,0.021087919919374,-7.5933779498223
"ETH",47348,1511,1497.79383143415,"<1","country",0.0319126467855031,0.0316337296492809,13.2061685658489
"GAB",12482,254,263.708711514325,"<1","country",0.0203493029963147,0.0211271199739084,-9.70871151432482
"GHA",34601,891,884.764511716203,"<1","country",0.0257507008467963,0.0255704896308258,6.2354882837974
"GIN",27737,871,867.26051095407,"<1","country",0.0314020982802754,0.0312672787595656,3.73948904592964
"GMB",26541,757,749.723765705121,"<1","country",0.0285219094985117,0.0282477587771795,7.2762342948788
"KEN",57990,1358,1362.91629623404,"<1","country",0.0234178306604587,0.0235026090055879,-4.91629623404083
"LBR",19167,622,617.649492825929,"<1","country",0.0324516095372254,0.0322246305016919,4.35050717407137
"MDG",28716,678,689.826976495782,"<1","country",0.0236105307145842,0.0240223908795021,-11.8269764957815
"MLI",66076,2150,2143.31114207163,"<1","country",0.0325382892426902,0.03243705947805,6.68885792836636
"MOZ",38922,1196,1195.79706200486,"<1","country",0.0307281229124916,0.0307229089462223,0.202937995136836
"MRT",30029,877,868.42379830219,"<1","country",0.0292051017349895,0.0289195044224646,8.57620169780967
"MWI",114715,3212,3222.65711043954,"<1","country",0.0279998256548838,0.028092726412758,-10.6571104395384
"NAM",9056,193,195.307416925645,"<1","country",0.0213118374558304,0.0215666317276551,-2.30741692564482
"NER",20604,521,537.691157677492,"<1","country",0.0252863521646282,0.0260964452376962,-16.6911576774921
"NGA",154273,5916,5887.48021591382,"<1","country",0.0383476045711174,0.038162738884405,28.5197840861847
"RWA",32324,822,821.074638584062,"<1","country",0.0254300210370004,0.0254013933481024,0.925361415937687
"SEN",89047,2312,2309.3152172859,"<1","country",0.0259638168607589,0.0259336666848508,2.68478271409504
"SLE",39408,1154,1150.29780662713,"<1","country",0.0292833942346732,0.0291894490110416,3.70219337287381
"SWZ",7055,135,146.46686486797,"<1","country",0.0191353649893692,0.0207607179118313,-11.4668648679697
"TCD",40904,1193,1192.39224078074,"<1","country",0.0291658517504401,0.0291509935649506,0.607759219262334
"TGO",11236,286,283.283736643092,"<1","country",0.0254538981844073,0.0252121517126283,2.71626335690809
"TZA",35824,963,965.685595605699,"<1","country",0.0268814202769093,0.0269563866571488,-2.68559560569929
"UGA",28630,744,757.522334266749,"<1","country",0.0259867272092211,0.026459040665971,-13.5223342667485
"ZAF",2612,61,56.3561583098419,"<1","country",0.023353751914242,0.0215758645902917,4.64384169015814
"ZMB",38154,940,945.762229627629,"<1","country",0.024636997431462,0.0247880230022443,-5.76222962762881
"ZWE",20948,609,593.432007487644,"<1","country",0.0290719877792629,0.0283288145640464,15.5679925123561
"CAF",8906,248,246.535883865999,"<1","country",0.0278463956883,0.0276819990866831,1.4641161340007
"GNB",15023,439,427.064066724057,"<1","country",0.0292218598149504,0.0284273491795285,11.9359332759428
"AO71FL",14290,312,315.537627157197,"<1","survey",0.0218334499650105,0.0220810095981244,-3.53762715719699
"AO81FL",11400,185,203.875493125881,"<1","survey",0.0162280701754386,0.0178838151864808,-18.8754931258809
"BU61FL",7088,205,199.291533084957,"<1","survey",0.0289221218961625,0.0281167512817378,5.70846691504255
"BU71FL",13184,286,297.334283222193,"<1","survey",0.0216929611650485,0.0225526610453726,-11.3342832221927
"BJ71FL",13516,394,394.012542870314,"<1","survey",0.0291506362829239,0.0291515642845749,-0.0125428703138368
"BF43FL",5786,162,163.058659779987,"<1","survey",0.0279986173522295,0.0281815865502916,-1.05865977998744
"BF62FL",15127,427,423.414317380093,"<1","survey",0.028227672373901,0.0279906337925625,3.58568261990655
"BF81FL",12320,236,246.46956473411,"<1","survey",0.0191558441558442,0.0200056464881583,-10.4695647341098
"CI62FL",7319,286,278.070922330292,"<1","survey",0.0390763765541741,0.0379930212228846,7.92907766970785
"CI81FL",10648,324,321.501423025936,"<1","survey",0.0304282494365139,0.0301935972037881,2.49857697406412
"CM44FL",5844,157,175.49067217747,"<1","survey",0.0268651608487337,0.0300292046847142,-18.49067217747
"CM61FL",11831,361,361.70922501492,"<1","survey",0.0305130589130251,0.030573005241731,-0.709225014919639
"CM71FL",8042,271,251.245958143695,"<1","survey",0.0336980850534693,0.0312417257079949,19.754041856305
"CD51FL",9043,340,316.443812262283,"<1","survey",0.0375981422094438,0.0349932336903995,23.5561877377172
"CD61FL",18750,522,518.115935478579,"<1","survey",0.02784,0.0276328498921909,3.88406452142056
"CD81FL",24202,594,585.12788894244,"<1","survey",0.024543426163127,0.024176840300076,8.87211105756
