"age_band","pfpr_pct","reference_pct","attributable_fraction","lower_95","upper_95","zero_below_observed_support","current_outside_observed_support"
"<1",10,0,0.0279679534496197,-0.00227666012061767,0.0572999081838197,TRUE,FALSE
"<1",20,0,0.0575756933451878,0.00789834312411208,0.104765557422194,TRUE,FALSE
"<1",30,0,0.0879724489411888,0.0316504719046535,0.141018578770422,TRUE,FALSE
"<1",50,0,0.115617443592133,0.0539201960691235,0.173291192953466,TRUE,FALSE
"1-5",10,0,0.0763693335824921,0.0363745394599116,0.114704163722789,TRUE,FALSE
"1-5",20,0,0.138337006977487,0.0746385417687279,0.197650705094576,TRUE,FALSE
"1-5",30,0,0.182104966565022,0.110874960568705,0.247628560606636,TRUE,FALSE
"1-5",50,0,0.22723585131685,0.151579597248332,0.296145604757712,TRUE,FALSE
"6-11",10,0,0.184022725773485,0.134013503020076,0.231144002387871,TRUE,FALSE
"6-11",20,0,0.311449809453652,0.241621932928103,0.374848264359858,TRUE,FALSE
"6-11",30,0,0.385581074671036,0.316831265313778,0.447412335144714,TRUE,FALSE
"6-11",50,0,0.450704274667072,0.385936821494671,0.508640471484631,TRUE,FALSE
"12-23",10,0,0.299918130014975,0.242003275641213,0.353407991180526,TRUE,FALSE
"12-23",20,0,0.466606492602809,0.395435908687747,0.529398722448219,TRUE,FALSE
"12-23",30,0,0.535467655873489,0.470257859625958,0.592650306076641,TRUE,FALSE
"12-23",50,0,0.564748765671887,0.501213926138605,0.620190604926975,TRUE,FALSE
"24-35",10,0,0.356235605525441,0.299156728070555,0.40866579991237,TRUE,FALSE
"24-35",20,0,0.529701442433485,0.462964599688072,0.58814496563788,TRUE,FALSE
"24-35",30,0,0.583728905522278,0.522782098069441,0.636892028994136,TRUE,FALSE
"24-35",50,0,0.600973513691771,0.541002123313594,0.653109208423912,TRUE,FALSE
"36-47",10,0,0.287414956126281,0.220072679149535,0.348942611474608,TRUE,FALSE
"36-47",20,0,0.448045844571044,0.363809149601959,0.521128935594277,TRUE,FALSE
"36-47",30,0,0.512371158830393,0.434253455116585,0.579702449991252,TRUE,FALSE
"36-47",50,0,0.532033985090442,0.455171948401009,0.598052650799417,TRUE,FALSE
"48-59",10,0,0.278659111253418,0.199922852971784,0.349646868792069,TRUE,FALSE
"48-59",20,0,0.426077672796454,0.325340181242449,0.511773447143583,TRUE,FALSE
"48-59",30,0,0.469924125674365,0.373077948262643,0.551809620090058,TRUE,FALSE
"48-59",50,0,0.469717858265638,0.371055560633785,0.552903035241483,TRUE,FALSE
