"variable","mean","sd"
"mean_maternal_age_first_birth",19.2822629463713,1.17887586517804
"mean_maternal_education_years",4.24403718010082,2.5995795506511
"mean_wealth_quintile",2.78622388905969,0.714431882823488
"urban_pct",29.4081463487752,24.5261445498779
"dtp3_pct",71.0867586551563,23.2532181683655
"measles_pct",71.5830452257105,19.9193277345961
"facility_delivery_pct",61.1559629796286,26.2167433690227
"short_birth_interval_pct",19.1247601431793,7.17009394036726
"improved_water_pct",69.068652238543,19.9191040079013
"improved_sanitation_pct",43.7198647135125,25.0222443126913
"electricity_pct",31.8870621703307,26.0834048770438
"wasting_pct",7.84288843001854,5.22911856466996
"stunting_pct",34.6441235539904,12.018079722043
"log_hiv_incidence",0.0225259141668211,1.18897974514142
"log_gdp_pc",6.84121672001741,0.741027368574544
"log_health_expenditure_pc",3.69970464593681,0.691636974317441
"political_stability",-0.831873726494509,0.767295384343352
