"age_band","rows","deaths","share_of_observed_under5_deaths_pct","pfpr_edf","hr_40_to_20","hr_40_to_20_lower_95","hr_40_to_20_upper_95","hr_20_to_zero","hr_20_to_zero_lower_95","hr_20_to_zero_upper_95"
"<1",1341316,38245,36.7786357910123,2.32518919531407,0.94491187869414,0.917019318498876,0.973652834226942,0.942424306654812,0.895234442577806,0.992101656875888
"1-5",1206366,15873,15.2644080510064,2.28110980583336,0.916001257118668,0.879772529156007,0.953721871547767,0.861662993022513,0.802349294905424,0.925361458231272
"6-11",1160005,14384,13.8324982930559,2.97255400848818,0.832519230756597,0.791487139290899,0.875678498327212,0.688550190546348,0.625151735640142,0.758378067071897
"12-23",1003279,13389,12.8756479175282,3.50928294072954,0.828028958225927,0.777265068327299,0.882108284032649,0.533393507397191,0.470601277551781,0.604564091312252
"24-35",994653,11488,11.0475347880023,3.65736248746501,0.861177782699165,0.806231511196585,0.919868751239888,0.470298557566515,0.41185503436212,0.537035400311929
"36-47",963051,6732,6.47388615884678,3.32589154883178,0.849893461861167,0.789786798083524,0.914574538681981,0.551954155428956,0.478871064405723,0.636190850398041
"48-59",938452,3876,3.72738900054815,3.19930225560279,0.919475491994151,0.840359739101455,1.00603960546927,0.573922327203546,0.488226552856417,0.67465981875755
