"iso3","year","country","pfpr_pct","q5_allcause","q5_no_malaria","q5_no_malaria_lower","q5_no_malaria_upper","q5_attributable","q5_attributable_lower","q5_attributable_upper","share_attributable","any_zero_below_support","igme_u5mr"
"SLE",2005,"Sierra Leone",40.7926668056115,0.179505106685291,0.118337944852936,0.113861498714108,0.123137198841712,0.0611671618323543,0.0563679078435783,0.0656436079711822,0.340754438477301,TRUE,90.5
"NER",2005,"Niger",26.7916282649868,0.179101526956719,0.115498422160708,0.111292909938374,0.120201141921701,0.063603104796011,0.0589003850350177,0.0678086170183448,0.355123185585018,TRUE,110.7
"SOM",2005,"Somalia",9.00565355096317,0.162681833278456,0.136366296070601,0.13373803189635,0.139150245475779,0.0263155372078547,0.0235315878026765,0.0289438013821056,0.161760761343348,TRUE,101.1
"TCD",2005,"Chad",17.2544300153994,0.157006189797826,0.115561516596038,0.112027597543059,0.119297611637935,0.0414446732017886,0.0377085781598911,0.0449785922547673,0.263968403125737,TRUE,97.3
"NGA",2005,"Nigeria",44.911076588637,0.147123459518379,0.0928421940756905,0.0895119162167486,0.0966848812593368,0.0542812654426881,0.0504385782590418,0.05761154330163,0.368950442168655,TRUE,115.6
"CAF",2005,"Central African Republic",57.137610295232,0.145960040872965,0.0956922373871588,0.0919619770492876,0.0998815439484165,0.0502678034858059,0.0460784969245483,0.0539980638236772,0.344394282059404,TRUE,89.7
"MLI",2005,"Mali",38.5111391906618,0.140829499629065,0.0912891988685846,0.0880138779736425,0.0949330263759565,0.0495403007604802,0.0458964732531083,0.0528156216554223,0.351775025054878,TRUE,73
"LBR",2005,"Liberia",42.3245620053839,0.137024663667434,0.0916143121089571,0.0882209009246256,0.0951965515348891,0.0454103515584772,0.0418281121325451,0.0488037627428086,0.331402758766775,TRUE,86.4
"BFA",2005,"Burkina Faso",53.1839944402602,0.135342707107058,0.0838672174436574,0.0805656758620614,0.0875468907327431,0.0514754896634009,0.0477958163743152,0.0547770312449969,0.380334417448019,TRUE,74.9
"GNB",2005,"Guinea-Bissau",5.47134440577292,0.134938678758754,0.12242061257459,0.121026175323826,0.123870883737992,0.0125180661841644,0.0110677950207621,0.0139125034349277,0.0927685545709574,TRUE,67.3
"GIN",2005,"Guinea",42.9604000479577,0.12918184722665,0.0839557762428181,0.0808425116959661,0.087358078971943,0.0452260709838317,0.0418237682547068,0.0483393355306837,0.350096178021688,TRUE,92.1
"BDI",2005,"Burundi",32.7108667147613,0.128423670134735,0.0858964372429476,0.0828091467613154,0.0892162022316729,0.0425272328917873,0.039207467903062,0.0456145233734195,0.331147932831776,TRUE,47.1
"COD",2005,"Democratic Republic of the Congo",64.5181086884157,0.120962682465186,0.0767894206065536,0.0735879910717406,0.0803467761357959,0.0441732618586324,0.0406159063293901,0.0473746913934453,0.365180905039418,TRUE,89.7
"CMR",2005,"Cameroon",48.6084683420969,0.120290051453017,0.0759690787601405,0.0731858915151921,0.0791985314189742,0.0443209726928761,0.0410915200340424,0.0471041599378245,0.368450858217375,TRUE,64.8
"AGO",2005,"Angola",20.1035553415068,0.116242736028935,0.083629141835611,0.0809497661873392,0.0865995779689096,0.0326135941933237,0.0296431580600251,0.0352929698415955,0.280564578118719,TRUE,49
"MOZ",2005,"Mozambique",44.2928156950409,0.11255520919144,0.0752092185707836,0.0724024877325199,0.0781387715262024,0.0373459906206565,0.0344164376652377,0.0401527214589202,0.33180153001303,TRUE,59.4
"CIV",2005,"Cote d'Ivoire",62.0559536355424,0.111817083736974,0.074839922833363,0.0717673200346653,0.0781721386054337,0.0369771609036113,0.0336449451315405,0.040049763702309,0.330693304348664,TRUE,64.5
"SSD",2005,"South Sudan",35.4180105817913,0.10987434263113,0.0738817765788245,0.0710831055735635,0.0769049009026967,0.0359925660523054,0.0329694417284332,0.0387912370575664,0.327579352835263,TRUE,96.7
"MWI",2005,"Malawi",32.2108258478265,0.109582813750657,0.0730294675637421,0.0703821193228822,0.0759076579792305,0.0365533461869151,0.0336751557714267,0.039200694427775,0.33356823881241,TRUE,48.8
"RWA",2005,"Rwanda",4.897431879853,0.106899606147346,0.0972183489172535,0.0961526109995307,0.0983563739104552,0.00968125723009258,0.00854323223689084,0.0107469951478153,0.0905640121512546,TRUE,37.7
"ETH",2005,"Ethiopia",10.282958677834,0.105969968516567,0.0908260374105317,0.089046140363672,0.0927011143519598,0.0151439311060356,0.0132688541646075,0.0169238281528953,0.142907762623974,TRUE,44.5
"ZMB",2005,"Zambia",20.8670520447216,0.105787536866089,0.0757594571944237,0.0732394748639187,0.0784969921295489,0.0300280796716656,0.0272905447365403,0.0325480620021706,0.283852716125497,TRUE,48.4
"UGA",2005,"Uganda",41.7907617391782,0.10364322090544,0.0673761452034675,0.064878212380988,0.070061244911608,0.0362670757019729,0.0335819759938323,0.0387650085244524,0.349922314118947,TRUE,48.7
"BEN",2005,"Benin",56.789331963267,0.102949304503859,0.0659714364939959,0.0633088540549458,0.0689444126501513,0.036977868009863,0.0340048918537076,0.0396404504489131,0.359185214393332,TRUE,74.7
"TGO",2005,"Togo",54.7789048030301,0.102633478456897,0.065814550440135,0.0632575368927225,0.0686789846958558,0.0368189280167618,0.033954493761041,0.0393759415641743,0.358741889784284,TRUE,56.1
"SWZ",2005,"Swaziland",2.77619052188256,0.0925270299797166,0.0883947380022782,0.0878301931327442,0.0889363376831392,0.00413229197743843,0.00359069229657739,0.00469683684697242,0.0446603763067321,TRUE,45.1
"SEN",2005,"Senegal",5.44994687087531,0.0887964317808159,0.0803906879782836,0.0794426515443744,0.0813709628889376,0.00840574380253233,0.00742546889187834,0.00935378023644147,0.0946630808688458,TRUE,36.5
"TZA",2005,"Tanzania",21.5102815877522,0.0887958224372083,0.0651917803807798,0.0630261085660272,0.0675388826663359,0.0236040420564285,0.0212569397708724,0.0257697138711812,0.265823790000031,TRUE,37
"GNQ",2005,"Equatorial Guinea",33.9046533846217,0.0868306812753978,0.0603313849913175,0.0581656417354269,0.0627115299771315,0.0264992962840802,0.0241191512982662,0.0286650395399709,0.305183558332721,TRUE,68
"MDG",2005,"Madagascar",16.612555436176,0.0828519552629673,0.0638660447150553,0.0620529670255307,0.0658771824404804,0.018985910547912,0.0169747728224868,0.0207989882374366,0.229154646835452,TRUE,62.4
"GMB",2005,"The Gambia",6.80021050223797,0.0826705192090568,0.0738882584540527,0.0728403951921411,0.0749631375815261,0.00878226075500406,0.00770738162753068,0.0098301240169157,0.106232074493152,TRUE,42.4
"COG",2005,"Congo",32.8294542135053,0.0792349632682486,0.0538460637997298,0.0518552020839107,0.0559149687482968,0.0253888994685188,0.0233199945199518,0.0273797611843379,0.320425458929855,TRUE,39.1
"ERI",2005,"Eritrea",0.264051516629705,0.0785708726146034,0.0781136562594104,0.0780627243299343,0.078168061917847,0.000457216355192969,0.00040281069675635,0.00050814828466901,0.00581915842319396,TRUE,34.3
"GHA",2005,"Ghana",33.4717058296969,0.0784756412566899,0.0547510826048032,0.0527384336206637,0.05696216245119,0.0237245586518867,0.0215134788054999,0.0257372076360262,0.302317486954772,TRUE,35.9
"DJI",2005,"Djibouti",0.180218583070353,0.0717595282695654,0.0715833813346507,0.0715560401117001,0.0716103399690978,0.000176146934914648,0.00014918830046752,0.000203488157865264,0.00245468356833325,TRUE,48.9
"MRT",2005,"Mauritania",4.08661106779518,0.0676290372784967,0.0637214937005323,0.0631636333040389,0.0642961890196414,0.00390754357796444,0.00333284825885531,0.00446540397445776,0.0577790803360568,TRUE,36.9
"ZWE",2005,"Zimbabwe",4.09485353977597,0.0673514894864269,0.0627990650810894,0.0622454719686022,0.0633519467513689,0.0045524244053375,0.003999542735058,0.00510601751782475,0.0675920375340019,TRUE,64.7
"KEN",2005,"Kenya",12.1603957572431,0.0634856448052948,0.0525393988037395,0.0513201306988833,0.0538128326959281,0.0109462460015553,0.00967281210936669,0.0121655141064114,0.172420805287975,TRUE,38.8
"COM",2005,"Comoros",1.49344288730066,0.0634216520772257,0.0620213801704431,0.0618211487361391,0.0622258866361875,0.00140027190678267,0.0011957654410382,0.0016005033410866,0.0220787674385653,TRUE,39
"NAM",2005,"Namibia",4.5353951282014,0.061551058417403,0.0571075694818748,0.056535905348289,0.0576804848293655,0.00444348893552824,0.00387057358803752,0.00501515306911406,0.0721919175685837,TRUE,39.5
