"country","year","variable","records","missing_records","pre_series_records","no_series_records","countries","surveys","missing_pct"
"BDI",2010,"rotavirus_pct",2187,2187,2187,0,1,1,100
"BDI",2007,"rotavirus_pct",8699,8699,8699,0,1,1,100
"BDI",2014,"hib3_pct",17018,0,0,0,1,1,0
"BDI",2012,"hib3_pct",17194,0,0,0,1,1,0
"BDI",2016,"hib3_pct",6043,0,0,0,1,1,0
"BDI",2013,"hib3_pct",17143,0,0,0,1,1,0
"BDI",2015,"hib3_pct",17158,0,0,0,1,1,0
"BDI",2011,"hib3_pct",1429,0,0,0,1,1,0
"BDI",2017,"hib3_pct",37,0,0,0,1,1,0
"BDI",2014,"pcv3_pct",17018,0,0,0,1,1,0
"BDI",2012,"pcv3_pct",17194,0,0,0,1,1,0
"BDI",2016,"pcv3_pct",6043,0,0,0,1,1,0
"BDI",2013,"pcv3_pct",17143,0,0,0,1,1,0
"BDI",2015,"pcv3_pct",17158,0,0,0,1,1,0
"BDI",2011,"pcv3_pct",1429,0,0,0,1,1,0
"BDI",2017,"pcv3_pct",37,0,0,0,1,1,0
"BDI",2014,"rotavirus_pct",17018,0,0,0,1,1,0
"BDI",2012,"rotavirus_pct",17194,17194,17194,0,1,1,100
"BDI",2016,"rotavirus_pct",6043,0,0,0,1,1,0
"BDI",2013,"rotavirus_pct",17143,17143,17143,0,1,1,100
"BDI",2015,"rotavirus_pct",17158,0,0,0,1,1,0
"BDI",2011,"rotavirus_pct",1429,1429,1429,0,1,1,100
"BDI",2017,"rotavirus_pct",37,0,0,0,1,1,0
"BEN",2004,"hib3_pct",20344,20344,20344,0,1,1,100
"BEN",2002,"hib3_pct",19651,19651,19651,0,1,1,100
"BEN",2003,"hib3_pct",20451,20451,20451,0,1,1,100
"BEN",2006,"hib3_pct",4740,0,0,0,1,1,0
"BEN",2005,"hib3_pct",18533,0,0,0,1,1,0
"BEN",2004,"pcv3_pct",20344,20344,20344,0,1,1,100
"BEN",2002,"pcv3_pct",19651,19651,19651,0,1,1,100
"BEN",2003,"pcv3_pct",20451,20451,20451,0,1,1,100
"BEN",2006,"pcv3_pct",4740,4740,4740,0,1,1,100
"BEN",2005,"pcv3_pct",18533,18533,18533,0,1,1,100
"BEN",2004,"rotavirus_pct",20344,20344,20344,0,1,1,100
"BEN",2002,"rotavirus_pct",19651,19651,19651,0,1,1,100
"BEN",2003,"rotavirus_pct",20451,20451,20451,0,1,1,100
"BEN",2006,"rotavirus_pct",4740,4740,4740,0,1,1,100
"BEN",2005,"rotavirus_pct",18533,18533,18533,0,1,1,100
"BEN",2011,"hib3_pct",7591,0,0,0,1,1,0
"BEN",2009,"hib3_pct",17987,0,0,0,1,1,0
"BEN",2007,"hib3_pct",16615,0,0,0,1,1,0
"BEN",2008,"hib3_pct",18381,0,0,0,1,1,0
"BEN",2010,"hib3_pct",17469,0,0,0,1,1,0
"BEN",2012,"hib3_pct",947,0,0,0,1,2,0
"BEN",2011,"pcv3_pct",7591,0,0,0,1,1,0
"BEN",2009,"pcv3_pct",17987,17987,17987,0,1,1,100
"BEN",2007,"pcv3_pct",16615,16615,16615,0,1,1,100
"BEN",2008,"pcv3_pct",18381,18381,18381,0,1,1,100
"BEN",2010,"pcv3_pct",17469,17469,17469,0,1,1,100
"BEN",2012,"pcv3_pct",947,0,0,0,1,2,0
"BEN",2011,"rotavirus_pct",7591,7591,7591,0,1,1,100
"BEN",2009,"rotavirus_pct",17987,17987,17987,0,1,1,100
"BEN",2007,"rotavirus_pct",16615,16615,16615,0,1,1,100
"BEN",2008,"rotavirus_pct",18381,18381,18381,0,1,1,100
"BEN",2010,"rotavirus_pct",17469,17469,17469,0,1,1,100
"BEN",2012,"rotavirus_pct",947,947,947,0,1,2,100
"BEN",2013,"hib3_pct",16249,0,0,0,1,1,0
"BEN",2016,"hib3_pct",17296,0,0,0,1,1,0
"BEN",2014,"hib3_pct",17005,0,0,0,1,1,0
"BEN",2015,"hib3_pct",16880,0,0,0,1,1,0
"BEN",2017,"hib3_pct",6517,0,0,0,1,1,0
"BEN",2018,"hib3_pct",47,0,0,0,1,1,0
"BEN",2013,"pcv3_pct",16249,0,0,0,1,1,0
"BEN",2016,"pcv3_pct",17296,0,0,0,1,1,0
"BEN",2014,"pcv3_pct",17005,0,0,0,1,1,0
"BEN",2015,"pcv3_pct",16880,0,0,0,1,1,0
"BEN",2017,"pcv3_pct",6517,0,0,0,1,1,0
"BEN",2018,"pcv3_pct",47,0,0,0,1,1,0
"BEN",2013,"rotavirus_pct",16249,16249,16249,0,1,1,100
"BEN",2016,"rotavirus_pct",17296,17296,17296,0,1,1,100
"BEN",2014,"rotavirus_pct",17005,17005,17005,0,1,1,100
"BEN",2015,"rotavirus_pct",16880,16880,16880,0,1,1,100
"BEN",2017,"rotavirus_pct",6517,6517,6517,0,1,1,100
"BEN",2018,"rotavirus_pct",47,47,47,0,1,1,100
"BFA",2003,"hib3_pct",2697,2697,2697,0,1,1,100
"BFA",2000,"hib3_pct",13804,13804,13804,0,1,1,100
"BFA",2002,"hib3_pct",11392,11392,11392,0,1,1,100
"BFA",2003,"pcv3_pct",2697,2697,2697,0,1,1,100
"BFA",2000,"pcv3_pct",13804,13804,13804,0,1,1,100
"BFA",2002,"pcv3_pct",11392,11392,11392,0,1,1,100
"BFA",2003,"rotavirus_pct",2697,2697,2697,0,1,1,100
"BFA",2000,"rotavirus_pct",13804,13804,13804,0,1,1,100
"BFA",2002,"rotavirus_pct",11392,11392,11392,0,1,1,100
"BFA",2009,"hib3_pct",17371,0,0,0,1,1,0
"BFA",2006,"hib3_pct",18913,0,0,0,1,1,0
"BFA",2010,"hib3_pct",4227,0,0,0,1,1,0
"BFA",2007,"hib3_pct",19815,0,0,0,1,1,0
"BFA",2005,"hib3_pct",4713,4713,4713,0,1,1,100
"BFA",2008,"hib3_pct",19655,0,0,0,1,1,0
"BFA",2009,"pcv3_pct",17371,17371,17371,0,1,1,100
"BFA",2006,"pcv3_pct",18913,18913,18913,0,1,1,100
"BFA",2010,"pcv3_pct",4227,4227,4227,0,1,1,100
"BFA",2007,"pcv3_pct",19815,19815,19815,0,1,1,100
"BFA",2005,"pcv3_pct",4713,4713,4713,0,1,1,100
"BFA",2008,"pcv3_pct",19655,19655,19655,0,1,1,100
"BFA",2009,"rotavirus_pct",17371,17371,17371,0,1,1,100
"BFA",2006,"rotavirus_pct",18913,18913,18913,0,1,1,100
"BFA",2010,"rotavirus_pct",4227,4227,4227,0,1,1,100
"BFA",2007,"rotavirus_pct",19815,19815,19815,0,1,1,100
"BFA",2005,"rotavirus_pct",4713,4713,4713,0,1,1,100
"BFA",2008,"rotavirus_pct",19655,19655,19655,0,1,1,100
"BFA",2019,"hib3_pct",16641,0,0,0,1,1,0
"BFA",2017,"hib3_pct",17344,0,0,0,1,1,0
"BFA",2021,"hib3_pct",2916,0,0,0,1,1,0
"BFA",2018,"hib3_pct",17883,0,0,0,1,1,0
"BFA",2016,"hib3_pct",4615,0,0,0,1,1,0
"BFA",2020,"hib3_pct",14728,0,0,0,1,1,0
"BFA",2019,"pcv3_pct",16641,0,0,0,1,1,0
"BFA",2017,"pcv3_pct",17344,0,0,0,1,1,0
"BFA",2021,"pcv3_pct",2916,0,0,0,1,1,0
"BFA",2018,"pcv3_pct",17883,0,0,0,1,1,0
"BFA",2016,"pcv3_pct",4615,0,0,0,1,1,0
"BFA",2020,"pcv3_pct",14728,0,0,0,1,1,0
"BFA",2019,"rotavirus_pct",16641,0,0,0,1,1,0
"BFA",2017,"rotavirus_pct",17344,0,0,0,1,1,0
"BFA",2021,"rotavirus_pct",2916,0,0,0,1,1,0
"BFA",2018,"rotavirus_pct",17883,0,0,0,1,1,0
"BFA",2016,"rotavirus_pct",4615,0,0,0,1,1,0
"BFA",2020,"rotavirus_pct",14728,0,0,0,1,1,0
"CIV",2012,"hib3_pct",199,0,0,0,1,1,0
"CIV",2008,"hib3_pct",8870,8870,8870,0,1,1,100
"CIV",2010,"hib3_pct",9111,0,0,0,1,1,0
"CIV",2011,"hib3_pct",4896,0,0,0,1,1,0
"CIV",2009,"hib3_pct",9259,0,0,0,1,1,0
"CIV",2007,"hib3_pct",7425,7425,7425,0,1,1,100
"CIV",2012,"pcv3_pct",199,199,199,0,1,1,100
"CIV",2008,"pcv3_pct",8870,8870,8870,0,1,1,100
"CIV",2010,"pcv3_pct",9111,9111,9111,0,1,1,100
"CIV",2011,"pcv3_pct",4896,4896,4896,0,1,1,100
"CIV",2009,"pcv3_pct",9259,9259,9259,0,1,1,100
"CIV",2007,"pcv3_pct",7425,7425,7425,0,1,1,100
"CIV",2012,"rotavirus_pct",199,199,199,0,1,1,100
"CIV",2008,"rotavirus_pct",8870,8870,8870,0,1,1,100
"CIV",2010,"rotavirus_pct",9111,9111,9111,0,1,1,100
"CIV",2011,"rotavirus_pct",4896,4896,4896,0,1,1,100
"CIV",2009,"rotavirus_pct",9259,9259,9259,0,1,1,100
"CIV",2007,"rotavirus_pct",7425,7425,7425,0,1,1,100
"CIV",2018,"hib3_pct",14330,0,0,0,1,1,0
"CIV",2020,"hib3_pct",13269,0,0,0,1,1,0
"CIV",2016,"hib3_pct",1924,0,0,0,1,1,0
"CIV",2019,"hib3_pct",13935,0,0,0,1,1,0
"CIV",2017,"hib3_pct",13916,0,0,0,1,1,0
"CIV",2021,"hib3_pct",3791,0,0,0,1,1,0
"CIV",2018,"pcv3_pct",14330,0,0,0,1,1,0
"CIV",2020,"pcv3_pct",13269,0,0,0,1,1,0
"CIV",2016,"pcv3_pct",1924,0,0,0,1,1,0
"CIV",2019,"pcv3_pct",13935,0,0,0,1,1,0
"CIV",2017,"pcv3_pct",13916,0,0,0,1,1,0
"CIV",2021,"pcv3_pct",3791,0,0,0,1,1,0
"CIV",2018,"rotavirus_pct",14330,0,0,0,1,1,0
"CIV",2020,"rotavirus_pct",13269,0,0,0,1,1,0
"CIV",2016,"rotavirus_pct",1924,1924,1924,0,1,1,100
"CIV",2019,"rotavirus_pct",13935,0,0,0,1,1,0
"CIV",2017,"rotavirus_pct",13916,0,0,0,1,1,0
"CIV",2021,"rotavirus_pct",3791,0,0,0,1,1,0
"CMR",2000,"hib3_pct",10146,10146,10146,0,1,1,100
"CMR",2002,"hib3_pct",10411,10411,10411,0,1,1,100
"CMR",2004,"hib3_pct",805,805,805,0,1,1,100
"CMR",2003,"hib3_pct",7487,7487,7487,0,1,1,100
"CMR",2000,"pcv3_pct",10146,10146,10146,0,1,1,100
"CMR",2002,"pcv3_pct",10411,10411,10411,0,1,1,100
"CMR",2004,"pcv3_pct",805,805,805,0,1,1,100
"CMR",2003,"pcv3_pct",7487,7487,7487,0,1,1,100
"CMR",2000,"rotavirus_pct",10146,10146,10146,0,1,1,100
"CMR",2002,"rotavirus_pct",10411,10411,10411,0,1,1,100
"CMR",2004,"rotavirus_pct",805,805,805,0,1,1,100
"CMR",2003,"rotavirus_pct",7487,7487,7487,0,1,1,100
"CMR",2009,"hib3_pct",14608,0,0,0,1,1,0
"CMR",2008,"hib3_pct",14637,14637,14637,0,1,1,100
"CMR",2006,"hib3_pct",9910,9910,9910,0,1,1,100
"CMR",2010,"hib3_pct",10190,0,0,0,1,1,0
"CMR",2007,"hib3_pct",14382,14382,14382,0,1,1,100
"CMR",2011,"hib3_pct",892,0,0,0,1,1,0
"CMR",2009,"pcv3_pct",14608,14608,14608,0,1,1,100
"CMR",2008,"pcv3_pct",14637,14637,14637,0,1,1,100
"CMR",2006,"pcv3_pct",9910,9910,9910,0,1,1,100
"CMR",2010,"pcv3_pct",10190,10190,10190,0,1,1,100
"CMR",2007,"pcv3_pct",14382,14382,14382,0,1,1,100
"CMR",2011,"pcv3_pct",892,0,0,0,1,1,0
"CMR",2009,"rotavirus_pct",14608,14608,14608,0,1,1,100
"CMR",2008,"rotavirus_pct",14637,14637,14637,0,1,1,100
"CMR",2006,"rotavirus_pct",9910,9910,9910,0,1,1,100
"CMR",2010,"rotavirus_pct",10190,10190,10190,0,1,1,100
"CMR",2007,"rotavirus_pct",14382,14382,14382,0,1,1,100
"CMR",2011,"rotavirus_pct",892,892,892,0,1,1,100
"CMR",2016,"hib3_pct",10558,0,0,0,1,1,0
"CMR",2015,"hib3_pct",10596,0,0,0,1,1,0
"CMR",2014,"hib3_pct",10509,0,0,0,1,1,0
"CMR",2018,"hib3_pct",1933,0,0,0,1,1,0
"CMR",2017,"hib3_pct",9365,0,0,0,1,1,0
"CMR",2013,"hib3_pct",3013,0,0,0,1,1,0
"CMR",2016,"pcv3_pct",10558,0,0,0,1,1,0
"CMR",2015,"pcv3_pct",10596,0,0,0,1,1,0
"CMR",2014,"pcv3_pct",10509,0,0,0,1,1,0
"CMR",2018,"pcv3_pct",1933,0,0,0,1,1,0
"CMR",2017,"pcv3_pct",9365,0,0,0,1,1,0
"CMR",2013,"pcv3_pct",3013,0,0,0,1,1,0
"CMR",2016,"rotavirus_pct",10558,0,0,0,1,1,0
"CMR",2015,"rotavirus_pct",10596,0,0,0,1,1,0
