"baseline","records","children","deaths","regions","surveys","countries","retained_records","retained_children","retained_deaths","retained_regions","lost_regions","partially_reduced_regions","retained_surveys","retained_countries","lost_regions_pct","missing_records_pct"
"previous_primary",5885022,1817912,82415,1015,105,34,1783288,598064,17815,418,597,216,41,24,58.8177339901478,69.6978532960455
"eligible_MAP",6357802,1932325,90938,1113,120,36,1783426,598112,17815,418,695,251,41,24,62.4438454627134,71.9490163424404
"regional_baseline",5948359,1836702,83057,1015,105,34,1783426,598112,17815,418,597,216,41,24,58.8177339901478,70.0181848472831
