"survey","regkey","variable","source_rows","consistent","source_labels","recall","data_ids"
"AO62FL","mesoendemicstable","improved_water_pct",1,TRUE,"Stable mesoendemic","NA","2973874"
"AO62FL","hyperendemic","improved_water_pct",1,TRUE,"Hyperendemic","NA","7625239"
"AO62FL","luanda","improved_water_pct",1,TRUE,"Luanda","NA","3898710"
"AO62FL","mesoendemicstable","improved_sanitation_pct",1,TRUE,"Stable mesoendemic","NA","6329345"
"AO62FL","hyperendemic","improved_sanitation_pct",1,TRUE,"Hyperendemic","NA","2972720"
"AO62FL","luanda","improved_sanitation_pct",1,TRUE,"Luanda","NA","7275007"
"AO62FL","mesoendemicstable","electricity_pct",1,TRUE,"Stable mesoendemic","NA","4542285"
"AO62FL","hyperendemic","electricity_pct",1,TRUE,"Hyperendemic","NA","7542451"
"AO62FL","luanda","electricity_pct",1,TRUE,"Luanda","NA","6371509"
"AO62FL","mesoendemicstable","interval_7_17_pct",1,TRUE,"Stable mesoendemic","NA","7867219"
"AO62FL","hyperendemic","interval_7_17_pct",1,TRUE,"Hyperendemic","NA","2117106"
"AO62FL","luanda","interval_7_17_pct",1,TRUE,"Luanda","NA","6156264"
"AO62FL","mesoendemicstable","interval_18_23_pct",1,TRUE,"Stable mesoendemic","NA","7867218"
"AO62FL","hyperendemic","interval_18_23_pct",1,TRUE,"Hyperendemic","NA","2117128"
"AO62FL","luanda","interval_18_23_pct",1,TRUE,"Luanda","NA","6156265"
"AO71FL","cabinda","dtp3_pct",1,TRUE,"Cabinda         ","NA","3411146"
"AO71FL","zaire","dtp3_pct",1,TRUE,"Zaire           ","NA","595975"
"AO71FL","uige","dtp3_pct",1,TRUE,"Uíge            ","NA","5731639"
"AO71FL","luanda","dtp3_pct",1,TRUE,"Luanda          ","NA","3491467"
"AO71FL","cuanzanorte","dtp3_pct",1,TRUE,"Cuanza Norte    ","NA","296929"
"AO71FL","cuanzasul","dtp3_pct",1,TRUE,"Cuanza Sul      ","NA","4946695"
"AO71FL","malanje","dtp3_pct",1,TRUE,"Malanje         ","NA","6240593"
"AO71FL","lundanorte","dtp3_pct",1,TRUE,"Lunda Norte     ","NA","5680457"
"AO71FL","benguela","dtp3_pct",1,TRUE,"Benguela        ","NA","4896832"
"AO71FL","huambo","dtp3_pct",1,TRUE,"Huambo          ","NA","7570187"
"AO71FL","bie","dtp3_pct",1,TRUE,"Bié             ","NA","1450182"
"AO71FL","moxico","dtp3_pct",1,TRUE,"Moxico          ","NA","6558735"
"AO71FL","cuandocubango","dtp3_pct",1,TRUE,"Cuando Cubango  ","NA","4382227"
"AO71FL","namibe","dtp3_pct",1,TRUE,"Namibe          ","NA","5831197"
"AO71FL","huila","dtp3_pct",1,TRUE,"Huíla           ","NA","5421146"
"AO71FL","cunene","dtp3_pct",1,TRUE,"Cunene          ","NA","7776218"
"AO71FL","lundasul","dtp3_pct",1,TRUE,"Lunda Sul       ","NA","4196039"
"AO71FL","bengo","dtp3_pct",1,TRUE,"Bengo           ","NA","2405624"
"AO71FL","cabinda","measles_pct",1,TRUE,"Cabinda         ","NA","3411159"
"AO71FL","zaire","measles_pct",1,TRUE,"Zaire           ","NA","595978"
"AO71FL","uige","measles_pct",1,TRUE,"Uíge            ","NA","5731642"
"AO71FL","luanda","measles_pct",1,TRUE,"Luanda          ","NA","3491480"
"AO71FL","cuanzanorte","measles_pct",1,TRUE,"Cuanza Norte    ","NA","296945"
"AO71FL","cuanzasul","measles_pct",1,TRUE,"Cuanza Sul      ","NA","4946698"
"AO71FL","malanje","measles_pct",1,TRUE,"Malanje         ","NA","6240629"
"AO71FL","lundanorte","measles_pct",1,TRUE,"Lunda Norte     ","NA","5680460"
"AO71FL","benguela","measles_pct",1,TRUE,"Benguela        ","NA","4896837"
"AO71FL","huambo","measles_pct",1,TRUE,"Huambo          ","NA","7570184"
"AO71FL","bie","measles_pct",1,TRUE,"Bié             ","NA","1450185"
"AO71FL","moxico","measles_pct",1,TRUE,"Moxico          ","NA","6558742"
"AO71FL","cuandocubango","measles_pct",1,TRUE,"Cuando Cubango  ","NA","4382230"
"AO71FL","namibe","measles_pct",1,TRUE,"Namibe          ","NA","5831215"
"AO71FL","huila","measles_pct",1,TRUE,"Huíla           ","NA","5421087"
"AO71FL","cunene","measles_pct",1,TRUE,"Cunene          ","NA","7776238"
"AO71FL","lundasul","measles_pct",1,TRUE,"Lunda Sul       ","NA","4195983"
"AO71FL","bengo","measles_pct",1,TRUE,"Bengo           ","NA","2405627"
"AO71FL","cabinda","facility_delivery_pct",1,TRUE,"Cabinda         ","Five years preceding the survey","4885267"
"AO71FL","zaire","facility_delivery_pct",1,TRUE,"Zaire           ","Five years preceding the survey","1210195"
"AO71FL","uige","facility_delivery_pct",1,TRUE,"Uíge            ","Five years preceding the survey","4635280"
"AO71FL","luanda","facility_delivery_pct",1,TRUE,"Luanda          ","Five years preceding the survey","7454241"
"AO71FL","cuanzanorte","facility_delivery_pct",1,TRUE,"Cuanza Norte    ","Five years preceding the survey","4153341"
"AO71FL","cuanzasul","facility_delivery_pct",1,TRUE,"Cuanza Sul      ","Five years preceding the survey","3348353"
"AO71FL","malanje","facility_delivery_pct",1,TRUE,"Malanje         ","Five years preceding the survey","6213256"
"AO71FL","lundanorte","facility_delivery_pct",1,TRUE,"Lunda Norte     ","Five years preceding the survey","4430096"
"AO71FL","benguela","facility_delivery_pct",1,TRUE,"Benguela        ","Five years preceding the survey","7336508"
"AO71FL","huambo","facility_delivery_pct",1,TRUE,"Huambo          ","Five years preceding the survey","7985819"
"AO71FL","bie","facility_delivery_pct",1,TRUE,"Bié             ","Five years preceding the survey","1391845"
"AO71FL","moxico","facility_delivery_pct",1,TRUE,"Moxico          ","Five years preceding the survey","7586232"
"AO71FL","cuandocubango","facility_delivery_pct",1,TRUE,"Cuando Cubango  ","Five years preceding the survey","2477103"
"AO71FL","namibe","facility_delivery_pct",1,TRUE,"Namibe          ","Five years preceding the survey","693696"
"AO71FL","huila","facility_delivery_pct",1,TRUE,"Huíla           ","Five years preceding the survey","5762962"
"AO71FL","cunene","facility_delivery_pct",1,TRUE,"Cunene          ","Five years preceding the survey","400007"
"AO71FL","lundasul","facility_delivery_pct",1,TRUE,"Lunda Sul       ","Five years preceding the survey","5567439"
"AO71FL","bengo","facility_delivery_pct",1,TRUE,"Bengo           ","Five years preceding the survey","7922558"
"AO71FL","cabinda","improved_water_pct",1,TRUE,"Cabinda         ","NA","601105"
"AO71FL","zaire","improved_water_pct",1,TRUE,"Zaire           ","NA","7251353"
"AO71FL","uige","improved_water_pct",1,TRUE,"Uíge            ","NA","4799870"
"AO71FL","luanda","improved_water_pct",1,TRUE,"Luanda          ","NA","2980796"
"AO71FL","cuanzanorte","improved_water_pct",1,TRUE,"Cuanza Norte    ","NA","6579981"
"AO71FL","cuanzasul","improved_water_pct",1,TRUE,"Cuanza Sul      ","NA","2980855"
"AO71FL","malanje","improved_water_pct",1,TRUE,"Malanje         ","NA","5579745"
"AO71FL","lundanorte","improved_water_pct",1,TRUE,"Lunda Norte     ","NA","3614796"
"AO71FL","benguela","improved_water_pct",1,TRUE,"Benguela        ","NA","7667016"
"AO71FL","huambo","improved_water_pct",1,TRUE,"Huambo          ","NA","256739"
"AO71FL","bie","improved_water_pct",1,TRUE,"Bié             ","NA","1373979"
"AO71FL","moxico","improved_water_pct",1,TRUE,"Moxico          ","NA","6361684"
"AO71FL","cuandocubango","improved_water_pct",1,TRUE,"Cuando Cubango  ","NA","6001865"
"AO71FL","namibe","improved_water_pct",1,TRUE,"Namibe          ","NA","5668891"
"AO71FL","huila","improved_water_pct",1,TRUE,"Huíla           ","NA","7713285"
"AO71FL","cunene","improved_water_pct",1,TRUE,"Cunene          ","NA","2974249"
"AO71FL","lundasul","improved_water_pct",1,TRUE,"Lunda Sul       ","NA","203166"
"AO71FL","bengo","improved_water_pct",1,TRUE,"Bengo           ","NA","2966320"
"AO71FL","cabinda","improved_sanitation_pct",1,TRUE,"Cabinda         ","NA","7976889"
"AO71FL","zaire","improved_sanitation_pct",1,TRUE,"Zaire           ","NA","5695145"
"AO71FL","uige","improved_sanitation_pct",1,TRUE,"Uíge            ","NA","7087899"
"AO71FL","luanda","improved_sanitation_pct",1,TRUE,"Luanda          ","NA","268812"
"AO71FL","cuanzanorte","improved_sanitation_pct",1,TRUE,"Cuanza Norte    ","NA","4972236"
"AO71FL","cuanzasul","improved_sanitation_pct",1,TRUE,"Cuanza Sul      ","NA","6361670"
"AO71FL","malanje","improved_sanitation_pct",1,TRUE,"Malanje         ","NA","3703098"
"AO71FL","lundanorte","improved_sanitation_pct",1,TRUE,"Lunda Norte     ","NA","5397016"
"AO71FL","benguela","improved_sanitation_pct",1,TRUE,"Benguela        ","NA","4180912"
"AO71FL","huambo","improved_sanitation_pct",1,TRUE,"Huambo          ","NA","4780223"
