"survey","country","regkey","variable","value","eligible_n","observed_n","missing_n","weighted_n","population","source","small_denominator","low_precision"
"AO71FL","AGO","namibe","male_pct",51.6696856000534,786,786,0,170.598884000001,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cabinda","male_pct",50.2847049323257,568,568,0,259.915763999999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuanzasul","male_pct",49.0548589364435,746,746,0,1121.45190899999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","malanje","male_pct",50.4354788158759,802,802,0,549.564045999999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","huila","male_pct",50.4809440365648,925,925,0,1303.982797,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","lundanorte","male_pct",50.0058820735756,791,791,0,419.248411000001,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","huambo","male_pct",51.5455656710285,946,946,0,1134.60504,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","moxico","male_pct",47.324937461483,554,554,0,274.225401999999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","zaire","male_pct",47.4367190074526,735,735,0,276.291928999999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","bie","male_pct",48.8266900361529,832,832,0,722.118856999998,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","bengo","male_pct",50.356265909835,584,584,0,143.36258,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuanzanorte","male_pct",52.5888563766557,641,641,0,181.607196999999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cunene","male_pct",50.684126722496,852,852,0,522.158086000002,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","uige","male_pct",47.6522131339365,813,813,0,754.455919999997,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","benguela","multiple_birth_pct",3.12956992283117,867,867,0,1198.59792,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","lundasul","multiple_birth_pct",2.33659618250355,900,900,0,276.391875,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","luanda","multiple_birth_pct",2.05651540676497,1245,1245,0,3729.81645300002,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuandocubango","multiple_birth_pct",1.66394187805102,656,656,0,237.905305,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","namibe","multiple_birth_pct",2.6808967871091,786,786,0,170.598884000001,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cabinda","multiple_birth_pct",3.13099362453445,568,568,0,259.915763999999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuanzasul","multiple_birth_pct",2.19786865599782,746,746,0,1121.45190899999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","malanje","multiple_birth_pct",3.034881943496,802,802,0,549.564045999999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","huila","multiple_birth_pct",3.35389071854451,925,925,0,1303.982797,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","lundanorte","multiple_birth_pct",2.98353021068456,791,791,0,419.248411000001,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","huambo","multiple_birth_pct",2.61595594533935,946,946,0,1134.60504,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","moxico","multiple_birth_pct",2.73509527027698,554,554,0,274.225401999999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","zaire","multiple_birth_pct",5.16287393975958,735,735,0,276.291928999999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","bie","multiple_birth_pct",4.44550335291965,832,832,0,722.118856999998,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","bengo","multiple_birth_pct",2.7384872677375,584,584,0,143.36258,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuanzanorte","multiple_birth_pct",2.74615328157948,641,641,0,181.607196999999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cunene","multiple_birth_pct",1.13410864616965,852,852,0,522.158086000002,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","uige","multiple_birth_pct",2.61790297834764,813,813,0,754.455919999997,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","benguela","mean_birth_order",4.01160334818535,867,867,0,1198.59792,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","lundasul","mean_birth_order",3.61428949747527,900,900,0,276.391875,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","luanda","mean_birth_order",3.18418184504693,1245,1245,0,3729.81645300002,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuandocubango","mean_birth_order",2.93565466730554,656,656,0,237.905305,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","namibe","mean_birth_order",3.48869848996197,786,786,0,170.598884000001,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cabinda","mean_birth_order",2.83713823144641,568,568,0,259.915763999999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuanzasul","mean_birth_order",4.00793250332773,746,746,0,1121.45190899999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","malanje","mean_birth_order",3.5670987344758,802,802,0,549.564045999999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","huila","mean_birth_order",3.854971036861,925,925,0,1303.982797,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","lundanorte","mean_birth_order",3.37005596665218,791,791,0,419.248411000001,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","huambo","mean_birth_order",3.98889894231388,946,946,0,1134.60504,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","moxico","mean_birth_order",3.04673842724461,554,554,0,274.225401999999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","zaire","mean_birth_order",3.47536503319286,735,735,0,276.291928999999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","bie","mean_birth_order",4.06937005247048,832,832,0,722.118856999998,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","bengo","mean_birth_order",3.16848190092561,584,584,0,143.36258,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuanzanorte","mean_birth_order",3.69356189666867,641,641,0,181.607196999999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cunene","mean_birth_order",3.68440653047742,852,852,0,522.158086000002,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","uige","mean_birth_order",3.81165070982544,813,813,0,754.455919999997,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","benguela","mean_maternal_age_birth",26.9702558285072,867,867,0,1198.59792,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","lundasul","mean_maternal_age_birth",25.6718237161759,900,900,0,276.391875,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","luanda","mean_maternal_age_birth",26.3855244576248,1245,1245,0,3729.81645300002,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuandocubango","mean_maternal_age_birth",24.0613697912985,656,656,0,237.905305,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","namibe","mean_maternal_age_birth",26.0249447626318,786,786,0,170.598884000001,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cabinda","mean_maternal_age_birth",25.4404196975397,568,568,0,259.915763999999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuanzasul","mean_maternal_age_birth",26.519084850031,746,746,0,1121.45190899999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","malanje","mean_maternal_age_birth",25.1156369543506,802,802,0,549.564045999999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","huila","mean_maternal_age_birth",25.8116341953935,925,925,0,1303.982797,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","lundanorte","mean_maternal_age_birth",25.8415303469092,791,791,0,419.248411000001,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","huambo","mean_maternal_age_birth",26.4183650176482,946,946,0,1134.60504,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","moxico","mean_maternal_age_birth",25.7343128783161,554,554,0,274.225401999999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","zaire","mean_maternal_age_birth",26.763090896634,735,735,0,276.291928999999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","bie","mean_maternal_age_birth",25.8603035346069,832,832,0,722.118856999998,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","bengo","mean_maternal_age_birth",26.0686134758223,584,584,0,143.36258,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuanzanorte","mean_maternal_age_birth",26.5769427170151,641,641,0,181.607196999999,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cunene","mean_maternal_age_birth",26.7644065350162,852,852,0,522.158086000002,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","uige","mean_maternal_age_birth",27.3442598768175,813,813,0,754.455919999997,"live_births_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","benguela","mean_maternal_education_years",4.37291855949538,536,536,0,752.164604999998,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","lundasul","mean_maternal_education_years",3.73339939997627,540,540,0,163.165548,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","luanda","mean_maternal_education_years",7.17580422845977,896,896,0,2685.644948,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuandocubango","mean_maternal_education_years",2.8026020593585,452,452,0,164.294561,"mothers_with_birth_last_60_months","local_BR_weighted_summary",FALSE,FALSE
